,date,block_size,transactions,sent_addresses,av_transaction_size,median_transaction_value,send_usd,mining_profitability,fee_reward,google_trends,confirmation_time,active_addresses,av_transaction_value,difficulty,top_100_percent,median_transaction_size,market_cap,hashrate,tweets,full_name,coin
0,2009/01/03,204nullnull,nullnullnull,,,,,,,,,nullnullnull,,1nullnull,,,,,,aircoin,aircoin
1,2009/01/04,nullnullnull,nullnullnull,,,,,,,,,nullnullnull,,nullnullnull,,,,,,aircoin,aircoin
2,2009/01/05,nullnullnull,nullnullnull,,,,,,,,,nullnullnull,,nullnullnull,,,,,,aircoin,aircoin
3,2009/01/06,nullnullnull,nullnullnull,,,,,,,,,nullnullnull,,nullnullnull,,,,,,aircoin,aircoin
4,2009/01/07,nullnullnull,nullnullnull,,,,,,,,,nullnullnull,,nullnullnull,,,,,,aircoin,aircoin
5,2009/01/08,nullnullnull,nullnullnull,,,,,,,,,nullnullnull,,nullnullnull,,,,,,aircoin,aircoin
6,2009/01/09,134nullnull,nullnullnull,1nullnull,,,,,,,,14nullnull,,1nullnull,,,,,,aircoin,aircoin
7,2009/01/10,134.23nullnull,nullnullnull,nullnullnull,,,,,,,,61nullnull,,1nullnull,,,,,,aircoin,aircoin
8,2009/01/11,134.409nullnull,nullnullnull,1nullnull,,,,,,,,93nullnull,,1nullnull,,,,,,aircoin,aircoin
9,2009/01/12,153.372nullnull,7nullnull,7nullnull,,,,,,,,102nullnull,,1nullnull,,,,,,aircoin,aircoin
10,2009/01/13,134.667nullnull,nullnullnull,10nullnull,,,,,,,,123nullnull,,1nullnull,,,,,,aircoin,aircoin
11,2009/01/14,138.194nullnull,1nullnull,20nullnull,,,,,,,,133nullnull,,1nullnull,,,,,,aircoin,aircoin
12,2009/01/15,157.579nullnull,8nullnull,18nullnull,,,,,,,,140nullnull,,1nullnull,,,,,,aircoin,aircoin
13,2009/01/16,139.87nullnull,2nullnull,16nullnull,,,,,,,,114nullnull,,1nullnull,,,,,,aircoin,aircoin
14,2009/01/17,134.853nullnull,nullnullnull,18nullnull,,,,,,,,109nullnull,,1nullnull,,,,,,aircoin,aircoin
15,2009/01/18,138.944nullnull,1nullnull,16nullnull,,,,,,,,111nullnull,,1nullnull,,,,,,aircoin,aircoin
16,2009/01/19,151.896nullnull,2nullnull,22nullnull,,,,,,,,133nullnull,,1nullnull,,,,,,aircoin,aircoin
17,2009/01/20,143.728nullnull,1nullnull,21nullnull,,,,,,,,123nullnull,,1nullnull,,,,,,aircoin,aircoin
18,2009/01/21,137.99nullnull,1nullnull,22nullnull,,,,,,,,105nullnull,,1nullnull,,,,,,aircoin,aircoin
19,2009/01/22,147.747nullnull,1nullnull,12nullnull,,,,,,,,102nullnull,,1nullnull,,,,,,aircoin,aircoin
20,2009/01/23,148.238nullnull,2nullnull,18nullnull,,,,,,,,95nullnull,,1nullnull,,,,,,aircoin,aircoin
21,2009/01/24,141.06nullnull,1nullnull,22nullnull,,,,,,,,212nullnull,,1nullnull,,,,,,aircoin,aircoin
22,2009/01/25,136nullnull,1nullnull,14nullnull,,,,,,,,193nullnull,,1nullnull,,,,,,aircoin,aircoin
23,2009/01/26,158.948nullnull,1nullnull,17nullnull,,,,,,,,117nullnull,,1nullnull,,,,,,aircoin,aircoin
24,2009/01/27,139.309nullnull,1nullnull,8nullnull,,,,,,,,101nullnull,,1nullnull,,,,,,aircoin,aircoin
25,2009/01/28,134.652nullnull,nullnullnull,23nullnull,,,,,,,,112nullnull,,1nullnull,,,,,,aircoin,aircoin
26,2009/01/29,146.256nullnull,1nullnull,24nullnull,,,,,,,,134nullnull,,1nullnull,,,,,,aircoin,aircoin
27,2009/01/30,134.872nullnull,nullnullnull,23nullnull,,,,,,,,117nullnull,,1nullnull,,,,,,aircoin,aircoin
28,2009/01/31,151.464nullnull,1nullnull,36nullnull,,,,,,,,159nullnull,,1nullnull,,,,,,aircoin,aircoin
29,2009/02/01,137.204nullnull,1nullnull,31nullnull,,,,,,,,116nullnull,,1nullnull,,,,,,aircoin,aircoin
30,2009/02/02,136.094nullnull,1nullnull,37nullnull,,,,,,,,130nullnull,,1nullnull,,,,,,aircoin,aircoin
31,2009/02/03,167.496nullnull,16nullnull,50nullnull,,,,,,,,154nullnull,,1nullnull,,,,,,aircoin,aircoin
