,date,sent_addresses,send_usd,difficulty,top_100_percent,block_size,median_transaction_value,av_transaction_size,median_transaction_size,confirmation_time,market_cap,hashrate,transactions,fee_reward,mining_profitability,active_addresses,google_trends,av_transaction_value,tweets,full_name,coin
0,2009/01/09,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
1,2009/01/10,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
2,2009/01/11,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
3,2009/01/12,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
4,2009/01/13,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
5,2009/01/14,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
6,2009/01/15,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
7,2009/01/16,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
8,2009/01/17,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
9,2009/01/18,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
10,2009/01/19,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
11,2009/01/20,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
12,2009/01/21,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
13,2009/01/22,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
14,2009/01/23,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
15,2009/01/24,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
16,2009/01/25,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
17,2009/01/26,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
18,2009/01/27,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
19,2009/01/28,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
20,2009/01/29,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
21,2009/01/30,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
22,2009/01/31,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
23,2009/02/01,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
24,2009/02/02,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
25,2009/02/03,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
26,2009/02/04,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
27,2009/02/05,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
28,2009/02/06,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
29,2009/02/07,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
30,2009/02/08,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
31,2009/02/09,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
32,2009/02/10,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
33,2009/02/11,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
34,2009/02/12,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
35,2009/02/13,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
36,2009/02/14,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
37,2009/02/15,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
38,2009/02/16,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
39,2009/02/17,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
40,2009/02/18,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
41,2009/02/19,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
42,2009/02/20,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
43,2009/02/21,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
44,2009/02/22,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
45,2009/02/23,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
46,2009/02/24,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
47,2009/02/25,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
48,2009/02/26,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
49,2009/02/27,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
50,2009/02/28,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
51,2009/03/01,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
52,2009/03/02,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
53,2009/03/03,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
54,2009/03/04,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
55,2009/03/05,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
56,2009/03/06,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
57,2009/03/07,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
58,2009/03/08,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
59,2009/03/09,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
60,2009/03/10,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
61,2009/03/11,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
62,2009/03/12,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
63,2009/03/13,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
64,2009/03/14,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
65,2009/03/15,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
66,2009/03/16,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
67,2009/03/17,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
68,2009/03/18,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
69,2009/03/19,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
70,2009/03/20,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
71,2009/03/21,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
72,2009/03/22,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
73,2009/03/23,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
74,2009/03/24,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
75,2009/03/25,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
76,2009/03/26,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
77,2009/03/27,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
