,date,send_usd,median_transaction_value,difficulty,transactions,top_100_percent,active_addresses,market_cap,hashrate,av_transaction_size,median_transaction_size,sent_addresses,confirmation_time,av_transaction_value,block_size,mining_profitability,tweets,fee_reward,google_trends,full_name,coin
0,2010/07/17,1193nullnull,,181.543nullnull,235nullnull,,804nullnull,169839nullnull,,,,390nullnull,,2.924nullnull,649.653nullnull,,,,,batcoin,batcoin
1,2010/07/18,2620nullnull,,181.543nullnull,248nullnull,,917nullnull,249761nullnull,,,,424nullnull,,6.237nullnull,765.285nullnull,,,,,batcoin,batcoin
2,2010/07/19,4048nullnull,,181.543nullnull,354nullnull,,972nullnull,295981nullnull,,,,553nullnull,,7.666nullnull,756.04nullnull,,,,,batcoin,batcoin
3,2010/07/20,2341nullnull,,181.543nullnull,413nullnull,,906nullnull,270546nullnull,,,,632nullnull,,3.94nullnull,984.707nullnull,,,,,batcoin,batcoin
4,2010/07/21,2122nullnull,,181.543nullnull,256nullnull,,809nullnull,265900nullnull,,,,440nullnull,,4.583nullnull,542.483nullnull,,,,,batcoin,batcoin
5,2010/07/22,2570nullnull,,181.543nullnull,221nullnull,,599nullnull,225420nullnull,,,,412nullnull,,6.474nullnull,491.903nullnull,,,,,batcoin,batcoin
6,2010/07/23,1166nullnull,,181.543nullnull,217nullnull,,652nullnull,197086nullnull,,,,405nullnull,,2.837nullnull,447.16nullnull,,,,,batcoin,batcoin
7,2010/07/24,2540nullnull,,181.543nullnull,705nullnull,,964nullnull,202929nullnull,,,,645nullnull,,2.842nullnull,1446nullnull,,,,,batcoin,batcoin
8,2010/07/25,2493nullnull,,181.543nullnull,1592nullnull,,2132nullnull,185609nullnull,,,,1793nullnull,,1.368nullnull,3145nullnull,,,,,batcoin,batcoin
9,2010/07/26,4608nullnull,,181.543nullnull,224nullnull,,1238nullnull,186308nullnull,,,,408nullnull,,9.868nullnull,918.379nullnull,,,,,batcoin,batcoin
10,2010/07/27,1850nullnull,,239.305nullnull,260nullnull,,771nullnull,204589nullnull,,,,419nullnull,,4.343nullnull,679.271nullnull,,,,,batcoin,batcoin
11,2010/07/28,4016nullnull,,244.213nullnull,1792nullnull,,674nullnull,210197nullnull,,,,343nullnull,,2.059nullnull,3344nullnull,,,,,batcoin,batcoin
12,2010/07/29,1235nullnull,,244.213nullnull,1687nullnull,,528nullnull,229629nullnull,,,,367nullnull,,0.662nullnull,2370nullnull,,,,,batcoin,batcoin
13,2010/07/30,1336nullnull,,244.213nullnull,143nullnull,,583nullnull,235363nullnull,,,,293nullnull,,4.11nullnull,538.269nullnull,,,,,batcoin,batcoin
14,2010/07/31,1025nullnull,,244.213nullnull,92nullnull,,475nullnull,236589nullnull,,,,263nullnull,,3.475nullnull,389.704nullnull,,,,,batcoin,batcoin
15,2010/08/01,16490nullnull,,244.213nullnull,125nullnull,,620nullnull,218064nullnull,,,,331nullnull,,45.301nullnull,351.033nullnull,,,,,batcoin,batcoin
16,2010/08/02,3893nullnull,,244.213nullnull,156nullnull,,627nullnull,219511nullnull,,,,335nullnull,,9.782nullnull,356.388nullnull,,,,,batcoin,batcoin
17,2010/08/03,2429nullnull,,244.213nullnull,421nullnull,,974nullnull,215757nullnull,,,,596nullnull,,3.748nullnull,743.899nullnull,,,,,batcoin,batcoin
18,2010/08/04,2006nullnull,,244.213nullnull,196nullnull,,731nullnull,215175nullnull,,,,465nullnull,,4.57nullnull,408.045nullnull,,,,,batcoin,batcoin
19,2010/08/05,2430nullnull,,259.068nullnull,297nullnull,,819nullnull,215538nullnull,,,,544nullnull,,4.718nullnull,846.908nullnull,,,,,batcoin,batcoin
20,2010/08/06,1155nullnull,,352.161nullnull,212nullnull,,638nullnull,225626nullnull,,,,369nullnull,,3.217nullnull,676.122nullnull,,,,,batcoin,batcoin
21,2010/08/07,1514nullnull,,352.161nullnull,118nullnull,,514nullnull,217898nullnull,,,,245nullnull,,5.545nullnull,559.974nullnull,,,,,batcoin,batcoin
22,2010/08/08,619.586nullnull,,352.161nullnull,192nullnull,,584nullnull,218545nullnull,,,,387nullnull,,1.585nullnull,448.196nullnull,,,,,batcoin,batcoin
23,2010/08/09,5102nullnull,,352.161nullnull,234nullnull,,778nullnull,241092nullnull,,,,442nullnull,,12.034nullnull,1483nullnull,,,,,batcoin,batcoin
