,date,block_size,active_addresses,sent_addresses,fee_reward,transactions,av_transaction_value,hashrate,median_transaction_size,mining_profitability,google_trends,difficulty,market_cap,top_100_percent,median_transaction_value,confirmation_time,av_transaction_size,tweets,send_usd,full_name,coin
0,2009/01/03,204nullnull,nullnullnull,,,nullnullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
1,2009/01/04,nullnullnull,nullnullnull,,,nullnullnull,,,,,,nullnullnull,,,,,,,,betacoin,betacoin
2,2009/01/05,nullnullnull,nullnullnull,,,nullnullnull,,,,,,nullnullnull,,,,,,,,betacoin,betacoin
3,2009/01/06,nullnullnull,nullnullnull,,,nullnullnull,,,,,,nullnullnull,,,,,,,,betacoin,betacoin
4,2009/01/07,nullnullnull,nullnullnull,,,nullnullnull,,,,,,nullnullnull,,,,,,,,betacoin,betacoin
5,2009/01/08,nullnullnull,nullnullnull,,,nullnullnull,,,,,,nullnullnull,,,,,,,,betacoin,betacoin
6,2009/01/09,134nullnull,14nullnull,1nullnull,,nullnullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
7,2009/01/10,134.23nullnull,61nullnull,nullnullnull,,nullnullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
8,2009/01/11,134.409nullnull,93nullnull,1nullnull,,nullnullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
9,2009/01/12,153.372nullnull,102nullnull,7nullnull,,7nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
10,2009/01/13,134.667nullnull,123nullnull,10nullnull,,nullnullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
11,2009/01/14,138.194nullnull,133nullnull,20nullnull,,1nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
12,2009/01/15,157.579nullnull,140nullnull,18nullnull,,8nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
13,2009/01/16,139.87nullnull,114nullnull,16nullnull,,2nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
14,2009/01/17,134.853nullnull,109nullnull,18nullnull,,nullnullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
15,2009/01/18,138.944nullnull,111nullnull,16nullnull,,1nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
16,2009/01/19,151.896nullnull,133nullnull,22nullnull,,2nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
17,2009/01/20,143.728nullnull,123nullnull,21nullnull,,1nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
18,2009/01/21,137.99nullnull,105nullnull,22nullnull,,1nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
19,2009/01/22,147.747nullnull,102nullnull,12nullnull,,1nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
20,2009/01/23,148.238nullnull,95nullnull,18nullnull,,2nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
21,2009/01/24,141.06nullnull,212nullnull,22nullnull,,1nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
22,2009/01/25,136nullnull,193nullnull,14nullnull,,1nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
23,2009/01/26,158.948nullnull,117nullnull,17nullnull,,1nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
24,2009/01/27,139.309nullnull,101nullnull,8nullnull,,1nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
25,2009/01/28,134.652nullnull,112nullnull,23nullnull,,nullnullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
26,2009/01/29,146.256nullnull,134nullnull,24nullnull,,1nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
27,2009/01/30,134.872nullnull,117nullnull,23nullnull,,nullnullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
28,2009/01/31,151.464nullnull,159nullnull,36nullnull,,1nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
29,2009/02/01,137.204nullnull,116nullnull,31nullnull,,1nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
30,2009/02/02,136.094nullnull,130nullnull,37nullnull,,1nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
31,2009/02/03,167.496nullnull,154nullnull,50nullnull,,16nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
32,2009/02/04,134.739nullnull,119nullnull,26nullnull,,nullnullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
33,2009/02/05,134.722nullnull,126nullnull,34nullnull,,nullnullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
34,2009/02/06,134.836nullnull,122nullnull,19nullnull,,nullnullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
35,2009/02/07,159.31nullnull,156nullnull,32nullnull,,4nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
36,2009/02/08,136.576nullnull,134nullnull,46nullnull,,1nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
37,2009/02/09,172.604nullnull,179nullnull,34nullnull,,1nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
38,2009/02/10,134.667nullnull,120nullnull,18nullnull,,nullnullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
39,2009/02/11,148.128nullnull,147nullnull,27nullnull,,2nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
40,2009/02/12,134.874nullnull,119nullnull,22nullnull,,nullnullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
41,2009/02/13,134.903nullnull,124nullnull,27nullnull,,nullnullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
42,2009/02/14,134.787nullnull,136nullnull,29nullnull,,nullnullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
43,2009/02/15,148.383nullnull,142nullnull,32nullnull,,3nullnull,,,,,,1nullnull,,,,,,,,betacoin,betacoin
