,date,market_cap,transactions,google_trends,send_usd,active_addresses,av_transaction_value,median_transaction_value,mining_profitability,av_transaction_size,difficulty,hashrate,block_size,sent_addresses,top_100_percent,fee_reward,confirmation_time,tweets,median_transaction_size,full_name,coin
0,2017/08/01,2875468863,9143,,18845351,296827,29864,0.332,,,860221984436,,385996,13348,,,160,,,bitcoin cash,bch
1,2017/08/02,7665538543,7416,,111753138,27084,15069,302.915,,,860221984436,,953516,6106,,,205.714,,,bitcoin cash,bch
2,2017/08/03,7281807213,20909,,458440628,33564,21926,662.781,,,295657053175,,470757,18814,,,41.143,,,bitcoin cash,bch
3,2017/08/04,4983714864,26517,,387324493,57827,14607,577.308,,,225505642692,,1144308,22610,,,75.789,,,bitcoin cash,bch
4,2017/08/05,3506577251,15194,,221481651,41171,14577,425.353,,,225505642692,,924952,14456,,,110.769,,,bitcoin cash,bch
5,2017/08/06,3320212025,11791,,187117968,37393,15870,370.87,,,151123557512,,138120,10395,,,22.154,,,bitcoin cash,bch
6,2017/08/07,4379929897,16114,,377231829,47855,23410,713.149,,,144323701657,,143432,14893,,,18.462,,,bitcoin cash,bch
7,2017/08/08,5557119157,12855,,446288046,32009,34717,727.503,,,133028839463,,469238,11788,,,62.609,,,bitcoin cash,bch
8,2017/08/09,5347901069,10798,,277165548,26999,25668,957.277,,,115459053828,,72492,9953,,,15.158,,,bitcoin cash,bch
9,2017/08/10,4807577775,9949,,175498051,25360,17640,697.313,,,115459053828,,70028,9786,,,14.4,,,bitcoin cash,bch
10,2017/08/11,5173492806,10507,,243746310,27307,23198,957.386,,,115459053828,,91445,10001,,,21.493,,,bitcoin cash,bch
11,2017/08/12,5370559284,7543,,259585794,21694,34414,651.911,,,115459053828,,118850,6779,,,20,,,bitcoin cash,bch
12,2017/08/13,5058554236,7814,,92575098,19949,11847,576.174,,,115459053828,,111031,7342,,,18.462,,,bitcoin cash,bch
13,2017/08/14,4986640497,9833,,158332677,27253,16102,604.77,,,115459053828,,134528,10932,,,15.824,,,bitcoin cash,bch
14,2017/08/15,4912958355,7696,,148758012,21626,19329,560.599,,,115459053828,,73100,8031,,,12.857,,,bitcoin cash,bch
15,2017/08/16,4891748438,135552,,142342779,182239,1050,0.0122,,,115459053828,,365497,135552,,,17.143,,,bitcoin cash,bch
16,2017/08/17,5446062704,10813,,344835244,28363,31891,826.16,,,115459053828,,101961,12148,,,22.154,,,bitcoin cash,bch
17,2017/08/18,9105608608,22796,,1015613891,45408,44552,1663,,,115459053828,,188078,25369,,,22.154,,,bitcoin cash,bch
18,2017/08/19,12495779382,27728,,1204380160,67310,43436,2058,,,115459053828,,120448,30935,,,10.992,,,bitcoin cash,bch
19,2017/08/20,12533124644,19530,,580037446,46598,29700,2288,,,72294285468,,29330,21201,,,3.103,,,bitcoin cash,bch
20,2017/08/21,10801088485,16436,,386145355,40084,23494,1716,,,68222137510,,18736,19852,,,1.885,,,bitcoin cash,bch
21,2017/08/22,10865069520,15033,,607348094,37421,40401,2141,,,74685287379,,14272,18978,,,1.684,,,bitcoin cash,bch
22,2017/08/23,11078513881,9684,,377576794,15885,38990,1504,,,272888550039,,294079,12918,,,65.455,,,bitcoin cash,bch
23,2017/08/24,10663555352,13311,,751702071,49825,56472,3049,,,91536833682,,30483,16463,,,2.531,,,bitcoin cash,bch
24,2017/08/25,10473384397,10916,,403934534,27500,37004,1944,,,89420641867,,9832,13933,,,2.093,,,bitcoin cash,bch
25,2017/08/26,10357121385,8233,,282977062,34709,34371,920.501,,,89420641867,,22524,9485,,,2.13,,,bitcoin cash,bch
26,2017/08/27,10071198250,6328,,286874967,14809,45334,1218,,,131701291700,,89367,8498,,,33.488,,,bitcoin cash,bch
27,2017/08/28,9942684912,10161,,229835763,26976,22619,1142,,,125189898707,,42746,11786,,,8.276,,,bitcoin cash,bch
28,2017/08/29,9507627849,12858,,585778066,32493,45557,1590,,,119369386419,,54864,14007,,,10.141,,,bitcoin cash,bch
29,2017/08/30,9248821358,15867,,802044433,81946,50548,582.065,,,119369386419,,778256,10828,,,16.744,,,bitcoin cash,bch
30,2017/08/31,9807569749,13568,,229472162,64577,16913,305.636,,,119369386419,,882745,9674,,,16.744,,,bitcoin cash,bch
31,2017/09/01,10126953284,10362,,251352175,28112,24257,734.67,,,119369386419,,234168,10019,,,12.414,,,bitcoin cash,bch
32,2017/09/02,9928763793,7858,,219640275,18347,27951,1187,,,119369386419,,31557,8286,,,10.746,,,bitcoin cash,bch
33,2017/09/03,9851874796,7515,,247363962,22273,32916,1502,,,119369386419,,46596,8256,,,10.992,,,bitcoin cash,bch
34,2017/09/04,9367824612,7599,,373228652,18247,49115,1529,,,119369386419,,36227,8411,,,11.163,,,bitcoin cash,bch
35,2017/09/05,8801313675,7328,,325142654,20915,44370,1054,,,119369386419,,77178,7972,,,12.857,,,bitcoin cash,bch
36,2017/09/06,10015238661,8578,,443479516,21359,51700,1924,,,119369386419,,47859,9373,,,10.286,,,bitcoin cash,bch
37,2017/09/07,10937279654,8677,,287487945,20530,33132,1553,,,119369386419,,26564,8874,,,6.957,,,bitcoin cash,bch
38,2017/09/08,10719902238,7552,,259935388,17666,34419,1261,,,119369386419,,22407,8413,,,7.66,,,bitcoin cash,bch
39,2017/09/09,9843710100,6257,,508366340,15857,81248,679.911,,,119369386419,,25915,6470,,,9.114,,,bitcoin cash,bch
40,2017/09/10,9321844973,5430,,212921842,12382,39212,1126,,,119369386419,,64646,5903,,,9.29,,,bitcoin cash,bch
41,2017/09/11,9357150329,7256,,447214314,16756,61634,710.63,,,112376158820,,23750,6686,,,8.276,,,bitcoin cash,bch
42,2017/09/12,9253525526,5993,,288176762,12570,48086,724.575,,,109634813602,,16839,5845,,,7.461,,,bitcoin cash,bch
43,2017/09/13,8427114323,6356,,152165058,15059,23940,748.414,,,109634813602,,24867,6506,,,8.372,,,bitcoin cash,bch
44,2017/09/14,7642167418,7296,,244191993,16467,33469,922.613,,,109634813602,,23209,7707,,,7.742,,,bitcoin cash,bch
45,2017/09/15,6706520910,8634,,306623099,77566,35513,1045,,,109634813602,,218227,9078,,,8.471,,,bitcoin cash,bch
46,2017/09/16,7311212936,7809,,237811180,15354,30453,441.21,,,109634813602,,20125,7912,,,8.421,,,bitcoin cash,bch
47,2017/09/17,7249654850,5027,,144652403,11929,28775,681.647,,,109634813602,,15689,5283,,,8.136,,,bitcoin cash,bch
48,2017/09/18,7833145442,8675,,459159223,18987,52929,472.55,,,109634813602,,12067,9595,,,4.034,,,bitcoin cash,bch
49,2017/09/19,8145510736,9520,,707458955,5464,74313,613.847,,,109634813602,,22993,11066,,,5.414,,,bitcoin cash,bch
50,2017/09/20,8335873129,8099,,269972120,18745,33334,784.421,,,120996082127,,19056,9858,,,5.806,,,bitcoin cash,bch
51,2017/09/21,7647305273,5859,,254341718,10577,43410,954.851,,,167136744099,,105596,7889,,,42.353,,,bitcoin cash,bch
52,2017/09/22,6908746580,6746,,502246701,16059,74451,1041,,,107766775886,,9497,7345,,,3.512,,,bitcoin cash,bch
53,2017/09/23,7040943683,5601,,194713160,12195,34764,619.591,,,106967784187,,8599,7218,,,4.091,,,bitcoin cash,bch
54,2017/09/24,7051422254,6580,,161213523,14945,24501,191.53,,,106967784187,,16525,7303,,,5.455,,,bitcoin cash,bch
55,2017/09/25,7305824214,8976,,285947099,35568,31857,224.764,,,106967784187,,18872,8528,,,5.106,,,bitcoin cash,bch
56,2017/09/26,7554125556,6464,,214769903,14667,33226,411.385,,,106967784187,,14299,7289,,,4.601,,,bitcoin cash,bch
57,2017/09/27,7555300096,8802,,442809742,18637,50308,456.787,,,106967784187,,18770,10311,,,5.217,,,bitcoin cash,bch
58,2017/09/28,7665699540,7926,,401306182,18061,50632,1233,,,196793402010,,59262,8998,,,19.726,,,bitcoin cash,bch
59,2017/09/29,7367951623,5755,,250339704,8222,43500,895.109,,,196793402010,,245451,6516,,,110.769,,,bitcoin cash,bch
60,2017/09/30,7352840439,8445,,291458163,20338,34513,885.277,,,196793402010,,9479,8336,,,2.449,,,bitcoin cash,bch
61,2017/10/01,7055584981,7883,,405691802,18175,51464,1273,,,64485451162,,5099,9007,,,1.485,,,bitcoin cash,bch
62,2017/10/02,6953761337,7252,,290881202,14781,40110,1356,,,212589267721,,10427,8742,,,3.295,,,bitcoin cash,bch
63,2017/10/03,6745600971,4542,,222337602,11887,48951,1147,,,212589267721,,244288,6257,,,102.857,,,bitcoin cash,bch
64,2017/10/04,6345215184,9481,,442086101,24889,46629,1345,,,212589267721,,7257,9457,,,1.698,,,bitcoin cash,bch
65,2017/10/05,5894558093,8625,,483702817,19237,56081,1344,,,222364331490,,4982,9732,,,1.275,,,bitcoin cash,bch
66,2017/10/06,6116783368,6088,,388916022,10983,63882,924.425,,,222364331490,,127002,7951,,,42.353,,,bitcoin cash,bch
67,2017/10/07,6002405922,5044,,241912391,11277,47960,778.942,,,91080818284,,20922,6010,,,10.213,,,bitcoin cash,bch
68,2017/10/08,5936321956,6828,,359423222,13147,52640,1069,,,91080818284,,43766,7684,,,13.458,,,bitcoin cash,bch
69,2017/10/09,5410089995,9074,,469046170,16562,51691,1242,,,91080818284,,55168,10296,,,15.824,,,bitcoin cash,bch
70,2017/10/10,5398713938,8335,,301729116,18788,36200,1220,,,91080818284,,45743,9708,,,12.857,,,bitcoin cash,bch
71,2017/10/11,5236881350,7284,,234367587,18116,32176,531.219,,,91080818284,,54667,8974,,,14.4,,,bitcoin cash,bch
72,2017/10/12,5254475075,12256,,414341884,41331,33807,545.02,,,91080818284,,25532,13606,,,2.59,,,bitcoin cash,bch
73,2017/10/13,5189808319,14947,,302193851,60169,20218,471.8,,,84768257680,,43743,16540,,,1.55,,,bitcoin cash,bch
74,2017/10/14,5337545919,12997,,189324035,154138,14567,222.888,,,84768257680,,1313929,11478,,,15.319,,,bitcoin cash,bch
75,2017/10/15,5241394163,8288,,117005673,33815,14117,413.966,,,84768257680,,358897,8524,,,34.286,,,bitcoin cash,bch
76,2017/10/16,5245130491,9968,,224725262,25950,22545,188.602,,,84768257680,,149829,11598,,,25.714,,,bitcoin cash,bch
77,2017/10/17,5790334082,13193,,413536399,29388,31345,838.972,,,84768257680,,275414,15509,,,46.452,,,bitcoin cash,bch
78,2017/10/18,5633885073,10049,,383432811,22424,38156,1473,,,84768257680,,65152,11193,,,15.158,,,bitcoin cash,bch
79,2017/10/19,5521448731,9348,,193712497,17359,20722,850.867,,,84768257680,,53654,9147,,,12.522,,,bitcoin cash,bch
80,2017/10/20,5477890956,18183,,254964933,27735,14022,22.168,,,84768257680,,125884,10327,,,12,,,bitcoin cash,bch
81,2017/10/21,5363342531,9069,,175478328,14749,19349,321.275,,,84768257680,,94775,8426,,,19.2,,,bitcoin cash,bch
82,2017/10/22,5576268231,7376,,180812209,17212,24514,337.349,,,84768257680,,429375,7506,,,102.857,,,bitcoin cash,bch
83,2017/10/23,5297734911,9250,,178224848,27159,19268,392.918,,,84768257680,,89768,9535,,,13.333,,,bitcoin cash,bch
84,2017/10/24,5443250187,8717,,198958703,22621,22824,541.952,,,67814622099,,52479,9398,,,9.114,,,bitcoin cash,bch
85,2017/10/25,5463034289,10485,,188024465,20855,17933,457.894,,,67814622099,,46053,8692,,,8.372,,,bitcoin cash,bch
86,2017/10/26,5642261218,9350,,221552622,22280,23695,1672,,,67814622099,,18655,7693,,,3.609,,,bitcoin cash,bch
87,2017/10/27,null,null,,null,21940,null,null,,,null,,null,null,,,null,,,bitcoin cash,bch
88,2017/10/28,null,null,,null,null,null,null,,,null,,null,null,,,null,,,bitcoin cash,bch
