,date,transactions,hashrate,sent_addresses,difficulty,send_usd,mining_profitability,av_transaction_size,av_transaction_value,median_transaction_size,google_trends,median_transaction_value,top_100_percent,block_size,fee_reward,active_addresses,tweets,confirmation_time,market_cap,full_name,coin
0,2017/11/12,null,925.743,1,1,null,,,null,,,,,133,,,,0.254,6472916353,bitcoin gold,btg
1,2017/11/13,2546,261021725,2429,268321,9499065,,,3731,,,211.805,,796.065,,,,0.501,4539451857,bitcoin gold,btg
2,2017/11/14,6449,163349942,6149,4340528,56053333,,,8692,,,181.583,,25301,,,,9.474,3389801888,bitcoin gold,btg
3,2017/11/15,6098,43774921,5294,3267313,88930435,,,14584,,,224.182,,31040,,16473,,10,2606858312,bitcoin gold,btg
4,2017/11/16,5090,46882878,5970,3246569,117944993,,,23172,,,253.379,,24047,,12916,,9.536,2565706716,bitcoin gold,btg
5,2017/11/17,5059,41217282,5979,2988552,113428996,,,22421,,,237.511,,22438,,12794,,10,2253574698,bitcoin gold,btg
6,2017/11/18,5993,41988656,6333,2909325,208262173,,,34751,,,342.759,,26611,,18103,,9.536,2256549573,bitcoin gold,btg
7,2017/11/19,4636,48466981,5486,3489825,67745401,,,14613,,,245.379,,23292,,13282,,10.588,2084017494,bitcoin gold,btg
8,2017/11/20,14294,36502696,12740,2724815,425157505,,,29744,,,331.704,,61785,,40267,,9.412,1836556906,bitcoin gold,btg
9,2017/11/21,25481,86119427,24362,5154292,1236235098,,,48516,,,608.726,,91557,,73185,,8.421,3929214959,bitcoin gold,btg
10,2017/11/22,11965,68079950,13301,4973248,264810635,,,22132,,,434.213,,127033,,71698,,9.931,4150419275,bitcoin gold,btg
11,2017/11/23,10930,72642176,12851,4984716,116142541,,,10626,,,432.421,,58226,,36440,,9.351,4583761536,bitcoin gold,btg
12,2017/11/24,22061,110246171,21349,7122679,505746700,,,22925,,,1319,,93357,,66425,,9.172,6048861482,bitcoin gold,btg
13,2017/11/25,13333,97901684,13057,6976159,394174776,,,29564,,,737.35,,124481,,68400,,10,6264725956,bitcoin gold,btg
14,2017/11/26,15488,99124529,11474,6879051,451691178,,,29164,,,178.266,,296297,,107326,,9.796,5843672453,bitcoin gold,btg
15,2017/11/27,11717,91639646,11932,6575275,461253944,,,39366,,,368.921,,147360,,101844,,9.474,6157368368,bitcoin gold,btg
16,2017/11/28,9906,98373038,9985,7126543,218274006,,,22035,,,585.781,,46504,,29076,,10.07,5791979722,bitcoin gold,btg
17,2017/11/29,9679,89787147,10101,6220226,179968526,,,18594,,,552.195,,41148,,29856,,9.057,5325017358,bitcoin gold,btg
18,2017/11/30,5924,80727940,6627,5673669,99614761,,,16815,,,438.507,,28321,,19211,,9.474,4796508734,bitcoin gold,btg
19,2017/12/01,5667,87610809,6755,5816426,117407842,,,20718,,,464.482,,27656,,18203,,9.351,4855113224,bitcoin gold,btg
