,mining_profitability,date,send_usd,transactions,sent_addresses,hashrate,difficulty,confirmation_time,av_transaction_size,block_size,av_transaction_value,top_100_percent,median_transaction_size,fee_reward,market_cap,median_transaction_value,google_trends,active_addresses,tweets,full_name,coin
0,,2018/11/26,62781729,9331,4390,,312522746510,14.694,,43005,6728,,,,1950741661,,,,,bitcoin sv,bsv
1,,2018/11/27,74079457,5127,4089,,183651739313,11.803,,27484,14449,,,,1605763372,,,,,bitcoin sv,bsv
2,,2018/11/28,117069778,5683,3554,,137604830967,10.511,,28128,20600,,,,1710704771,,,,,bitcoin sv,bsv
3,,2018/11/29,43707208,3599,2785,,218077443129,8.182,,14896,12144,,,,1713143409,,,,,bitcoin sv,bsv
4,,2018/11/30,137624100,3957,2523,,224199874691,9.536,,92447,34780,,,,1664615693,,,,,bitcoin sv,bsv
5,,2018/12/01,66689600,3729,2634,,230294848400,10.511,,13988,17884,,,,1634393097,,,,,bitcoin sv,bsv
6,,2018/12/02,113800552,2555,1851,,210878335269,9.351,,9379,44540,,,,1753903283,,,,,bitcoin sv,bsv
7,,2018/12/03,111959139,2578,2174,,268402819470,10.36,,13686,43429,,,,1650811547,,,,,bitcoin sv,bsv
8,,2018/12/04,112971816,3160,2274,,240806384809,11.163,,14468,35751,,,,1576169659,,,,,bitcoin sv,bsv
9,,2018/12/05,163754439,3497,2802,,207375318449,9.536,,12456,46827,,,,1568897717,,,,,bitcoin sv,bsv
10,,2018/12/06,425555067,4182,3571,,237437991684,10.07,,18026,101759,,,,1678564340,,,,,bitcoin sv,bsv
11,,2018/12/07,1018381858,4248,3921,,214388770452,10.667,,27420,239732,,,,1850999407,,,,441,bitcoin sv,bsv
12,,2018/12/08,399096519,3224,2344,,189267228927,10.141,,11707,123789,,,,1770456107,,,,544,bitcoin sv,bsv
13,,2018/12/09,395666079,3271,2071,,216125610080,9.231,,10035,120962,,,,1705468900,,,,373,bitcoin sv,bsv
14,,2018/12/10,337955368,4264,2220,,215236005025,9.6,,14075,79258,,,,1715192504,,,,293,bitcoin sv,bsv
15,,2018/12/11,467363114,3672,1793,,214835569528,11.901,,17045,127278,,,,1598504168,,,,394,bitcoin sv,bsv
16,,2018/12/12,162386201,2234,4100,,195910567685,9.6,,11517,72689,,,,1577758956,,,,228,bitcoin sv,bsv
17,,2018/12/13,606613232,179093,4572,,195011338397,9.412,,325242,3387,,,,1501290510,,,,314,bitcoin sv,bsv
18,,2018/12/14,1466038899,130199,4265,,234455869088,11.613,,293873,11260,,,,1351587389,,,,352,bitcoin sv,bsv
19,,2018/12/15,1261164807,4851,4060,,180668336187,11.163,,14725,259980,,,,1219724599,,,,188,bitcoin sv,bsv
20,,2018/12/16,1065310025,85323,3974,,162841007662,10,,174847,12486,,,,1349156410,,,,213,bitcoin sv,bsv
21,,2018/12/17,856328769,1958,1569,,160001453376,9.412,,6518,437349,,,,1392416022,,,,223,bitcoin sv,bsv
22,,2018/12/18,933171439,2560,1717,,168979308118,11.429,,60791,364520,,,,1417467412,,,7734,220,bitcoin sv,bsv
23,,2018/12/19,689487848,2944,2276,,137987978656,8.944,,9723,234201,,,,1555813238,,,5114,136,bitcoin sv,bsv
24,,2018/12/20,512326028,3465,2590,,152515365573,11.52,,19010,147857,,,,1759715639,,,6183,225,bitcoin sv,bsv
25,,2018/12/21,315213047,3548,2990,,188056535912,9.057,,14898,88842,,,,2041761103,,,7550,324,bitcoin sv,bsv
26,,2018/12/22,125353366,2389,1596,,170121504976,10.141,,10296,52471,,,,1873382893,,,4962,185,bitcoin sv,bsv
27,,2018/12/23,210571106,1704,1183,,165075610705,10.286,,5837,123575,,,,1886371295,,,4261,142,bitcoin sv,bsv
28,,2018/12/24,396710574,24723,3555,,172773318163,10.746,,45317,16046,,,,1908062437,,,6899,114,bitcoin sv,bsv
29,,2018/12/25,127502128,292826,1411,,144833099222,9.863,,454186,435.419,,,,1634537160,,,3139,168,bitcoin sv,bsv
30,,2018/12/26,126981230,2115,1718,,145094407626,10.992,,6897,60038,,,,1655347184,,,2839,136,bitcoin sv,bsv
31,,2018/12/27,207745386,2759,2121,,133986055041,10.141,,8410,75297,,,,1598067251,,,3834,158,bitcoin sv,bsv
32,,2018/12/28,155682912,3203,1676,,130845990674,9.114,,14088,48605,,,,1528218696,,,3400,133,bitcoin sv,bsv
33,,2018/12/29,104671908,2252,1254,,173977643356,9.664,,25648,46480,,,,1606204736,,,5862,143,bitcoin sv,bsv
