,date,active_addresses,tweets,top_100_percent,difficulty,transactions,av_transaction_size,market_cap,confirmation_time,median_transaction_value,send_usd,google_trends,block_size,mining_profitability,hashrate,sent_addresses,median_transaction_size,fee_reward,av_transaction_value,full_name,coin
0,2009/01/03,null,,null,1,null,,,,,,,204,,null,,,,,bitcoin,btc
1,2009/01/04,null,,null,null,null,,,,,,,null,,null,,,,,bitcoin,btc
2,2009/01/05,null,,null,null,null,,,,,,,null,,null,,,,,bitcoin,btc
3,2009/01/06,null,,null,null,null,,,,,,,null,,null,,,,,bitcoin,btc
4,2009/01/07,null,,null,null,null,,,,,,,null,,null,,,,,bitcoin,btc
5,2009/01/08,null,,null,null,null,,,,,,,null,,null,,,,,bitcoin,btc
6,2009/01/09,14,,100,1,null,,,102.857,,,,134,,12576322,1,,,,bitcoin,btc
7,2009/01/10,61,,100,1,null,,,23.607,,,,134.23,,9378233,null,,,,bitcoin,btc
8,2009/01/11,93,,59.524,1,null,,,15.484,,,,134.409,,4857511,1,,,,bitcoin,btc
9,2009/01/12,102,,38.168,1,7,,,15.319,,,,153.372,,4567766,7,,,,bitcoin,btc
10,2009/01/13,123,,25.974,1,null,,,11.707,,,,134.667,,5654593,10,,,,bitcoin,btc
11,2009/01/14,133,,19.498,1,1,,,11.163,,,,138.194,,6206668,20,,,,bitcoin,btc
12,2009/01/15,140,,16.284,1,8,,,11.429,,,,157.579,,6365454,18,,,,bitcoin,btc
13,2009/01/16,114,,14.201,1,2,,,13.333,,,,139.87,,6070043,16,,,,bitcoin,btc
14,2009/01/17,109,,12.394,1,null,,,13.211,,,,134.853,,5240736,18,,,,bitcoin,btc
15,2009/01/18,111,,11.226,1,1,,,13.458,,,,138.944,,5190081,16,,,,bitcoin,btc
16,2009/01/19,133,,11.373,1,2,,,12.522,,,,151.896,,5762472,22,,,,bitcoin,btc
17,2009/01/20,123,,10.873,1,1,,,12.632,,,,143.728,,5793593,21,,,,bitcoin,btc
18,2009/01/21,105,,10.094,1,1,,,14.118,,,,137.99,,5559411,22,,,,bitcoin,btc
19,2009/01/22,102,,10.153,1,1,,,15.824,,,,147.747,,4120719,12,,,,bitcoin,btc
20,2009/01/23,95,,10.117,1,2,,,17.143,,,,148.238,,3518417,18,,,,bitcoin,btc
21,2009/01/24,212,,9.439,1,1,,,7.164,,,,141.06,,8393223,22,,,,bitcoin,btc
22,2009/01/25,193,,8.47,1,1,,,7.539,,,,136,,9962644,14,,,,bitcoin,btc
23,2009/01/26,117,,9.077,1,1,,,15,,,,158.948,,7689965,17,,,,bitcoin,btc
24,2009/01/27,101,,8.745,1,1,,,14.845,,,,139.309,,4617016,8,,,,bitcoin,btc
25,2009/01/28,112,,8.293,1,null,,,12.857,,,,134.652,,4962996,23,,,,bitcoin,btc
26,2009/01/29,134,,8.379,1,1,,,11.901,,,,146.256,,5795924,24,,,,bitcoin,btc
27,2009/01/30,117,,7.972,1,null,,,12.308,,,,134.872,,6240808,23,,,,bitcoin,btc
28,2009/01/31,159,,8.286,1,1,,,10.435,,,,151.464,,6051994,36,,,,bitcoin,btc
29,2009/02/01,116,,7.971,1,1,,,12.743,,,,137.204,,6190608,31,,,,bitcoin,btc
30,2009/02/02,130,,7.605,1,1,,,11.25,,,,136.094,,6153545,37,,,,bitcoin,btc
31,2009/02/03,154,,7.258,1,16,,,10.36,,,,167.496,,6704449,50,,,,bitcoin,btc
32,2009/02/04,119,,6.974,1,null,,,12.101,,,,134.739,,6346531,26,,,,bitcoin,btc
33,2009/02/05,126,,6.696,1,null,,,11.429,,,,134.722,,6048969,34,,,,bitcoin,btc
34,2009/02/06,122,,6.448,1,null,,,11.803,,,,134.836,,6295545,19,,,,bitcoin,btc
35,2009/02/07,156,,6.789,1,4,,,11.163,,,,159.31,,6330966,32,,,,bitcoin,btc
36,2009/02/08,134,,6.536,1,1,,,10.909,,,,136.576,,6434968,46,,,,bitcoin,btc
37,2009/02/09,179,,7.493,1,1,,,10.746,,,,172.604,,6421922,34,,,,bitcoin,btc
38,2009/02/10,120,,7.256,1,null,,,12,,,,134.667,,6511267,18,,,,bitcoin,btc
39,2009/02/11,147,,7.24,1,2,,,10.827,,,,148.128,,6460281,27,,,,bitcoin,btc
40,2009/02/12,119,,7.027,1,null,,,12.101,,,,134.874,,6046361,22,,,,bitcoin,btc
41,2009/02/13,124,,6.819,1,null,,,11.613,,,,134.903,,6055061,27,,,,bitcoin,btc
42,2009/02/14,136,,6.604,1,null,,,10.588,,,,134.787,,6655610,29,,,,bitcoin,btc
43,2009/02/15,142,,6.639,1,3,,,11.25,,,,148.383,,6358856,32,,,,bitcoin,btc
44,2009/02/16,153,,7.118,1,1,,,11.803,,,,163.172,,6230951,26,,,,bitcoin,btc
45,2009/02/17,117,,6.941,1,null,,,12.308,,,,134.897,,5876537,27,,,,bitcoin,btc
46,2009/02/18,118,,6.77,1,null,,,12.203,,,,134.941,,5957088,23,,,,bitcoin,btc
47,2009/02/19,141,,6.925,1,1,,,11.613,,,,150.048,,5943972,37,,,,bitcoin,btc
48,2009/02/20,122,,6.757,1,null,,,11.803,,,,134.852,,6302263,29,,,,bitcoin,btc
49,2009/02/21,114,,6.608,1,null,,,12.632,,,,134.965,,5624662,22,,,,bitcoin,btc
50,2009/02/22,133,,6.589,1,4,,,11.901,,,,147.545,,6022206,28,,,,bitcoin,btc
51,2009/02/23,108,,6.457,1,null,,,13.333,,,,134.991,,5531524,22,,,,bitcoin,btc
52,2009/02/24,106,,6.333,1,null,,,13.585,,,,134.934,,5457302,16,,,,bitcoin,btc
53,2009/02/25,105,,6.214,1,null,,,13.714,,,,134.867,,5346698,16,,,,bitcoin,btc
54,2009/02/26,107,,6.097,1,null,,,13.458,,,,134.963,,5036662,14,,,,bitcoin,btc
55,2009/02/27,152,,6.595,1,1,,,12.522,,,,170.8,,5729494,26,,,,bitcoin,btc
56,2009/02/28,107,,6.603,1,1,,,14.545,,,,143.525,,5316849,8,,,,bitcoin,btc
57,2009/03/01,105,,6.488,1,null,,,13.714,,,,134.952,,5054096,16,,,,bitcoin,btc
58,2009/03/02,108,,6.374,1,null,,,13.333,,,,134.963,,5331702,15,,,,bitcoin,btc
59,2009/03/03,114,,6.395,1,2,,,13.714,,,,144.429,,5226712,17,,,,bitcoin,btc
60,2009/03/04,130,,6.668,1,2,,,13.846,,,,163.712,,5294369,22,,,,bitcoin,btc
61,2009/03/05,121,,6.677,1,1,,,12.857,,,,143.411,,5166785,23,,,,bitcoin,btc
62,2009/03/06,117,,6.558,1,null,,,12.308,,,,134.923,,5859262,31,,,,bitcoin,btc
63,2009/03/07,109,,6.451,1,null,,,13.211,,,,134.972,,5644853,25,,,,bitcoin,btc
64,2009/03/08,142,,6.695,1,3,,,12.522,,,,162.591,,5561590,19,,,,bitcoin,btc
65,2009/03/09,108,,6.59,1,null,,,13.333,,,,134.713,,5735349,21,,,,bitcoin,btc
66,2009/03/10,107,,6.489,1,null,,,13.458,,,,134.972,,5209928,21,,,,bitcoin,btc
67,2009/03/11,114,,6.386,1,null,,,12.632,,,,134.886,,5454076,25,,,,bitcoin,btc
68,2009/03/12,122,,6.309,1,1,,,12.203,,,,138.534,,5725069,30,,,,bitcoin,btc
69,2009/03/13,127,,6.389,1,1,,,12.743,,,,148.389,,5657424,14,,,,bitcoin,btc
70,2009/03/14,110,,6.295,1,null,,,13.091,,,,134.791,,5678662,24,,,,bitcoin,btc
71,2009/03/15,123,,6.193,1,null,,,11.707,,,,134.967,,5783981,28,,,,bitcoin,btc
72,2009/03/16,170,,6.718,1,1,,,11.901,,,,180.512,,6164511,28,,,,bitcoin,btc
73,2009/03/17,114,,6.62,1,null,,,12.632,,,,134.965,,5863375,24,,,,bitcoin,btc
74,2009/03/18,129,,6.702,1,2,,,12.632,,,,149.711,,5612209,16,,,,bitcoin,btc
75,2009/03/19,122,,6.6,1,null,,,11.803,,,,134.787,,5959575,26,,,,bitcoin,btc
76,2009/03/20,131,,6.652,1,1,,,12.203,,,,146.856,,6034212,27,,,,bitcoin,btc
77,2009/03/21,50,,6.611,1,null,,,28.8,,,,134.88,,5293010,26,,,,bitcoin,btc
78,2009/03/22,131,,6.649,1,2,,,12.101,,,,146.126,,3769984,33,,,,bitcoin,btc
79,2009/03/23,130,,6.547,1,null,,,11.077,,,,134.923,,6360511,30,,,,bitcoin,btc
80,2009/03/24,105,,6.467,1,null,,,13.714,,,,134.981,,5685246,17,,,,bitcoin,btc
81,2009/03/25,117,,6.38,1,null,,,12.308,,,,134.786,,5682962,29,,,,bitcoin,btc
82,2009/03/26,146,,6.613,1,1,,,12.308,,,,162.607,,5763023,25,,,,bitcoin,btc
83,2009/03/27,106,,6.534,1,null,,,13.585,,,,134.953,,5567742,22,,,,bitcoin,btc
84,2009/03/28,140,,6.669,1,3,,,12.101,,,,155.235,,5605066,28,,,,bitcoin,btc
85,2009/03/29,116,,6.585,1,null,,,12.414,,,,134.966,,5563060,25,,,,bitcoin,btc
86,2009/03/30,120,,6.5,1,null,,,12,,,,134.85,,6174270,33,,,,bitcoin,btc
87,2009/03/31,143,,6.764,1,1,,,13.091,,,,168.518,,5736621,18,,,,bitcoin,btc
88,2009/04/01,114,,6.683,1,null,,,12.632,,,,134.86,,5430648,23,,,,bitcoin,btc
89,2009/04/02,115,,6.603,1,null,,,12.522,,,,134.887,,5955989,26,,,,bitcoin,btc
90,2009/04/03,116,,6.525,1,null,,,12.414,,,,134.948,,5594588,31,,,,bitcoin,btc
91,2009/04/04,113,,6.45,1,null,,,12.743,,,,134.743,,5601954,27,,,,bitcoin,btc
92,2009/04/05,148,,6.536,1,2,,,11.077,,,,150.554,,6248209,37,,,,bitcoin,btc
93,2009/04/06,109,,6.465,1,null,,,13.211,,,,134.982,,6073474,22,,,,bitcoin,btc
94,2009/04/07,100,,6.402,1,null,,,14.4,,,,134.99,,5094113,9,,,,bitcoin,btc
95,2009/04/08,105,,6.337,1,null,,,13.714,,,,135,,5105377,18,,,,bitcoin,btc
96,2009/04/09,99,,6.276,1,null,,,14.545,,,,134.737,,4926977,18,,,,bitcoin,btc
97,2009/04/10,108,,6.212,1,null,,,13.333,,,,134.944,,5064620,22,,,,bitcoin,btc
98,2009/04/11,128,,6.198,1,1,,,12,,,,142.333,,5914151,32,,,,bitcoin,btc
99,2009/04/12,127,,6.195,1,2,,,12.203,,,,143.712,,5859512,24,,,,bitcoin,btc
100,2009/04/13,117,,6.129,1,1,,,12.522,,,,136.965,,5825783,27,,,,bitcoin,btc
101,2009/04/14,124,,6.06,1,null,,,11.613,,,,134.952,,6041215,35,,,,bitcoin,btc
102,2009/04/15,113,,5.998,1,null,,,12.743,,,,134.743,,5699780,22,,,,bitcoin,btc
103,2009/04/16,123,,5.933,1,null,,,11.707,,,,134.894,,6045975,28,,,,bitcoin,btc
104,2009/04/17,112,,5.874,1,null,,,12.857,,,,134.857,,5826039,16,,,,bitcoin,btc
105,2009/04/18,131,,5.815,1,4,,,11.429,,,,141.04,,5872722,29,,,,bitcoin,btc
106,2009/04/19,128,,5.824,1,1,,,12.101,,,,143,,6050241,22,,,,bitcoin,btc
107,2009/04/20,236,,6.74,1,2,,,12.101,,,,246.034,,5962870,26,,,,bitcoin,btc
108,2009/04/21,125,,6.67,1,1,,,11.707,,,,136.74,,5974516,26,,,,bitcoin,btc
109,2009/04/22,121,,6.603,1,null,,,11.901,,,,134.967,,6015670,21,,,,bitcoin,btc
110,2009/04/23,75,,6.561,1,null,,,19.2,,,,134.68,,4910702,15,,,,bitcoin,btc
111,2009/04/24,115,,6.499,1,null,,,12.522,,,,134.904,,4815481,24,,,,bitcoin,btc
112,2009/04/25,118,,6.436,1,null,,,12.203,,,,134.864,,5862788,29,,,,bitcoin,btc
113,2009/04/26,128,,6.5,1,2,,,12.857,,,,151.054,,5785290,23,,,,bitcoin,btc
114,2009/04/27,104,,6.445,1,null,,,13.846,,,,134.894,,5197535,16,,,,bitcoin,btc
115,2009/04/28,117,,6.385,1,null,,,12.308,,,,134.632,,5639535,28,,,,bitcoin,btc
116,2009/04/29,149,,6.478,1,1,,,11.25,,,,153.094,,5983533,24,,,,bitcoin,btc
117,2009/04/30,131,,6.412,1,null,,,10.992,,,,134.954,,6626342,22,,,,bitcoin,btc
118,2009/05/01,121,,6.352,1,null,,,11.901,,,,134.876,,6087167,32,,,,bitcoin,btc
119,2009/05/02,142,,6.39,1,2,,,11.429,,,,150.373,,6370022,42,,,,bitcoin,btc
120,2009/05/03,110,,6.339,1,3,,,13.585,,,,142.726,,5432058,35,,,,bitcoin,btc
121,2009/05/04,159,,6.503,1,1,,,11.25,,,,161.93,,6028806,33,,,,bitcoin,btc
122,2009/05/05,146,,6.512,1,1,,,10.667,,,,143.667,,6654245,36,,,,bitcoin,btc
