,date,active_addresses,market_cap,difficulty,confirmation_time,fee_reward,transactions,av_transaction_value,google_trends,top_100_percent,hashrate,av_transaction_size,median_transaction_size,send_usd,median_transaction_value,block_size,tweets,sent_addresses,mining_profitability,full_name,coin
0,2009/01/03,nullnullnull,,1nullnull,,,nullnullnull,,,,,,,,,204nullnull,,,,bitcoinscrypt,bitcoinscrypt
1,2009/01/04,nullnullnull,,nullnullnull,,,nullnullnull,,,,,,,,,nullnullnull,,,,bitcoinscrypt,bitcoinscrypt
2,2009/01/05,nullnullnull,,nullnullnull,,,nullnullnull,,,,,,,,,nullnullnull,,,,bitcoinscrypt,bitcoinscrypt
3,2009/01/06,nullnullnull,,nullnullnull,,,nullnullnull,,,,,,,,,nullnullnull,,,,bitcoinscrypt,bitcoinscrypt
4,2009/01/07,nullnullnull,,nullnullnull,,,nullnullnull,,,,,,,,,nullnullnull,,,,bitcoinscrypt,bitcoinscrypt
5,2009/01/08,nullnullnull,,nullnullnull,,,nullnullnull,,,,,,,,,nullnullnull,,,,bitcoinscrypt,bitcoinscrypt
6,2009/01/09,14nullnull,,1nullnull,,,nullnullnull,,,,,,,,,134nullnull,,1nullnull,,bitcoinscrypt,bitcoinscrypt
7,2009/01/10,61nullnull,,1nullnull,,,nullnullnull,,,,,,,,,134.23nullnull,,nullnullnull,,bitcoinscrypt,bitcoinscrypt
8,2009/01/11,93nullnull,,1nullnull,,,nullnullnull,,,,,,,,,134.409nullnull,,1nullnull,,bitcoinscrypt,bitcoinscrypt
9,2009/01/12,102nullnull,,1nullnull,,,7nullnull,,,,,,,,,153.372nullnull,,7nullnull,,bitcoinscrypt,bitcoinscrypt
10,2009/01/13,123nullnull,,1nullnull,,,nullnullnull,,,,,,,,,134.667nullnull,,10nullnull,,bitcoinscrypt,bitcoinscrypt
11,2009/01/14,133nullnull,,1nullnull,,,1nullnull,,,,,,,,,138.194nullnull,,20nullnull,,bitcoinscrypt,bitcoinscrypt
12,2009/01/15,140nullnull,,1nullnull,,,8nullnull,,,,,,,,,157.579nullnull,,18nullnull,,bitcoinscrypt,bitcoinscrypt
13,2009/01/16,114nullnull,,1nullnull,,,2nullnull,,,,,,,,,139.87nullnull,,16nullnull,,bitcoinscrypt,bitcoinscrypt
14,2009/01/17,109nullnull,,1nullnull,,,nullnullnull,,,,,,,,,134.853nullnull,,18nullnull,,bitcoinscrypt,bitcoinscrypt
15,2009/01/18,111nullnull,,1nullnull,,,1nullnull,,,,,,,,,138.944nullnull,,16nullnull,,bitcoinscrypt,bitcoinscrypt
16,2009/01/19,133nullnull,,1nullnull,,,2nullnull,,,,,,,,,151.896nullnull,,22nullnull,,bitcoinscrypt,bitcoinscrypt
17,2009/01/20,123nullnull,,1nullnull,,,1nullnull,,,,,,,,,143.728nullnull,,21nullnull,,bitcoinscrypt,bitcoinscrypt
18,2009/01/21,105nullnull,,1nullnull,,,1nullnull,,,,,,,,,137.99nullnull,,22nullnull,,bitcoinscrypt,bitcoinscrypt
19,2009/01/22,102nullnull,,1nullnull,,,1nullnull,,,,,,,,,147.747nullnull,,12nullnull,,bitcoinscrypt,bitcoinscrypt
20,2009/01/23,95nullnull,,1nullnull,,,2nullnull,,,,,,,,,148.238nullnull,,18nullnull,,bitcoinscrypt,bitcoinscrypt
21,2009/01/24,212nullnull,,1nullnull,,,1nullnull,,,,,,,,,141.06nullnull,,22nullnull,,bitcoinscrypt,bitcoinscrypt
22,2009/01/25,193nullnull,,1nullnull,,,1nullnull,,,,,,,,,136nullnull,,14nullnull,,bitcoinscrypt,bitcoinscrypt
23,2009/01/26,117nullnull,,1nullnull,,,1nullnull,,,,,,,,,158.948nullnull,,17nullnull,,bitcoinscrypt,bitcoinscrypt
24,2009/01/27,101nullnull,,1nullnull,,,1nullnull,,,,,,,,,139.309nullnull,,8nullnull,,bitcoinscrypt,bitcoinscrypt
25,2009/01/28,112nullnull,,1nullnull,,,nullnullnull,,,,,,,,,134.652nullnull,,23nullnull,,bitcoinscrypt,bitcoinscrypt
26,2009/01/29,134nullnull,,1nullnull,,,1nullnull,,,,,,,,,146.256nullnull,,24nullnull,,bitcoinscrypt,bitcoinscrypt
27,2009/01/30,117nullnull,,1nullnull,,,nullnullnull,,,,,,,,,134.872nullnull,,23nullnull,,bitcoinscrypt,bitcoinscrypt
