,date,active_addresses,confirmation_time,top_100_percent,send_usd,av_transaction_size,hashrate,market_cap,av_transaction_value,sent_addresses,google_trends,fee_reward,transactions,difficulty,mining_profitability,median_transaction_value,tweets,median_transaction_size,block_size,full_name,coin
0,2009/01/03,nullnullnull,,,,,,,,,,,nullnullnull,1nullnull,,,,,204nullnull,bitconnect,bitconnect
1,2009/01/04,nullnullnull,,,,,,,,,,,nullnullnull,nullnullnull,,,,,nullnullnull,bitconnect,bitconnect
2,2009/01/05,nullnullnull,,,,,,,,,,,nullnullnull,nullnullnull,,,,,nullnullnull,bitconnect,bitconnect
3,2009/01/06,nullnullnull,,,,,,,,,,,nullnullnull,nullnullnull,,,,,nullnullnull,bitconnect,bitconnect
4,2009/01/07,nullnullnull,,,,,,,,,,,nullnullnull,nullnullnull,,,,,nullnullnull,bitconnect,bitconnect
5,2009/01/08,nullnullnull,,,,,,,,,,,nullnullnull,nullnullnull,,,,,nullnullnull,bitconnect,bitconnect
6,2009/01/09,14nullnull,,,,,,,,1nullnull,,,nullnullnull,1nullnull,,,,,134nullnull,bitconnect,bitconnect
7,2009/01/10,61nullnull,,,,,,,,nullnullnull,,,nullnullnull,1nullnull,,,,,134.23nullnull,bitconnect,bitconnect
8,2009/01/11,93nullnull,,,,,,,,1nullnull,,,nullnullnull,1nullnull,,,,,134.409nullnull,bitconnect,bitconnect
9,2009/01/12,102nullnull,,,,,,,,7nullnull,,,7nullnull,1nullnull,,,,,153.372nullnull,bitconnect,bitconnect
10,2009/01/13,123nullnull,,,,,,,,10nullnull,,,nullnullnull,1nullnull,,,,,134.667nullnull,bitconnect,bitconnect
11,2009/01/14,133nullnull,,,,,,,,20nullnull,,,1nullnull,1nullnull,,,,,138.194nullnull,bitconnect,bitconnect
12,2009/01/15,140nullnull,,,,,,,,18nullnull,,,8nullnull,1nullnull,,,,,157.579nullnull,bitconnect,bitconnect
13,2009/01/16,114nullnull,,,,,,,,16nullnull,,,2nullnull,1nullnull,,,,,139.87nullnull,bitconnect,bitconnect
14,2009/01/17,109nullnull,,,,,,,,18nullnull,,,nullnullnull,1nullnull,,,,,134.853nullnull,bitconnect,bitconnect
15,2009/01/18,111nullnull,,,,,,,,16nullnull,,,1nullnull,1nullnull,,,,,138.944nullnull,bitconnect,bitconnect
16,2009/01/19,133nullnull,,,,,,,,22nullnull,,,2nullnull,1nullnull,,,,,151.896nullnull,bitconnect,bitconnect
17,2009/01/20,123nullnull,,,,,,,,21nullnull,,,1nullnull,1nullnull,,,,,143.728nullnull,bitconnect,bitconnect
18,2009/01/21,105nullnull,,,,,,,,22nullnull,,,1nullnull,1nullnull,,,,,137.99nullnull,bitconnect,bitconnect
19,2009/01/22,102nullnull,,,,,,,,12nullnull,,,1nullnull,1nullnull,,,,,147.747nullnull,bitconnect,bitconnect
20,2009/01/23,95nullnull,,,,,,,,18nullnull,,,2nullnull,1nullnull,,,,,148.238nullnull,bitconnect,bitconnect
21,2009/01/24,212nullnull,,,,,,,,22nullnull,,,1nullnull,1nullnull,,,,,141.06nullnull,bitconnect,bitconnect
22,2009/01/25,193nullnull,,,,,,,,14nullnull,,,1nullnull,1nullnull,,,,,136nullnull,bitconnect,bitconnect
23,2009/01/26,117nullnull,,,,,,,,17nullnull,,,1nullnull,1nullnull,,,,,158.948nullnull,bitconnect,bitconnect
24,2009/01/27,101nullnull,,,,,,,,8nullnull,,,1nullnull,1nullnull,,,,,139.309nullnull,bitconnect,bitconnect
25,2009/01/28,112nullnull,,,,,,,,23nullnull,,,nullnullnull,1nullnull,,,,,134.652nullnull,bitconnect,bitconnect
26,2009/01/29,134nullnull,,,,,,,,24nullnull,,,1nullnull,1nullnull,,,,,146.256nullnull,bitconnect,bitconnect
