,date,transactions,sent_addresses,block_size,median_transaction_value,confirmation_time,hashrate,market_cap,av_transaction_value,av_transaction_size,mining_profitability,active_addresses,fee_reward,send_usd,top_100_percent,difficulty,google_trends,median_transaction_size,tweets,full_name,coin
0,2009/01/03,,,,,,,,,,,,,,,,,,,bitstar,bitstar
1,2009/01/04,,,,,,,,,,,,,,,,,,,bitstar,bitstar
2,2009/01/05,,,,,,,,,,,,,,,,,,,bitstar,bitstar
3,2009/01/06,,,,,,,,,,,,,,,,,,,bitstar,bitstar
4,2009/01/07,,,,,,,,,,,,,,,,,,,bitstar,bitstar
5,2009/01/08,,,,,,,,,,,,,,,,,,,bitstar,bitstar
6,2009/01/09,,,,,,,,,,,,,,,,,,,bitstar,bitstar
7,2009/01/10,,,,,,,,,,,,,,,,,,,bitstar,bitstar
8,2009/01/11,,,,,,,,,,,,,,,,,,,bitstar,bitstar
9,2009/01/12,,,,,,,,,,,,,,,,,,,bitstar,bitstar
10,2009/01/13,,,,,,,,,,,,,,,,,,,bitstar,bitstar
11,2009/01/14,,,,,,,,,,,,,,,,,,,bitstar,bitstar
12,2009/01/15,,,,,,,,,,,,,,,,,,,bitstar,bitstar
13,2009/01/16,,,,,,,,,,,,,,,,,,,bitstar,bitstar
14,2009/01/17,,,,,,,,,,,,,,,,,,,bitstar,bitstar
15,2009/01/18,,,,,,,,,,,,,,,,,,,bitstar,bitstar
16,2009/01/19,,,,,,,,,,,,,,,,,,,bitstar,bitstar
17,2009/01/20,,,,,,,,,,,,,,,,,,,bitstar,bitstar
18,2009/01/21,,,,,,,,,,,,,,,,,,,bitstar,bitstar
19,2009/01/22,,,,,,,,,,,,,,,,,,,bitstar,bitstar
20,2009/01/23,,,,,,,,,,,,,,,,,,,bitstar,bitstar
21,2009/01/24,,,,,,,,,,,,,,,,,,,bitstar,bitstar
22,2009/01/25,,,,,,,,,,,,,,,,,,,bitstar,bitstar
23,2009/01/26,,,,,,,,,,,,,,,,,,,bitstar,bitstar
24,2009/01/27,,,,,,,,,,,,,,,,,,,bitstar,bitstar
25,2009/01/28,,,,,,,,,,,,,,,,,,,bitstar,bitstar
26,2009/01/29,,,,,,,,,,,,,,,,,,,bitstar,bitstar
27,2009/01/30,,,,,,,,,,,,,,,,,,,bitstar,bitstar
28,2009/01/31,,,,,,,,,,,,,,,,,,,bitstar,bitstar
29,2009/02/01,,,,,,,,,,,,,,,,,,,bitstar,bitstar
30,2009/02/02,,,,,,,,,,,,,,,,,,,bitstar,bitstar
31,2009/02/03,,,,,,,,,,,,,,,,,,,bitstar,bitstar
32,2009/02/04,,,,,,,,,,,,,,,,,,,bitstar,bitstar
33,2009/02/05,,,,,,,,,,,,,,,,,,,bitstar,bitstar
34,2009/02/06,,,,,,,,,,,,,,,,,,,bitstar,bitstar
35,2009/02/07,,,,,,,,,,,,,,,,,,,bitstar,bitstar
36,2009/02/08,,,,,,,,,,,,,,,,,,,bitstar,bitstar
37,2009/02/09,,,,,,,,,,,,,,,,,,,bitstar,bitstar
38,2009/02/10,,,,,,,,,,,,,,,,,,,bitstar,bitstar
39,2009/02/11,,,,,,,,,,,,,,,,,,,bitstar,bitstar
40,2009/02/12,,,,,,,,,,,,,,,,,,,bitstar,bitstar
41,2009/02/13,,,,,,,,,,,,,,,,,,,bitstar,bitstar
