,date,sent_addresses,difficulty,transactions,block_size,median_transaction_value,send_usd,fee_reward,active_addresses,hashrate,confirmation_time,av_transaction_value,av_transaction_size,median_transaction_size,google_trends,market_cap,mining_profitability,tweets,top_100_percent,full_name,coin
0,2009/01/09,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
1,2009/01/10,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
2,2009/01/11,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
3,2009/01/12,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
4,2009/01/13,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
5,2009/01/14,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
6,2009/01/15,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
7,2009/01/16,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
8,2009/01/17,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
9,2009/01/18,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
10,2009/01/19,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
11,2009/01/20,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
12,2009/01/21,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
13,2009/01/22,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
14,2009/01/23,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
15,2009/01/24,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
16,2009/01/25,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
17,2009/01/26,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
18,2009/01/27,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
19,2009/01/28,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
20,2009/01/29,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
21,2009/01/30,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
22,2009/01/31,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
23,2009/02/01,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
24,2009/02/02,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
25,2009/02/03,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
26,2009/02/04,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
27,2009/02/05,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
28,2009/02/06,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
29,2009/02/07,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
30,2009/02/08,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
31,2009/02/09,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
32,2009/02/10,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
33,2009/02/11,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
34,2009/02/12,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
35,2009/02/13,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
36,2009/02/14,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
37,2009/02/15,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
38,2009/02/16,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
39,2009/02/17,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
40,2009/02/18,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
41,2009/02/19,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
42,2009/02/20,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
43,2009/02/21,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
44,2009/02/22,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
45,2009/02/23,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
46,2009/02/24,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
47,2009/02/25,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
48,2009/02/26,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
