,google_trends,date,difficulty,top_100_percent,block_size,transactions,mining_profitability,av_transaction_size,market_cap,sent_addresses,send_usd,hashrate,av_transaction_value,median_transaction_size,confirmation_time,median_transaction_value,fee_reward,tweets,active_addresses,full_name,coin
0,,2014/01/19,0.275,61.314,226.545,1151,,,,3546,,90285673,,,0.348,,,,3691,dash,dash
1,,2014/01/20,3.604,63.552,1474,4239,,,,4351,,288547361,,,1.882,,,,4476,dash,dash
2,,2014/01/21,4.718,63.498,1309,2118,,,,2178,,178926853,,,3.172,,,,2262,dash,dash
3,,2014/01/22,6.107,63.664,877.636,267,,,,293,,70097656,,,14.545,,,,338,dash,dash
4,,2014/01/23,6.107,63.734,862.557,188,,,,209,,26027761,,,18.228,,,,238,dash,dash
5,,2014/01/24,6.107,63.959,912.894,212,,,,247,,22556022,,,16.941,,,,352,dash,dash
6,,2014/01/25,6.107,63.987,1270,235,,,,277,,26597283,,,20,,,,329,dash,dash
7,,2014/01/26,6.107,63.985,1226,260,,,,292,,18274782,,,22.5,,,,319,dash,dash
8,,2014/01/27,1.569,64.277,659.242,607,,,,673,,15147189,,,4.404,,,,710,dash,dash
9,,2014/01/28,1.22,65.678,630.047,1290,,,,1378,,32503425,,,1.844,,,,1452,dash,dash
10,,2014/01/29,1.755,65.997,706.944,861,,,,944,,60626429,,,3.364,,,,984,dash,dash
11,,2014/01/30,1.631,66.838,707.712,1633,,,,1719,,49821991,,,1.676,,,,1783,dash,dash
12,,2014/01/31,3.169,66.965,817.704,860,,,,936,,105521127,,,4.174,,,,971,dash,dash
13,,2014/02/01,2.351,66.858,673.797,1037,,,,1128,,49107300,,,2.581,,,,1179,dash,dash
14,,2014/02/02,2.459,66.39,553.473,1214,,,,1493,,86023771,,,1.754,,,,1540,dash,dash
15,,2014/02/03,4.459,66.574,740.894,1079,,,,1156,,193076827,,,1.856,,,,1209,dash,dash
16,,2014/02/04,5.989,68.088,699.177,1050,,,,1145,,210565285,,,2.236,,,,1433,dash,dash
17,,2014/02/05,6.886,67.407,782.75,1690,,,,1827,,239805293,,,1.763,,,,1912,dash,dash
18,,2014/02/06,13.092,66.864,977.949,2277,,,,2435,,572964219,,,1.756,,,,2541,dash,dash
19,,2014/02/07,17.268,66.157,1499,2174,,,,2380,,581798915,,,2.921,,,,2581,dash,dash
20,,2014/02/08,18.153,81.592,1300,3110,,,,3399,,599635280,,,1.514,,,,4769,dash,dash
21,,2014/02/09,49.571,80.753,971.484,1318,,,,1544,,2764637943,,,1.978,,,,1859,dash,dash
22,,2014/02/10,94.444,80.203,3122,321,,,,447,,1223561406,,,15,,,,598,dash,dash
23,,2014/02/11,37.728,79.988,1493,2016,,,,2338,,728996224,,,2.349,,,,2576,dash,dash
24,,2014/02/12,34.341,79.133,1576,2698,,,,3187,,1000561592,,,2.54,,,,3429,dash,dash
25,,2014/02/13,31.23,78.478,1839,3421,,,,4015,,888472534,,,2.504,,,,4237,dash,dash
26,,2014/02/14,31.453,77.515,2117,3663,,,,4123,,898049236,,,2.549,,,,4558,dash,dash
27,,2014/02/15,38.012,77.219,2164,3236,,,,3617,,1116231067,,,2.416,,,,3916,dash,dash
28,,2014/02/16,60.03,77.039,1816,2766,,,,3490,,1778070554,,,2.449,,,,3858,dash,dash
29,,2014/02/17,87.59,77.053,2850,2631,,,,3183,,2593020561,,,2.404,,,,3608,dash,dash
30,,2014/02/18,137.329,75.179,2258,2551,,,,3231,,4073068893,,,2.487,,,,3724,dash,dash
31,,2014/02/19,129.012,74.842,1493,2354,,,,2887,,3682745823,,,2.496,,,,3263,dash,dash
32,,2014/02/20,149.531,73.944,1383,2058,862.199,,,2599,,4369424714,,,2.462,,0.0184,,3006,dash,dash
33,,2014/02/21,185.359,73.798,1559,2086,560.35,,,2693,,5343463423,,,2.478,,0.0168,,3175,dash,dash
34,,2014/02/22,226.25,75.864,1482,2308,424.474,,,2950,,6581918786,,,2.504,,0.0171,,3435,dash,dash
35,,2014/02/23,189.638,77.277,2044,2275,551.435,,,2977,,5328856235,,,2.549,,0.018,,3737,dash,dash
36,,2014/02/24,215.154,77.87,2404,2327,419.234,,3028762,3260,930177,6218727513,399.732,,2.47,17.553,0.0325,,4079,dash,dash
37,,2014/02/25,182.644,77.377,1765,2203,350.251,,2256699,2967,599755,5157208822,272.245,,2.585,11.089,0.0175,,3498,dash,dash
38,,2014/02/26,167.892,76.506,1634,1991,347.872,,1986782,2588,643638,4767527138,323.274,,2.59,9.62,0.025,,3101,dash,dash
39,,2014/02/27,138.423,75.972,1246,1748,442.865,,2049503,2265,337364,3893788169,193,,2.478,9.889,0.0204,,2742,dash,dash
40,,2014/02/28,145.007,76.194,1518,1697,367.789,,1961659,2164,183831,4177559985,108.327,,2.487,9.351,0.015,,2706,dash,dash
41,,2014/03/01,189.582,75.301,2097,2202,397.616,,3187816,2894,667601,5520537365,303.18,,2.449,16.857,0.025,,3590,dash,dash
42,,2014/03/02,258.85,74.473,2214,2373,297.604,,3442718,3083,1149506,7588430676,484.411,,2.544,15.452,0.0278,,3770,dash,dash
43,,2014/03/03,276.655,74.254,2313,2641,322.863,,3520112,3444,304700,7920184277,115.373,,2.462,15.926,0.0293,,4247,dash,dash
44,,2014/03/04,250.684,74.095,2094,2250,363.62,,3588860,2908,253186,7169669583,112.527,,2.504,15.329,0.0308,,3669,dash,dash
45,,2014/03/05,278.859,73.272,2320,2319,304.05,,3599272,2962,668724,8026982640,288.367,,2.558,16.144,0.026,,3694,dash,dash
46,,2014/03/06,262.767,72.644,1699,2342,334.659,,3627224,2971,657157,7452397332,280.596,,2.5,15.851,0.028,,3635,dash,dash
47,,2014/03/07,263.215,72.066,1725,2192,312.464,,3352168,2775,575344,7548209919,262.475,,2.553,13.721,0.0349,,3411,dash,dash
48,,2014/03/08,281.528,71.8,1750,2169,279.018,,3276771,2764,219862,8046565251,101.365,,2.474,14.33,0.0229,,3441,dash,dash
49,,2014/03/09,309.736,71.618,1755,2155,242.971,,3112073,2720,73039,8967538781,33.893,,2.466,11.919,0.0232,,3498,dash,dash
50,,2014/03/10,334.73,70.572,1693,1964,202.827,,2964344,2484,203176,9648083636,103.45,,2.526,12.484,0.0201,,3158,dash,dash
51,,2014/03/11,293.93,69.964,1786,2194,234.303,,3136590,2736,222992,8340628199,101.637,,2.544,12.442,0.0236,,3444,dash,dash
52,,2014/03/12,340.072,69.828,1852,2117,214.859,,3182201,2736,85645,9872354823,40.456,,2.487,11.274,0.0248,,3434,dash,dash
53,,2014/03/13,293.287,69.425,1674,2135,244.902,,3042926,2781,97979,8567002369,45.892,,2.437,10.972,0.0211,,3442,dash,dash
54,,2014/03/14,291.359,69.218,1907,2392,235.625,,2948953,3005,73699,8298908436,30.811,,2.535,10.849,0.0238,,3695,dash,dash
55,,2014/03/15,293.202,69.147,1695,1846,222.876,,2841949,2362,40362,8409342795,21.865,,2.544,10.43,0.0216,,3052,dash,dash
56,,2014/03/16,285.781,68.883,1775,1951,231.545,,2856030,2455,231629,8146000417,118.723,,2.491,11.483,0.0226,,3212,dash,dash
57,,2014/03/17,299.015,68.662,1648,1845,219.376,,2842747,2314,179874,8569417118,97.493,,2.526,11.286,0.0255,,3020,dash,dash
58,,2014/03/18,297.479,68.364,1738,1936,212.941,,2770949,2388,154111,8517186579,79.603,,2.509,10.969,0.0193,,3065,dash,dash
59,,2014/03/19,314.661,68.122,1817,1891,197.128,,2791328,2368,159804,9012074256,84.507,,2.522,10.484,0.0186,,3016,dash,dash
60,,2014/03/20,324.071,67.27,1545,1757,183.98,,2712515,2221,330837,9256602891,188.296,,2.535,10.343,0.016,,2879,dash,dash
61,,2014/03/21,305.704,67.187,1581,1774,195.279,,2678138,2202,53307,8746825558,30.049,,2.5,10.376,0.0167,,2818,dash,dash
62,,2014/03/22,299.753,66.518,1556,1820,195.275,,2657021,2279,136188,8597196543,74.829,,2.5,9.737,0.0174,,2886,dash,dash
63,,2014/03/23,333.144,66.277,1771,1852,176.109,,2706572,2319,72176,9538040731,38.972,,2.496,10.266,0.0206,,3007,dash,dash
64,,2014/03/24,368.683,65.929,2726,2212,171.371,,3127543,2784,120190,10580575279,54.336,,2.509,12.31,0.029,,3773,dash,dash
65,,2014/03/25,402.001,65.72,2012,2082,166.068,,3160022,2646,69436,11529309841,33.351,,2.509,10.788,0.0231,,3483,dash,dash
66,,2014/03/26,450.322,65.675,1911,1959,137.988,,3180153,2503,67620,12912049103,34.517,,2.526,10.812,0.0243,,3315,dash,dash
67,,2014/03/27,418.02,65.512,1886,1874,147.279,,3006885,2402,67923,11947222044,36.245,,2.513,10.6,0.0198,,3239,dash,dash
68,,2014/03/28,445.594,65.189,1543,1670,123.146,,2763624,2157,59567,12783267759,35.669,,2.491,9.055,0.0188,,2899,dash,dash
69,,2014/03/29,462.657,65.157,1459,1384,115.291,,2731954,1838,43354,13259917123,31.325,,2.509,9.052,0.0184,,2515,dash,dash
70,,2014/03/30,491.334,63.933,1546,1525,99.986,,2559578,2221,74864,14061921795,49.091,,2.526,8.168,0.0204,,3035,dash,dash
71,,2014/03/31,449.246,63.787,1591,1583,107.828,,2515692,2104,40153,12861785901,25.365,,2.509,7.71,0.0196,,2841,dash,dash
72,,2014/04/01,517.374,63.621,1511,1670,94.477,,2642212,2208,79960,14865527579,47.88,,2.496,7.999,0.0221,,2943,dash,dash
73,,2014/04/02,501.575,63.382,1690,1520,95.71,,2481249,2067,53945,14294578902,35.49,,2.535,7.689,0.0219,,2806,dash,dash
74,,2014/04/03,514.828,63.373,1722,1475,84.383,,2318252,1938,28722,14731907721,19.473,,2.526,7.205,0.0183,,2653,dash,dash
75,,2014/04/04,441.856,63.353,1520,1526,107.544,,2486285,2010,36889,12645226021,24.174,,2.509,7.581,0.0187,,2692,dash,dash
76,,2014/04/05,488.385,63.317,1479,1410,97.121,,2495545,1815,36762,13979984070,26.072,,2.504,9.005,0.0168,,2621,dash,dash
77,,2014/04/06,455.277,63.718,1648,1503,104.416,,2473172,1903,50252,13004695446,33.434,,2.571,7.748,0.0188,,2691,dash,dash
78,,2014/04/07,417.651,63.798,1388,1500,115.394,,2343761,1917,70152,11931337876,46.768,,2.462,8.068,0.0155,,2727,dash,dash
79,,2014/04/08,517.659,63.37,1486,1527,82.931,,2343050,1923,77694,14893548539,50.88,,2.54,7.388,0.0221,,2661,dash,dash
80,,2014/04/09,489.151,63.265,1488,1563,89.863,,2324986,1963,30715,14014562901,19.651,,2.491,7.601,0.0208,9,2673,dash,dash
81,,2014/04/10,517.646,63.222,1815,1591,74.991,,2001315,1950,28670,14853567683,18.02,,2.491,6.304,0.0249,30,2696,dash,dash
82,,2014/04/11,470.707,62.895,1905,1680,81.733,,2057414,2095,58683,13492312920,34.93,,2.513,6.719,0.0232,8,2839,dash,dash
83,,2014/04/12,509.983,62.667,1834,1510,79.51,,2238216,1930,26188,14627543986,17.343,,2.517,6.783,0.0301,10,2725,dash,dash
84,,2014/04/13,441.012,62.647,1723,1458,94.93,,2110368,1880,25224,12613983275,17.3,,2.509,6.841,0.0232,19,2596,dash,dash
