,date,sent_addresses,difficulty,av_transaction_value,median_transaction_value,av_transaction_size,transactions,mining_profitability,send_usd,market_cap,active_addresses,confirmation_time,block_size,median_transaction_size,tweets,top_100_percent,hashrate,google_trends,fee_reward,full_name,coin
0,2013/12/08,6475,0.494,,,,4665,,,,,0.579,605.656,,,,111278427,0.0475,,dogecoin,doge
1,2013/12/09,10396,2.377,,,,9339,,,,,0.944,1727,,,,223427503,0.194,,dogecoin,doge
2,2013/12/10,11119,3.362,,,,9450,,,,,1.016,2016,,,,253575944,0.403,,dogecoin,doge
3,2013/12/11,36438,5.093,,,,28951,,,,,0.914,5273,,,,388696972,0.529,,dogecoin,doge
4,2013/12/12,58395,7.277,,,,44036,,,,,0.986,9200,,,,548003007,0.587,,dogecoin,doge
5,2013/12/13,60279,9.754,,,,50657,,,,,0.906,9288,,,,735544542,0.565,,dogecoin,doge
6,2013/12/14,91513,17.839,,,,80424,,,,,0.926,15676,,,,1407716274,0.817,,dogecoin,doge
7,2013/12/15,143051,36.863,,,,128955,,,,,0.862,24304,,,,2977809031,2.211,,dogecoin,doge
8,2013/12/16,114113,81.524,,,,94694,,,,,0.932,19576,,,,6584761386,2.597,,dogecoin,doge
9,2013/12/17,110229,107.799,,,,92528,,,,,0.997,18434,,,,8079576620,3.092,,dogecoin,doge
10,2013/12/18,114624,135.952,70.801,2.175,,95216,34505,6741369,3838019,,0.965,19470,,,,10182754938,4.479,,dogecoin,doge
11,2013/12/19,221646,215.997,123.919,7.308,,192523,39864,23857178,7612064,,0.911,38381,,,,16702882497,6.584,,dogecoin,doge
12,2013/12/20,228692,332.268,186.073,22.666,,199950,25084,37205203,8086395,,0.964,41562,,,,25500906523,5.892,,dogecoin,doge
13,2013/12/21,192635,349.595,106.252,36.492,,167414,12210,17788153,4614085,,1.016,34889,,,,25156657682,5.036,,dogecoin,doge
14,2013/12/22,182914,327.981,84.236,39.079,,158224,10882,13328144,3884736,,1.034,32674,,,,23341008144,4.129,,dogecoin,doge
15,2013/12/23,174162,321.196,112.691,51.654,,149008,12842,16791885,4858318,,0.973,28187,,,,23006912340,3.66,,dogecoin,doge
16,2013/12/24,152165,398.556,170.882,66.58,,126443,16538,21606881,8330438,,0.988,26594,,,,29816914899,3.999,,dogecoin,doge
17,2013/12/25,154702,441.602,165.732,76.33,,131133,13822,21732964,7993565,,0.98,26803,,,,32366673313,2.821,,dogecoin,doge
18,2013/12/26,148976,431.826,146.858,63.052,,125828,13500,18478813,8045084,,1.008,47779,,,,30861828226,4.069,,dogecoin,doge
19,2013/12/27,156247,426.649,125.726,37.731,,133542,12620,16789730,7757117,,1.049,27429,,,,30144525745,3.255,,dogecoin,doge
20,2013/12/28,133485,437.552,129.886,73.052,,113776,11241,14777939,7420658,,0.997,21941,,,,31504996442,2.561,,dogecoin,doge
21,2013/12/29,138177,385.165,105.677,60.842,,116612,12012,12323198,6850440,,1.012,23135,,,,27142534161,2.356,,dogecoin,doge
22,2013/12/30,142051,364.305,105.729,64.16,,122836,11840,12987333,6988276,,1.02,23802,,,,25913671354,1.978,,dogecoin,doge
23,2013/12/31,126632,345.961,114.391,73.373,,108639,16360,12427353,7330703,,1.013,21103,,,,24741770888,2.07,,dogecoin,doge
24,2014/01/01,128194,357.264,122.79,68.363,,110500,12889,13568293,7702924,,0.991,20847,,,,25950661707,2.195,,dogecoin,doge
25,2014/01/02,130255,360.239,99.429,57.654,,112216,10171,11157475,7003200,,1.017,22749,,,,25725201815,2.464,,dogecoin,doge
26,2014/01/03,127869,330.871,96.113,53.609,,111309,13629,10698260,6225748,,1.001,21936,,,,23584248278,2.309,,dogecoin,doge
27,2014/01/04,129117,298.35,81.421,51.385,,111888,10064,9110049,5661463,,1.024,23472,,,,20812671008,1.961,,dogecoin,doge
28,2014/01/05,106768,279.247,92.11,63.898,,92521,18746,8522123,5680505,,1.026,19021,,,,19692107867,2.155,,dogecoin,doge
