,transactions,difficulty,sent_addresses,hashrate,av_transaction_size,mining_profitability,send_usd,median_transaction_size,confirmation_time,av_transaction_value,median_transaction_value,active_addresses,fee_reward,top_100_percent,date,tweets,block_size,google_trends,market_cap,full_name,coin
0,,,,,,,,,,,,,,,2014/04/09,2,,,,einsteinium,einsteinium
1,,,,,,,,,,,,,,,2014/04/10,6,,,,einsteinium,einsteinium
2,,,,,,,,,,,,,,,2014/04/11,5,,,,einsteinium,einsteinium
3,,,,,,,,,,,,,,,2014/04/12,5,,,,einsteinium,einsteinium
4,,,,,,,,,,,,,,,2014/04/13,1,,,,einsteinium,einsteinium
5,,,,,,,,,,,,,,,2014/04/14,6,,,,einsteinium,einsteinium
6,,,,,,,,,,,,,,,2014/04/15,14,,,,einsteinium,einsteinium
7,,,,,,,,,,,,,,,2014/04/16,6,,,,einsteinium,einsteinium
8,,,,,,,,,,,,,,,2014/04/17,7,,,,einsteinium,einsteinium
9,,,,,,,,,,,,,,,2014/04/18,4,,,,einsteinium,einsteinium
10,,,,,,,,,,,,,,,2014/04/19,16,,,237822,einsteinium,einsteinium
11,,,,,,,,,,,,,,,2014/04/20,2,,,270716,einsteinium,einsteinium
12,,,,,,,,,,,,,,,2014/04/21,18,,,257751,einsteinium,einsteinium
13,,,,,,,,,,,,,,,2014/04/22,2,,,230925,einsteinium,einsteinium
14,,,,,,,,,,,,,,,2014/04/23,6,,,226080,einsteinium,einsteinium
15,,,,,,,,,,,,,,,2014/04/24,4,,,220331,einsteinium,einsteinium
16,,,,,,,,,,,,,,,2014/04/25,13,,,197909,einsteinium,einsteinium
17,,,,,,,,,,,,,,,2014/04/26,2,,,201416,einsteinium,einsteinium
18,,,,,,,,,,,,,,,2014/04/27,1,,,182707,einsteinium,einsteinium
19,,,,,,,,,,,,,,,2014/04/28,15,,,168595,einsteinium,einsteinium
20,,,,,,,,,,,,,,,2014/04/29,4,,,160509,einsteinium,einsteinium
21,,,,,,,,,,,,,,,2014/04/30,11,,,156791,einsteinium,einsteinium
22,,,,,,,,,,,,,,,2014/05/01,19,,,174050,einsteinium,einsteinium
23,,,,,,,,,,,,,,,2014/05/02,15,,,175362,einsteinium,einsteinium
24,,,,,,,,,,,,,,,2014/05/03,14,,,169500,einsteinium,einsteinium
25,,,,,,,,,,,,,,,2014/05/04,3,,,158964,einsteinium,einsteinium
26,,,,,,,,,,,,,,,2014/05/05,5,,,153354,einsteinium,einsteinium
27,,,,,,,,,,,,,,,2014/05/06,5,,,144780,einsteinium,einsteinium
28,,,,,,,,,,,,,,,2014/05/07,null,,,141280,einsteinium,einsteinium
29,,,,,,,,,,,,,,,2014/05/08,2,,,128872,einsteinium,einsteinium
