,date,transactions,block_size,active_addresses,av_transaction_size,confirmation_time,difficulty,sent_addresses,median_transaction_size,median_transaction_value,av_transaction_value,send_usd,google_trends,hashrate,fee_reward,top_100_percent,mining_profitability,market_cap,tweets,full_name,coin
0,2009/01/03,,,,,,,,,,,,,,,,,,,elacoin,elacoin
1,2009/01/04,,,,,,,,,,,,,,,,,,,elacoin,elacoin
2,2009/01/05,,,,,,,,,,,,,,,,,,,elacoin,elacoin
3,2009/01/06,,,,,,,,,,,,,,,,,,,elacoin,elacoin
4,2009/01/07,,,,,,,,,,,,,,,,,,,elacoin,elacoin
5,2009/01/08,,,,,,,,,,,,,,,,,,,elacoin,elacoin
6,2009/01/09,,,,,,,,,,,,,,,,,,,elacoin,elacoin
7,2009/01/10,,,,,,,,,,,,,,,,,,,elacoin,elacoin
8,2009/01/11,,,,,,,,,,,,,,,,,,,elacoin,elacoin
9,2009/01/12,,,,,,,,,,,,,,,,,,,elacoin,elacoin
10,2009/01/13,,,,,,,,,,,,,,,,,,,elacoin,elacoin
11,2009/01/14,,,,,,,,,,,,,,,,,,,elacoin,elacoin
12,2009/01/15,,,,,,,,,,,,,,,,,,,elacoin,elacoin
13,2009/01/16,,,,,,,,,,,,,,,,,,,elacoin,elacoin
14,2009/01/17,,,,,,,,,,,,,,,,,,,elacoin,elacoin
15,2009/01/18,,,,,,,,,,,,,,,,,,,elacoin,elacoin
16,2009/01/19,,,,,,,,,,,,,,,,,,,elacoin,elacoin
17,2009/01/20,,,,,,,,,,,,,,,,,,,elacoin,elacoin
18,2009/01/21,,,,,,,,,,,,,,,,,,,elacoin,elacoin
19,2009/01/22,,,,,,,,,,,,,,,,,,,elacoin,elacoin
20,2009/01/23,,,,,,,,,,,,,,,,,,,elacoin,elacoin
21,2009/01/24,,,,,,,,,,,,,,,,,,,elacoin,elacoin
22,2009/01/25,,,,,,,,,,,,,,,,,,,elacoin,elacoin
23,2009/01/26,,,,,,,,,,,,,,,,,,,elacoin,elacoin
24,2009/01/27,,,,,,,,,,,,,,,,,,,elacoin,elacoin
25,2009/01/28,,,,,,,,,,,,,,,,,,,elacoin,elacoin
26,2009/01/29,,,,,,,,,,,,,,,,,,,elacoin,elacoin
27,2009/01/30,,,,,,,,,,,,,,,,,,,elacoin,elacoin
28,2009/01/31,,,,,,,,,,,,,,,,,,,elacoin,elacoin
29,2009/02/01,,,,,,,,,,,,,,,,,,,elacoin,elacoin
30,2009/02/02,,,,,,,,,,,,,,,,,,,elacoin,elacoin
31,2009/02/03,,,,,,,,,,,,,,,,,,,elacoin,elacoin
32,2009/02/04,,,,,,,,,,,,,,,,,,,elacoin,elacoin
33,2009/02/05,,,,,,,,,,,,,,,,,,,elacoin,elacoin
34,2009/02/06,,,,,,,,,,,,,,,,,,,elacoin,elacoin
35,2009/02/07,,,,,,,,,,,,,,,,,,,elacoin,elacoin
36,2009/02/08,,,,,,,,,,,,,,,,,,,elacoin,elacoin
37,2009/02/09,,,,,,,,,,,,,,,,,,,elacoin,elacoin
38,2009/02/10,,,,,,,,,,,,,,,,,,,elacoin,elacoin
39,2009/02/11,,,,,,,,,,,,,,,,,,,elacoin,elacoin
40,2009/02/12,,,,,,,,,,,,,,,,,,,elacoin,elacoin
41,2009/02/13,,,,,,,,,,,,,,,,,,,elacoin,elacoin
42,2009/02/14,,,,,,,,,,,,,,,,,,,elacoin,elacoin
43,2009/02/15,,,,,,,,,,,,,,,,,,,elacoin,elacoin
44,2009/02/16,,,,,,,,,,,,,,,,,,,elacoin,elacoin
45,2009/02/17,,,,,,,,,,,,,,,,,,,elacoin,elacoin
46,2009/02/18,,,,,,,,,,,,,,,,,,,elacoin,elacoin
47,2009/02/19,,,,,,,,,,,,,,,,,,,elacoin,elacoin
48,2009/02/20,,,,,,,,,,,,,,,,,,,elacoin,elacoin
49,2009/02/21,,,,,,,,,,,,,,,,,,,elacoin,elacoin
50,2009/02/22,,,,,,,,,,,,,,,,,,,elacoin,elacoin
51,2009/02/23,,,,,,,,,,,,,,,,,,,elacoin,elacoin
52,2009/02/24,,,,,,,,,,,,,,,,,,,elacoin,elacoin
53,2009/02/25,,,,,,,,,,,,,,,,,,,elacoin,elacoin
54,2009/02/26,,,,,,,,,,,,,,,,,,,elacoin,elacoin
55,2009/02/27,,,,,,,,,,,,,,,,,,,elacoin,elacoin
56,2009/02/28,,,,,,,,,,,,,,,,,,,elacoin,elacoin
57,2009/03/01,,,,,,,,,,,,,,,,,,,elacoin,elacoin
58,2009/03/02,,,,,,,,,,,,,,,,,,,elacoin,elacoin
59,2009/03/03,,,,,,,,,,,,,,,,,,,elacoin,elacoin
60,2009/03/04,,,,,,,,,,,,,,,,,,,elacoin,elacoin
61,2009/03/05,,,,,,,,,,,,,,,,,,,elacoin,elacoin
62,2009/03/06,,,,,,,,,,,,,,,,,,,elacoin,elacoin
63,2009/03/07,,,,,,,,,,,,,,,,,,,elacoin,elacoin
64,2009/03/08,,,,,,,,,,,,,,,,,,,elacoin,elacoin
65,2009/03/09,,,,,,,,,,,,,,,,,,,elacoin,elacoin
66,2009/03/10,,,,,,,,,,,,,,,,,,,elacoin,elacoin
67,2009/03/11,,,,,,,,,,,,,,,,,,,elacoin,elacoin
68,2009/03/12,,,,,,,,,,,,,,,,,,,elacoin,elacoin
69,2009/03/13,,,,,,,,,,,,,,,,,,,elacoin,elacoin
70,2009/03/14,,,,,,,,,,,,,,,,,,,elacoin,elacoin
71,2009/03/15,,,,,,,,,,,,,,,,,,,elacoin,elacoin
72,2009/03/16,,,,,,,,,,,,,,,,,,,elacoin,elacoin
73,2009/03/17,,,,,,,,,,,,,,,,,,,elacoin,elacoin
74,2009/03/18,,,,,,,,,,,,,,,,,,,elacoin,elacoin
75,2009/03/19,,,,,,,,,,,,,,,,,,,elacoin,elacoin
76,2009/03/20,,,,,,,,,,,,,,,,,,,elacoin,elacoin
77,2009/03/21,,,,,,,,,,,,,,,,,,,elacoin,elacoin
78,2009/03/22,,,,,,,,,,,,,,,,,,,elacoin,elacoin
79,2009/03/23,,,,,,,,,,,,,,,,,,,elacoin,elacoin
80,2009/03/24,,,,,,,,,,,,,,,,,,,elacoin,elacoin
81,2009/03/25,,,,,,,,,,,,,,,,,,,elacoin,elacoin
