,date,block_size,top_100_percent,difficulty,mining_profitability,sent_addresses,google_trends,fee_reward,hashrate,send_usd,confirmation_time,transactions,active_addresses,av_transaction_value,av_transaction_size,median_transaction_value,median_transaction_size,market_cap,tweets,full_name,coin
0,2015/07/30,643.886,,121335493201,,,,,11114186636,,,null,,,,,,,,ethereum classic,etc
1,2015/07/31,582.028,,602941851594,,,,,51376122067,,,null,,,,,,,,ethereum classic,etc
2,2015/08/01,575.164,,887254173531,,,,,57794141228,,,null,,,,,,,,ethereum classic,etc
3,2015/08/02,580.879,,1020253707547,,,,,67898971177,,,null,,,,,,,,ethereum classic,etc
4,2015/08/03,587.112,,1125837358847,,,,,74572708586,,,null,,,,,,,,ethereum classic,etc
5,2015/08/04,586.97,,1216587344565,,,,,82043945495,,,null,,,,,,,,ethereum classic,etc
6,2015/08/05,578.946,,1327837857487,,,,,86146792187,,,null,,,,,,,,ethereum classic,etc
7,2015/08/06,583.671,,1380846362252,,,,,88328908216,,,null,,,,,,,,ethereum classic,etc
8,2015/08/07,632.625,,1470838650662,,784,,,95297747680,,,2050,,,,,,,,ethereum classic,etc
9,2015/08/08,667.595,,1586123528941,,605,,,104892236891,,,2881,,,,,,,,ethereum classic,etc
10,2015/08/09,618.298,,1709479787485,,462,,,109676945486,,,1329,,,,,,,,ethereum classic,etc
11,2015/08/10,631.186,,1837695763268,,821,,,120610799180,,,2037,,,,,,,,ethereum classic,etc
12,2015/08/11,692.014,,2036390797503,,2132,,,134766886331,,,4963,,,,,,,,ethereum classic,etc
13,2015/08/12,653.426,,2207079742290,,581,,,142999727420,,,2036,,,,,,,,ethereum classic,etc
14,2015/08/13,665.722,,2336979708058,,872,,,156606018232,,,2842,,,,,,,,ethereum classic,etc
15,2015/08/14,659.751,,2671253150472,,1115,,,196722874450,,,3174,,,,,,,,ethereum classic,etc
16,2015/08/15,638.335,,3378028425874,,857,,,227666580264,,,2284,,,,,,,,ethereum classic,etc
17,2015/08/16,640.654,,3631632144443,,765,,,231942202731,,,2440,,,,,,,,ethereum classic,etc
18,2015/08/17,634.708,,3908024035253,,816,,,258915864705,,,2512,,,,,,,,ethereum classic,etc
19,2015/08/18,648.488,,4377694725369,,834,,,270470331405,,,2494,,,,,,,,ethereum classic,etc
20,2015/08/19,653.321,,4419573021825,,823,,,284044135459,,,3246,,,,,,,,ethereum classic,etc
21,2015/08/20,650.093,,4469109431846,,658,,,221468069465,,,2303,,,,,,,,ethereum classic,etc
22,2015/08/21,667.585,,4415252643655,,913,,,277264309584,,,3919,,,,,,,,ethereum classic,etc
23,2015/08/22,648.038,,4828340997895,,840,,,312618144214,,,3579,,,,,,,,ethereum classic,etc
24,2015/08/23,680.592,,5138351075673,,885,,,317162749743,,,4190,,,,,,,,ethereum classic,etc
25,2015/08/24,672.547,,5179118882691,,873,,,333335492749,,,4432,,,,,,,,ethereum classic,etc
26,2015/08/25,679.73,,5173287673223,,951,,,325201816316,,,4487,,,,,,,,ethereum classic,etc
27,2015/08/26,668.652,,5587304091732,,883,,,343102359407,,,4156,,,,,,,,ethereum classic,etc
28,2015/08/27,707.929,,5925309861486,,929,,,341118418030,,,5590,,,,,,,,ethereum classic,etc
29,2015/08/28,690.88,,6250868351996,,919,,,355219519712,,,4758,,,,,,,,ethereum classic,etc
30,2015/08/29,682.036,,6657649139910,,839,,,351443303077,,,4139,,,,,,,,ethereum classic,etc
