,date,google_trends,mining_profitability,median_transaction_value,av_transaction_value,transactions,av_transaction_size,tweets,block_size,median_transaction_size,top_100_percent,difficulty,confirmation_time,send_usd,market_cap,sent_addresses,active_addresses,hashrate,fee_reward,full_name,coin
0,2010/01/01,null,,,,,,,,,,,,,,,,,,ethereum,eth
1,2010/01/02,null,,,,,,,,,,,,,,,,,,ethereum,eth
2,2010/01/03,null,,,,,,,,,,,,,,,,,,ethereum,eth
3,2010/01/04,null,,,,,,,,,,,,,,,,,,ethereum,eth
4,2010/01/05,null,,,,,,,,,,,,,,,,,,ethereum,eth
5,2010/01/06,null,,,,,,,,,,,,,,,,,,ethereum,eth
6,2010/01/07,null,,,,,,,,,,,,,,,,,,ethereum,eth
7,2010/01/08,null,,,,,,,,,,,,,,,,,,ethereum,eth
8,2010/01/09,null,,,,,,,,,,,,,,,,,,ethereum,eth
9,2010/01/10,null,,,,,,,,,,,,,,,,,,ethereum,eth
10,2010/01/11,null,,,,,,,,,,,,,,,,,,ethereum,eth
11,2010/01/12,null,,,,,,,,,,,,,,,,,,ethereum,eth
12,2010/01/13,null,,,,,,,,,,,,,,,,,,ethereum,eth
13,2010/01/14,null,,,,,,,,,,,,,,,,,,ethereum,eth
14,2010/01/15,null,,,,,,,,,,,,,,,,,,ethereum,eth
15,2010/01/16,null,,,,,,,,,,,,,,,,,,ethereum,eth
16,2010/01/17,null,,,,,,,,,,,,,,,,,,ethereum,eth
17,2010/01/18,null,,,,,,,,,,,,,,,,,,ethereum,eth
18,2010/01/19,null,,,,,,,,,,,,,,,,,,ethereum,eth
19,2010/01/20,null,,,,,,,,,,,,,,,,,,ethereum,eth
20,2010/01/21,null,,,,,,,,,,,,,,,,,,ethereum,eth
21,2010/01/22,null,,,,,,,,,,,,,,,,,,ethereum,eth
22,2010/01/23,null,,,,,,,,,,,,,,,,,,ethereum,eth
23,2010/01/24,null,,,,,,,,,,,,,,,,,,ethereum,eth
24,2010/01/25,null,,,,,,,,,,,,,,,,,,ethereum,eth
25,2010/01/26,null,,,,,,,,,,,,,,,,,,ethereum,eth
26,2010/01/27,null,,,,,,,,,,,,,,,,,,ethereum,eth
27,2010/01/28,null,,,,,,,,,,,,,,,,,,ethereum,eth
28,2010/01/29,null,,,,,,,,,,,,,,,,,,ethereum,eth
29,2010/01/30,null,,,,,,,,,,,,,,,,,,ethereum,eth
30,2010/01/31,null,,,,,,,,,,,,,,,,,,ethereum,eth
31,2010/02/01,null,,,,,,,,,,,,,,,,,,ethereum,eth
32,2010/02/02,null,,,,,,,,,,,,,,,,,,ethereum,eth
33,2010/02/03,null,,,,,,,,,,,,,,,,,,ethereum,eth
34,2010/02/04,null,,,,,,,,,,,,,,,,,,ethereum,eth
35,2010/02/05,null,,,,,,,,,,,,,,,,,,ethereum,eth
36,2010/02/06,null,,,,,,,,,,,,,,,,,,ethereum,eth
37,2010/02/07,null,,,,,,,,,,,,,,,,,,ethereum,eth
38,2010/02/08,null,,,,,,,,,,,,,,,,,,ethereum,eth
39,2010/02/09,null,,,,,,,,,,,,,,,,,,ethereum,eth
40,2010/02/10,null,,,,,,,,,,,,,,,,,,ethereum,eth
41,2010/02/11,null,,,,,,,,,,,,,,,,,,ethereum,eth
42,2010/02/12,null,,,,,,,,,,,,,,,,,,ethereum,eth
43,2010/02/13,null,,,,,,,,,,,,,,,,,,ethereum,eth
44,2010/02/14,null,,,,,,,,,,,,,,,,,,ethereum,eth
45,2010/02/15,null,,,,,,,,,,,,,,,,,,ethereum,eth
46,2010/02/16,null,,,,,,,,,,,,,,,,,,ethereum,eth
47,2010/02/17,null,,,,,,,,,,,,,,,,,,ethereum,eth
48,2010/02/18,null,,,,,,,,,,,,,,,,,,ethereum,eth
49,2010/02/19,null,,,,,,,,,,,,,,,,,,ethereum,eth
50,2010/02/20,null,,,,,,,,,,,,,,,,,,ethereum,eth
51,2010/02/21,null,,,,,,,,,,,,,,,,,,ethereum,eth
52,2010/02/22,null,,,,,,,,,,,,,,,,,,ethereum,eth
53,2010/02/23,null,,,,,,,,,,,,,,,,,,ethereum,eth
54,2010/02/24,null,,,,,,,,,,,,,,,,,,ethereum,eth
55,2010/02/25,null,,,,,,,,,,,,,,,,,,ethereum,eth
56,2010/02/26,null,,,,,,,,,,,,,,,,,,ethereum,eth
57,2010/02/27,null,,,,,,,,,,,,,,,,,,ethereum,eth
58,2010/02/28,null,,,,,,,,,,,,,,,,,,ethereum,eth
59,2010/03/01,null,,,,,,,,,,,,,,,,,,ethereum,eth
60,2010/03/02,null,,,,,,,,,,,,,,,,,,ethereum,eth
61,2010/03/03,null,,,,,,,,,,,,,,,,,,ethereum,eth
62,2010/03/04,null,,,,,,,,,,,,,,,,,,ethereum,eth
63,2010/03/05,null,,,,,,,,,,,,,,,,,,ethereum,eth
64,2010/03/06,null,,,,,,,,,,,,,,,,,,ethereum,eth
