,block_size,transactions,hashrate,mining_profitability,median_transaction_size,send_usd,confirmation_time,av_transaction_value,median_transaction_value,active_addresses,fee_reward,top_100_percent,date,market_cap,av_transaction_size,sent_addresses,difficulty,tweets,google_trends,full_name,coin
0,,,,,,,,,,,,,2014/04/19,152015,,,,1,,execoin,execoin
1,,,,,,,,,,,,,2014/04/20,124413,,,,2,,execoin,execoin
2,,,,,,,,,,,,,2014/04/21,111695,,,,5,,execoin,execoin
3,,,,,,,,,,,,,2014/04/22,118084,,,,1,,execoin,execoin
4,,,,,,,,,,,,,2014/04/23,110051,,,,null,,execoin,execoin
5,,,,,,,,,,,,,2014/04/24,107048,,,,null,,execoin,execoin
6,,,,,,,,,,,,,2014/04/25,71859,,,,1,,execoin,execoin
7,,,,,,,,,,,,,2014/04/26,73802,,,,null,,execoin,execoin
8,,,,,,,,,,,,,2014/04/27,69580,,,,null,,execoin,execoin
9,,,,,,,,,,,,,2014/04/28,64258,,,,1,,execoin,execoin
10,,,,,,,,,,,,,2014/04/29,66503,,,,null,,execoin,execoin
11,,,,,,,,,,,,,2014/04/30,67747,,,,3,,execoin,execoin
12,,,,,,,,,,,,,2014/05/01,71130,,,,5,,execoin,execoin
13,,,,,,,,,,,,,2014/05/02,68570,,,,2,,execoin,execoin
14,,,,,,,,,,,,,2014/05/03,57598,,,,1,,execoin,execoin
15,,,,,,,,,,,,,2014/05/04,59807,,,,7,,execoin,execoin
16,,,,,,,,,,,,,2014/05/05,55256,,,,2,,execoin,execoin
17,,,,,,,,,,,,,2014/05/06,54973,,,,7,,execoin,execoin
18,,,,,,,,,,,,,2014/05/07,61026,,,,11,,execoin,execoin
19,,,,,,,,,,,,,2014/05/08,61221,,,,null,,execoin,execoin
20,,,,,,,,,,,,,2014/05/09,64871,,,,3,,execoin,execoin
21,,,,,,,,,,,,,2014/05/10,88159,,,,4,,execoin,execoin
22,,,,,,,,,,,,,2014/05/11,69084,,,,4,,execoin,execoin
23,,,,,,,,,,,,,2014/05/12,59755,,,,2,,execoin,execoin
24,,,,,,,,,,,,,2014/05/13,63481,,,,null,,execoin,execoin
25,,,,,,,,,,,,,2014/05/14,68911,,,,1,,execoin,execoin
26,,,,,,,,,,,,,2014/05/15,111471,,,,14,,execoin,execoin
27,,,,,,,,,,,,,2014/05/16,201774,,,,6,,execoin,execoin
28,,,,,,,,,,,,,2014/05/17,253394,,,,7,,execoin,execoin
29,,,,,,,,,,,,,2014/05/18,356500,,,,11,,execoin,execoin
30,,,,,,,,,,,,,2014/05/19,280769,,,,2,,execoin,execoin
31,,,,,,,,,,,,,2014/05/20,232531,,,,8,,execoin,execoin
32,,,,,,,,,,,,,2014/05/21,173644,,,,null,,execoin,execoin
33,,,,,,,,,,,,,2014/05/22,180675,,,,1,,execoin,execoin
34,,,,,,,,,,,,,2014/05/23,167899,,,,4,,execoin,execoin
35,,,,,,,,,,,,,2014/05/24,157291,,,,1,,execoin,execoin
36,,,,,,,,,,,,,2014/05/25,205366,,,,1,,execoin,execoin
37,,,,,,,,,,,,,2014/05/26,205278,,,,3,,execoin,execoin
38,,,,,,,,,,,,,2014/05/27,193454,,,,1,,execoin,execoin
39,,,,,,,,,,,,,2014/05/28,177845,,,,null,,execoin,execoin
40,,,,,,,,,,,,,2014/05/29,135120,,,,null,,execoin,execoin
41,,,,,,,,,,,,,2014/05/30,144202,,,,null,,execoin,execoin
42,,,,,,,,,,,,,2014/05/31,175746,,,,null,,execoin,execoin
43,,,,,,,,,,,,,2014/06/01,163653,,,,null,,execoin,execoin
44,,,,,,,,,,,,,2014/06/02,149889,,,,null,,execoin,execoin
45,,,,,,,,,,,,,2014/06/03,143727,,,,1,,execoin,execoin
46,,,,,,,,,,,,,2014/06/04,130760,,,,null,,execoin,execoin
47,,,,,,,,,,,,,2014/06/05,130159,,,,2,,execoin,execoin
48,,,,,,,,,,,,,2014/06/06,123816,,,,4,,execoin,execoin
49,,,,,,,,,,,,,2014/06/07,117646,,,,null,,execoin,execoin
50,,,,,,,,,,,,,2014/06/08,118415,,,,null,,execoin,execoin
51,,,,,,,,,,,,,2014/06/09,117544,,,,1,,execoin,execoin
52,,,,,,,,,,,,,2014/06/10,123129,,,,2,,execoin,execoin
53,,,,,,,,,,,,,2014/06/11,130327,,,,3,,execoin,execoin
54,,,,,,,,,,,,,2014/06/12,123395,,,,1,,execoin,execoin
55,,,,,,,,,,,,,2014/06/13,117488,,,,3,,execoin,execoin
56,,,,,,,,,,,,,2014/06/14,127681,,,,10,,execoin,execoin
57,,,,,,,,,,,,,2014/06/15,135356,,,,4,,execoin,execoin
58,,,,,,,,,,,,,2014/06/16,127551,,,,2,,execoin,execoin
