,date,block_size,mining_profitability,difficulty,hashrate,active_addresses,median_transaction_size,av_transaction_size,google_trends,transactions,fee_reward,tweets,confirmation_time,sent_addresses,send_usd,av_transaction_value,market_cap,median_transaction_value,top_100_percent,full_name,coin
0,2013/04/16,109.625,,0.00038,1275097,4886,,,,2,,,0.291,4847,,,,,3.82,feathercoin,ftc
1,2013/04/17,153.511,,0.125,139127691,10296,,,,335,,,0.148,8770,,,,,26.119,feathercoin,ftc
2,2013/04/18,822.285,,1.359,226081933,4317,,,,1160,,,0.84,2522,,,,,36.986,feathercoin,ftc
3,2013/04/19,1365,,3.503,238686400,5988,,,,4697,,,1.113,5789,,,,,37.852,feathercoin,ftc
4,2013/04/20,1162,,6.051,403278235,5771,,,,4223,,,1.217,5475,,,,,38.56,feathercoin,ftc
5,2013/04/21,1377,,7.767,402158371,6520,,,,4641,,,1.295,5931,,,,,39.39,feathercoin,ftc
6,2013/04/22,2102,,12.743,656647677,7546,,,,4088,,,1.718,5278,,,,,47.199,feathercoin,ftc
7,2013/04/23,1926,,14.272,638122831,8606,,,,6033,,,1.379,7488,,,,,49.211,feathercoin,ftc
8,2013/04/24,2417,,19.887,1001534769,8316,,,,6283,,,1.809,7557,,,,,48.315,feathercoin,ftc
9,2013/04/25,3281,,23.883,773257746,8845,,,,6615,,,2.3,7723,,,,,48.915,feathercoin,ftc
10,2013/04/26,2801,,23.883,794554327,8607,,,,6815,,,2.048,7828,,,,,48.992,feathercoin,ftc
11,2013/04/27,3289,,26.19,885848810,7773,,,,5852,,,2.345,7001,,,,,49.076,feathercoin,ftc
12,2013/04/28,4146,,27.497,924271679,10610,,,,7766,,,1.754,9317,,,,,47.431,feathercoin,ftc
13,2013/04/29,4204,,31.806,1689183574,15754,,,,12256,,,1.214,14212,,,,,47.697,feathercoin,ftc
14,2013/04/30,3684,,40.841,2366047079,14877,,,,11480,,,1.257,13554,,,,,46.356,feathercoin,ftc
15,2013/05/01,5741,,58.971,3236666562,13766,,,,9644,,,1.682,11711,,,,,47.15,feathercoin,ftc
16,2013/05/02,10880,29.596,82.898,2901134635,17677,,,,11160,,,1.885,13750,2107347,188.83,3197479,,50.371,feathercoin,ftc
17,2013/05/03,5690,24.622,90.91,4502414577,22527,,,,16607,,,1.3,19683,1387573,83.553,2927384,,48.44,feathercoin,ftc
18,2013/05/04,5828,13.679,122.351,6083448855,20956,,,,14942,,,1.569,17771,1083201,72.494,2752060,,48.492,feathercoin,ftc
19,2013/05/05,5473,12.639,122.351,5465586040,18128,,,,12034,,,1.706,14495,1236157,102.722,2560254,,56.585,feathercoin,ftc
20,2013/05/06,13296,2.179,179.779,5804911176,10198,,,,5361,,,6.344,6997,420420,78.422,1780852,,56.121,feathercoin,ftc
21,2013/05/07,17018,2.655,188.19,1038175447,4249,,,,1911,,,22.154,2573,89674,46.925,1361212,,56.359,feathercoin,ftc
22,2013/05/08,17127,3.96,188.19,504521516,3302,,,,1493,,,32,2006,123349,82.618,1425572,,56.861,feathercoin,ftc
23,2013/05/09,23791,3.397,188.19,454326534,2629,,,,1006,,,38.919,1408,58341,57.993,1338103,,57.529,feathercoin,ftc
24,2013/05/10,24734,5.004,188.19,268633806,1588,,,,544,,,36,730,145547,267.55,1081118,,58.636,feathercoin,ftc
25,2013/05/11,13531,2.829,188.19,479279740,3232,,,,1276,,,28.8,1696,176730,138.503,877661,,58.345,feathercoin,ftc
26,2013/05/12,16312,1.799,188.19,383774146,1332,,,,559,,,53.333,756,41220,73.738,829194,,58.586,feathercoin,ftc
27,2013/05/13,7041,3.28,188.19,280819177,847,,,,212,,,38.919,316,106724,503.417,811585,,59.545,feathercoin,ftc
28,2013/05/14,13414,2.035,188.19,355715708,1748,,,,646,,,49.655,925,216725,335.488,811308,,60.001,feathercoin,ftc
29,2013/05/15,6248,1.979,188.19,238538234,718,,,,257,,,75.789,376,25011,97.321,812534,,59.807,feathercoin,ftc
30,2013/05/16,13619,2.344,188.19,158768755,804,,,,283,,,90,408,21379,75.544,761659,,59.835,feathercoin,ftc
31,2013/05/17,36789,2.171,188.19,113571843,1168,,,,501,,,130.909,676,27093,54.078,732502,,59.597,feathercoin,ftc
32,2013/05/18,7374,2.96,188.19,148603562,765,,,,346,,,75.789,484,27097,78.314,759268,,59.866,feathercoin,ftc
33,2013/05/19,6655,2.146,188.19,140453974,450,,,,185,,,110.769,260,14824,80.132,760313,,59.808,feathercoin,ftc
34,2013/05/20,17693,3.281,188.19,180142508,893,,,,311,,,68.571,440,60687,195.135,922558,,59.913,feathercoin,ftc
35,2013/05/21,8636,5.128,188.19,291643530,1709,,,,595,,,35.122,837,686681,1154,1197887,,61.529,feathercoin,ftc
36,2013/05/22,5876,3.804,188.19,323360163,1114,,,,494,,,41.143,687,506085,1024,1156377,,63.185,feathercoin,ftc
37,2013/05/23,3682,4.479,165.82,459111694,1431,,,,640,,,20.87,889,710996,1111,981945,,66.295,feathercoin,ftc
38,2013/05/24,5723,2.938,133.064,368768669,1417,,,,494,,,35.122,696,281305,569.443,872479,,72.382,feathercoin,ftc
39,2013/05/25,10380,2.301,133.064,237347683,1071,,,,379,,,57.6,567,376809,994.22,722262,,73.057,feathercoin,ftc
40,2013/05/26,6877,3.022,133.064,192772253,1180,,,,411,,,49.655,578,40312,98.083,664698,,74.65,feathercoin,ftc
41,2013/05/27,10544,2.578,133.064,172969057,794,,,,306,,,62.609,456,15865,51.845,641982,,74.596,feathercoin,ftc
42,2013/05/28,3056,3.608,133.064,184840702,739,,,,280,,,42.353,430,14618,52.207,650101,,74.828,feathercoin,ftc
