,date,sent_addresses,transactions,market_cap,active_addresses,send_usd,block_size,difficulty,fee_reward,google_trends,mining_profitability,median_transaction_value,av_transaction_value,confirmation_time,median_transaction_size,tweets,top_100_percent,av_transaction_size,hashrate,full_name,coin
0,2009/01/09,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
1,2009/01/10,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
2,2009/01/11,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
3,2009/01/12,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
4,2009/01/13,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
5,2009/01/14,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
6,2009/01/15,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
7,2009/01/16,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
8,2009/01/17,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
9,2009/01/18,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
10,2009/01/19,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
11,2009/01/20,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
12,2009/01/21,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
13,2009/01/22,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
14,2009/01/23,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
15,2009/01/24,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
16,2009/01/25,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
17,2009/01/26,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
18,2009/01/27,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
19,2009/01/28,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
20,2009/01/29,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
21,2009/01/30,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
22,2009/01/31,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
23,2009/02/01,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
24,2009/02/02,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
25,2009/02/03,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
26,2009/02/04,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
27,2009/02/05,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
28,2009/02/06,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
29,2009/02/07,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
30,2009/02/08,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
31,2009/02/09,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
32,2009/02/10,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
33,2009/02/11,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
34,2009/02/12,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
35,2009/02/13,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
36,2009/02/14,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
37,2009/02/15,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
38,2009/02/16,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
39,2009/02/17,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
40,2009/02/18,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
41,2009/02/19,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
42,2009/02/20,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
43,2009/02/21,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
44,2009/02/22,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
45,2009/02/23,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
46,2009/02/24,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
47,2009/02/25,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
48,2009/02/26,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
49,2009/02/27,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
50,2009/02/28,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
51,2009/03/01,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
52,2009/03/02,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
53,2009/03/03,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
54,2009/03/04,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
55,2009/03/05,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
56,2009/03/06,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
57,2009/03/07,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
58,2009/03/08,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
59,2009/03/09,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
60,2009/03/10,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
61,2009/03/11,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
62,2009/03/12,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
63,2009/03/13,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
64,2009/03/14,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
65,2009/03/15,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
66,2009/03/16,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
67,2009/03/17,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
68,2009/03/18,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
69,2009/03/19,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
70,2009/03/20,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
71,2009/03/21,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
72,2009/03/22,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
73,2009/03/23,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
74,2009/03/24,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
75,2009/03/25,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
76,2009/03/26,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
77,2009/03/27,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
78,2009/03/28,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
79,2009/03/29,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
80,2009/03/30,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
81,2009/03/31,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
82,2009/04/01,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
83,2009/04/02,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
84,2009/04/03,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
85,2009/04/04,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
86,2009/04/05,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
87,2009/04/06,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
88,2009/04/07,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
89,2009/04/08,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
90,2009/04/09,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
91,2009/04/10,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
92,2009/04/11,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
93,2009/04/12,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
94,2009/04/13,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
95,2009/04/14,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
96,2009/04/15,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
97,2009/04/16,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
98,2009/04/17,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
99,2009/04/18,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
100,2009/04/19,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
101,2009/04/20,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
102,2009/04/21,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
103,2009/04/22,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
104,2009/04/23,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
105,2009/04/24,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
106,2009/04/25,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
107,2009/04/26,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
108,2009/04/27,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
109,2009/04/28,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
110,2009/04/29,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
111,2009/04/30,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
112,2009/05/01,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
113,2009/05/02,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
114,2009/05/03,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
115,2009/05/04,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
116,2009/05/05,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
117,2009/05/06,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
118,2009/05/07,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
119,2009/05/08,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
120,2009/05/09,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
121,2009/05/10,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
122,2009/05/11,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
123,2009/05/12,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
124,2009/05/13,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
125,2009/05/14,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
126,2009/05/15,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
