,date,sent_addresses,transactions,confirmation_time,block_size,av_transaction_size,market_cap,median_transaction_size,mining_profitability,hashrate,send_usd,top_100_percent,median_transaction_value,google_trends,av_transaction_value,fee_reward,difficulty,tweets,active_addresses,full_name,coin
0,2009/01/09,,,,,,,,,,,,,,,,,,,iconomi,iconomi
1,2009/01/10,,,,,,,,,,,,,,,,,,,iconomi,iconomi
2,2009/01/11,,,,,,,,,,,,,,,,,,,iconomi,iconomi
3,2009/01/12,,,,,,,,,,,,,,,,,,,iconomi,iconomi
4,2009/01/13,,,,,,,,,,,,,,,,,,,iconomi,iconomi
5,2009/01/14,,,,,,,,,,,,,,,,,,,iconomi,iconomi
6,2009/01/15,,,,,,,,,,,,,,,,,,,iconomi,iconomi
7,2009/01/16,,,,,,,,,,,,,,,,,,,iconomi,iconomi
8,2009/01/17,,,,,,,,,,,,,,,,,,,iconomi,iconomi
9,2009/01/18,,,,,,,,,,,,,,,,,,,iconomi,iconomi
10,2009/01/19,,,,,,,,,,,,,,,,,,,iconomi,iconomi
11,2009/01/20,,,,,,,,,,,,,,,,,,,iconomi,iconomi
12,2009/01/21,,,,,,,,,,,,,,,,,,,iconomi,iconomi
13,2009/01/22,,,,,,,,,,,,,,,,,,,iconomi,iconomi
14,2009/01/23,,,,,,,,,,,,,,,,,,,iconomi,iconomi
15,2009/01/24,,,,,,,,,,,,,,,,,,,iconomi,iconomi
16,2009/01/25,,,,,,,,,,,,,,,,,,,iconomi,iconomi
17,2009/01/26,,,,,,,,,,,,,,,,,,,iconomi,iconomi
18,2009/01/27,,,,,,,,,,,,,,,,,,,iconomi,iconomi
19,2009/01/28,,,,,,,,,,,,,,,,,,,iconomi,iconomi
20,2009/01/29,,,,,,,,,,,,,,,,,,,iconomi,iconomi
21,2009/01/30,,,,,,,,,,,,,,,,,,,iconomi,iconomi
22,2009/01/31,,,,,,,,,,,,,,,,,,,iconomi,iconomi
23,2009/02/01,,,,,,,,,,,,,,,,,,,iconomi,iconomi
24,2009/02/02,,,,,,,,,,,,,,,,,,,iconomi,iconomi
25,2009/02/03,,,,,,,,,,,,,,,,,,,iconomi,iconomi
26,2009/02/04,,,,,,,,,,,,,,,,,,,iconomi,iconomi
27,2009/02/05,,,,,,,,,,,,,,,,,,,iconomi,iconomi
28,2009/02/06,,,,,,,,,,,,,,,,,,,iconomi,iconomi
29,2009/02/07,,,,,,,,,,,,,,,,,,,iconomi,iconomi
30,2009/02/08,,,,,,,,,,,,,,,,,,,iconomi,iconomi
31,2009/02/09,,,,,,,,,,,,,,,,,,,iconomi,iconomi
32,2009/02/10,,,,,,,,,,,,,,,,,,,iconomi,iconomi
33,2009/02/11,,,,,,,,,,,,,,,,,,,iconomi,iconomi
34,2009/02/12,,,,,,,,,,,,,,,,,,,iconomi,iconomi
35,2009/02/13,,,,,,,,,,,,,,,,,,,iconomi,iconomi
36,2009/02/14,,,,,,,,,,,,,,,,,,,iconomi,iconomi
37,2009/02/15,,,,,,,,,,,,,,,,,,,iconomi,iconomi
38,2009/02/16,,,,,,,,,,,,,,,,,,,iconomi,iconomi
39,2009/02/17,,,,,,,,,,,,,,,,,,,iconomi,iconomi
40,2009/02/18,,,,,,,,,,,,,,,,,,,iconomi,iconomi
41,2009/02/19,,,,,,,,,,,,,,,,,,,iconomi,iconomi
42,2009/02/20,,,,,,,,,,,,,,,,,,,iconomi,iconomi
43,2009/02/21,,,,,,,,,,,,,,,,,,,iconomi,iconomi
