,date,transactions,block_size,sent_addresses,difficulty,active_addresses,hashrate,av_transaction_size,send_usd,median_transaction_size,av_transaction_value,median_transaction_value,mining_profitability,confirmation_time,google_trends,top_100_percent,tweets,market_cap,fee_reward,full_name,coin
0,2009/01/03,nullnullnull,204nullnull,,1nullnull,nullnullnull,,,,,,,,,,,,,,isracoin,isracoin
1,2009/01/04,nullnullnull,nullnullnull,,nullnullnull,nullnullnull,,,,,,,,,,,,,,isracoin,isracoin
2,2009/01/05,nullnullnull,nullnullnull,,nullnullnull,nullnullnull,,,,,,,,,,,,,,isracoin,isracoin
3,2009/01/06,nullnullnull,nullnullnull,,nullnullnull,nullnullnull,,,,,,,,,,,,,,isracoin,isracoin
4,2009/01/07,nullnullnull,nullnullnull,,nullnullnull,nullnullnull,,,,,,,,,,,,,,isracoin,isracoin
5,2009/01/08,nullnullnull,nullnullnull,,nullnullnull,nullnullnull,,,,,,,,,,,,,,isracoin,isracoin
6,2009/01/09,nullnullnull,134nullnull,1nullnull,1nullnull,14nullnull,,,,,,,,,,,,,,isracoin,isracoin
7,2009/01/10,nullnullnull,134.23nullnull,nullnullnull,1nullnull,61nullnull,,,,,,,,,,,,,,isracoin,isracoin
8,2009/01/11,nullnullnull,134.409nullnull,1nullnull,1nullnull,93nullnull,,,,,,,,,,,,,,isracoin,isracoin
9,2009/01/12,7nullnull,153.372nullnull,7nullnull,1nullnull,102nullnull,,,,,,,,,,,,,,isracoin,isracoin
10,2009/01/13,nullnullnull,134.667nullnull,10nullnull,1nullnull,123nullnull,,,,,,,,,,,,,,isracoin,isracoin
11,2009/01/14,1nullnull,138.194nullnull,20nullnull,1nullnull,133nullnull,,,,,,,,,,,,,,isracoin,isracoin
12,2009/01/15,8nullnull,157.579nullnull,18nullnull,1nullnull,140nullnull,,,,,,,,,,,,,,isracoin,isracoin
13,2009/01/16,2nullnull,139.87nullnull,16nullnull,1nullnull,114nullnull,,,,,,,,,,,,,,isracoin,isracoin
14,2009/01/17,nullnullnull,134.853nullnull,18nullnull,1nullnull,109nullnull,,,,,,,,,,,,,,isracoin,isracoin
15,2009/01/18,1nullnull,138.944nullnull,16nullnull,1nullnull,111nullnull,,,,,,,,,,,,,,isracoin,isracoin
16,2009/01/19,2nullnull,151.896nullnull,22nullnull,1nullnull,133nullnull,,,,,,,,,,,,,,isracoin,isracoin
17,2009/01/20,1nullnull,143.728nullnull,21nullnull,1nullnull,123nullnull,,,,,,,,,,,,,,isracoin,isracoin
18,2009/01/21,1nullnull,137.99nullnull,22nullnull,1nullnull,105nullnull,,,,,,,,,,,,,,isracoin,isracoin
19,2009/01/22,1nullnull,147.747nullnull,12nullnull,1nullnull,102nullnull,,,,,,,,,,,,,,isracoin,isracoin
20,2009/01/23,2nullnull,148.238nullnull,18nullnull,1nullnull,95nullnull,,,,,,,,,,,,,,isracoin,isracoin
21,2009/01/24,1nullnull,141.06nullnull,22nullnull,1nullnull,212nullnull,,,,,,,,,,,,,,isracoin,isracoin
22,2009/01/25,1nullnull,136nullnull,14nullnull,1nullnull,193nullnull,,,,,,,,,,,,,,isracoin,isracoin
23,2009/01/26,1nullnull,158.948nullnull,17nullnull,1nullnull,117nullnull,,,,,,,,,,,,,,isracoin,isracoin
24,2009/01/27,1nullnull,139.309nullnull,8nullnull,1nullnull,101nullnull,,,,,,,,,,,,,,isracoin,isracoin
25,2009/01/28,nullnullnull,134.652nullnull,23nullnull,1nullnull,112nullnull,,,,,,,,,,,,,,isracoin,isracoin
26,2009/01/29,1nullnull,146.256nullnull,24nullnull,1nullnull,134nullnull,,,,,,,,,,,,,,isracoin,isracoin
27,2009/01/30,nullnullnull,134.872nullnull,23nullnull,1nullnull,117nullnull,,,,,,,,,,,,,,isracoin,isracoin
28,2009/01/31,1nullnull,151.464nullnull,36nullnull,1nullnull,159nullnull,,,,,,,,,,,,,,isracoin,isracoin
29,2009/02/01,1nullnull,137.204nullnull,31nullnull,1nullnull,116nullnull,,,,,,,,,,,,,,isracoin,isracoin
30,2009/02/02,1nullnull,136.094nullnull,37nullnull,1nullnull,130nullnull,,,,,,,,,,,,,,isracoin,isracoin
31,2009/02/03,16nullnull,167.496nullnull,50nullnull,1nullnull,154nullnull,,,,,,,,,,,,,,isracoin,isracoin
32,2009/02/04,nullnullnull,134.739nullnull,26nullnull,1nullnull,119nullnull,,,,,,,,,,,,,,isracoin,isracoin
33,2009/02/05,nullnullnull,134.722nullnull,34nullnull,1nullnull,126nullnull,,,,,,,,,,,,,,isracoin,isracoin
34,2009/02/06,nullnullnull,134.836nullnull,19nullnull,1nullnull,122nullnull,,,,,,,,,,,,,,isracoin,isracoin
35,2009/02/07,4nullnull,159.31nullnull,32nullnull,1nullnull,156nullnull,,,,,,,,,,,,,,isracoin,isracoin
36,2009/02/08,1nullnull,136.576nullnull,46nullnull,1nullnull,134nullnull,,,,,,,,,,,,,,isracoin,isracoin
37,2009/02/09,1nullnull,172.604nullnull,34nullnull,1nullnull,179nullnull,,,,,,,,,,,,,,isracoin,isracoin
38,2009/02/10,nullnullnull,134.667nullnull,18nullnull,1nullnull,120nullnull,,,,,,,,,,,,,,isracoin,isracoin
39,2009/02/11,2nullnull,148.128nullnull,27nullnull,1nullnull,147nullnull,,,,,,,,,,,,,,isracoin,isracoin
40,2009/02/12,nullnullnull,134.874nullnull,22nullnull,1nullnull,119nullnull,,,,,,,,,,,,,,isracoin,isracoin
41,2009/02/13,nullnullnull,134.903nullnull,27nullnull,1nullnull,124nullnull,,,,,,,,,,,,,,isracoin,isracoin
42,2009/02/14,nullnullnull,134.787nullnull,29nullnull,1nullnull,136nullnull,,,,,,,,,,,,,,isracoin,isracoin
43,2009/02/15,3nullnull,148.383nullnull,32nullnull,1nullnull,142nullnull,,,,,,,,,,,,,,isracoin,isracoin
44,2009/02/16,1nullnull,163.172nullnull,26nullnull,1nullnull,153nullnull,,,,,,,,,,,,,,isracoin,isracoin
45,2009/02/17,nullnullnull,134.897nullnull,27nullnull,1nullnull,117nullnull,,,,,,,,,,,,,,isracoin,isracoin
46,2009/02/18,nullnullnull,134.941nullnull,23nullnull,1nullnull,118nullnull,,,,,,,,,,,,,,isracoin,isracoin
47,2009/02/19,1nullnull,150.048nullnull,37nullnull,1nullnull,141nullnull,,,,,,,,,,,,,,isracoin,isracoin
48,2009/02/20,nullnullnull,134.852nullnull,29nullnull,1nullnull,122nullnull,,,,,,,,,,,,,,isracoin,isracoin
49,2009/02/21,nullnullnull,134.965nullnull,22nullnull,1nullnull,114nullnull,,,,,,,,,,,,,,isracoin,isracoin
50,2009/02/22,4nullnull,147.545nullnull,28nullnull,1nullnull,133nullnull,,,,,,,,,,,,,,isracoin,isracoin
51,2009/02/23,nullnullnull,134.991nullnull,22nullnull,1nullnull,108nullnull,,,,,,,,,,,,,,isracoin,isracoin
52,2009/02/24,nullnullnull,134.934nullnull,16nullnull,1nullnull,106nullnull,,,,,,,,,,,,,,isracoin,isracoin
53,2009/02/25,nullnullnull,134.867nullnull,16nullnull,1nullnull,105nullnull,,,,,,,,,,,,,,isracoin,isracoin
54,2009/02/26,nullnullnull,134.963nullnull,14nullnull,1nullnull,107nullnull,,,,,,,,,,,,,,isracoin,isracoin
55,2009/02/27,1nullnull,170.8nullnull,26nullnull,1nullnull,152nullnull,,,,,,,,,,,,,,isracoin,isracoin
56,2009/02/28,1nullnull,143.525nullnull,8nullnull,1nullnull,107nullnull,,,,,,,,,,,,,,isracoin,isracoin
57,2009/03/01,nullnullnull,134.952nullnull,16nullnull,1nullnull,105nullnull,,,,,,,,,,,,,,isracoin,isracoin
58,2009/03/02,nullnullnull,134.963nullnull,15nullnull,1nullnull,108nullnull,,,,,,,,,,,,,,isracoin,isracoin
59,2009/03/03,2nullnull,144.429nullnull,17nullnull,1nullnull,114nullnull,,,,,,,,,,,,,,isracoin,isracoin
60,2009/03/04,2nullnull,163.712nullnull,22nullnull,1nullnull,130nullnull,,,,,,,,,,,,,,isracoin,isracoin
61,2009/03/05,1nullnull,143.411nullnull,23nullnull,1nullnull,121nullnull,,,,,,,,,,,,,,isracoin,isracoin
62,2009/03/06,nullnullnull,134.923nullnull,31nullnull,1nullnull,117nullnull,,,,,,,,,,,,,,isracoin,isracoin
63,2009/03/07,nullnullnull,134.972nullnull,25nullnull,1nullnull,109nullnull,,,,,,,,,,,,,,isracoin,isracoin
64,2009/03/08,3nullnull,162.591nullnull,19nullnull,1nullnull,142nullnull,,,,,,,,,,,,,,isracoin,isracoin
65,2009/03/09,nullnullnull,134.713nullnull,21nullnull,1nullnull,108nullnull,,,,,,,,,,,,,,isracoin,isracoin
66,2009/03/10,nullnullnull,134.972nullnull,21nullnull,1nullnull,107nullnull,,,,,,,,,,,,,,isracoin,isracoin
67,2009/03/11,nullnullnull,134.886nullnull,25nullnull,1nullnull,114nullnull,,,,,,,,,,,,,,isracoin,isracoin
68,2009/03/12,1nullnull,138.534nullnull,30nullnull,1nullnull,122nullnull,,,,,,,,,,,,,,isracoin,isracoin
69,2009/03/13,1nullnull,148.389nullnull,14nullnull,1nullnull,127nullnull,,,,,,,,,,,,,,isracoin,isracoin
70,2009/03/14,nullnullnull,134.791nullnull,24nullnull,1nullnull,110nullnull,,,,,,,,,,,,,,isracoin,isracoin
71,2009/03/15,nullnullnull,134.967nullnull,28nullnull,1nullnull,123nullnull,,,,,,,,,,,,,,isracoin,isracoin
72,2009/03/16,1nullnull,180.512nullnull,28nullnull,1nullnull,170nullnull,,,,,,,,,,,,,,isracoin,isracoin
73,2009/03/17,nullnullnull,134.965nullnull,24nullnull,1nullnull,114nullnull,,,,,,,,,,,,,,isracoin,isracoin
74,2009/03/18,2nullnull,149.711nullnull,16nullnull,1nullnull,129nullnull,,,,,,,,,,,,,,isracoin,isracoin
75,2009/03/19,nullnullnull,134.787nullnull,26nullnull,1nullnull,122nullnull,,,,,,,,,,,,,,isracoin,isracoin
76,2009/03/20,1nullnull,146.856nullnull,27nullnull,1nullnull,131nullnull,,,,,,,,,,,,,,isracoin,isracoin
77,2009/03/21,nullnullnull,134.88nullnull,26nullnull,1nullnull,50nullnull,,,,,,,,,,,,,,isracoin,isracoin
78,2009/03/22,2nullnull,146.126nullnull,33nullnull,1nullnull,131nullnull,,,,,,,,,,,,,,isracoin,isracoin
79,2009/03/23,nullnullnull,134.923nullnull,30nullnull,1nullnull,130nullnull,,,,,,,,,,,,,,isracoin,isracoin
80,2009/03/24,nullnullnull,134.981nullnull,17nullnull,1nullnull,105nullnull,,,,,,,,,,,,,,isracoin,isracoin
81,2009/03/25,nullnullnull,134.786nullnull,29nullnull,1nullnull,117nullnull,,,,,,,,,,,,,,isracoin,isracoin
82,2009/03/26,1nullnull,162.607nullnull,25nullnull,1nullnull,146nullnull,,,,,,,,,,,,,,isracoin,isracoin
83,2009/03/27,nullnullnull,134.953nullnull,22nullnull,1nullnull,106nullnull,,,,,,,,,,,,,,isracoin,isracoin
84,2009/03/28,3nullnull,155.235nullnull,28nullnull,1nullnull,140nullnull,,,,,,,,,,,,,,isracoin,isracoin
85,2009/03/29,nullnullnull,134.966nullnull,25nullnull,1nullnull,116nullnull,,,,,,,,,,,,,,isracoin,isracoin
86,2009/03/30,nullnullnull,134.85nullnull,33nullnull,1nullnull,120nullnull,,,,,,,,,,,,,,isracoin,isracoin
87,2009/03/31,1nullnull,168.518nullnull,18nullnull,1nullnull,143nullnull,,,,,,,,,,,,,,isracoin,isracoin
88,2009/04/01,nullnullnull,134.86nullnull,23nullnull,1nullnull,114nullnull,,,,,,,,,,,,,,isracoin,isracoin
89,2009/04/02,nullnullnull,134.887nullnull,26nullnull,1nullnull,115nullnull,,,,,,,,,,,,,,isracoin,isracoin
90,2009/04/03,nullnullnull,134.948nullnull,31nullnull,1nullnull,116nullnull,,,,,,,,,,,,,,isracoin,isracoin
91,2009/04/04,nullnullnull,134.743nullnull,27nullnull,1nullnull,113nullnull,,,,,,,,,,,,,,isracoin,isracoin
92,2009/04/05,2nullnull,150.554nullnull,37nullnull,1nullnull,148nullnull,,,,,,,,,,,,,,isracoin,isracoin
93,2009/04/06,nullnullnull,134.982nullnull,22nullnull,1nullnull,109nullnull,,,,,,,,,,,,,,isracoin,isracoin
94,2009/04/07,nullnullnull,134.99nullnull,9nullnull,1nullnull,100nullnull,,,,,,,,,,,,,,isracoin,isracoin
95,2009/04/08,nullnullnull,135nullnull,18nullnull,1nullnull,105nullnull,,,,,,,,,,,,,,isracoin,isracoin
