,date,block_size,sent_addresses,fee_reward,difficulty,median_transaction_value,google_trends,av_transaction_value,send_usd,top_100_percent,confirmation_time,median_transaction_size,mining_profitability,active_addresses,hashrate,market_cap,transactions,tweets,av_transaction_size,full_name,coin
0,2009/01/03,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
1,2009/01/04,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
2,2009/01/05,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
3,2009/01/06,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
4,2009/01/07,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
5,2009/01/08,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
6,2009/01/09,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
7,2009/01/10,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
8,2009/01/11,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
9,2009/01/12,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
10,2009/01/13,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
11,2009/01/14,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
12,2009/01/15,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
13,2009/01/16,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
14,2009/01/17,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
15,2009/01/18,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
16,2009/01/19,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
17,2009/01/20,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
18,2009/01/21,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
19,2009/01/22,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
20,2009/01/23,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
21,2009/01/24,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
22,2009/01/25,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
23,2009/01/26,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
24,2009/01/27,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
25,2009/01/28,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
26,2009/01/29,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
27,2009/01/30,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
28,2009/01/31,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
29,2009/02/01,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
30,2009/02/02,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
31,2009/02/03,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
32,2009/02/04,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
33,2009/02/05,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
34,2009/02/06,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
35,2009/02/07,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
36,2009/02/08,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
37,2009/02/09,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
38,2009/02/10,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
39,2009/02/11,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
40,2009/02/12,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
41,2009/02/13,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
42,2009/02/14,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
43,2009/02/15,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
44,2009/02/16,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
45,2009/02/17,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
46,2009/02/18,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
47,2009/02/19,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
48,2009/02/20,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
49,2009/02/21,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
50,2009/02/22,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
51,2009/02/23,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
52,2009/02/24,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
53,2009/02/25,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
54,2009/02/26,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
55,2009/02/27,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
56,2009/02/28,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
57,2009/03/01,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
58,2009/03/02,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
59,2009/03/03,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
60,2009/03/04,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
61,2009/03/05,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
62,2009/03/06,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
63,2009/03/07,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
64,2009/03/08,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
65,2009/03/09,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
66,2009/03/10,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
67,2009/03/11,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
68,2009/03/12,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
69,2009/03/13,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
70,2009/03/14,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
71,2009/03/15,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
72,2009/03/16,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
73,2009/03/17,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
74,2009/03/18,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
75,2009/03/19,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
76,2009/03/20,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
77,2009/03/21,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
78,2009/03/22,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
79,2009/03/23,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
80,2009/03/24,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
81,2009/03/25,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
82,2009/03/26,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
83,2009/03/27,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
84,2009/03/28,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
85,2009/03/29,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
86,2009/03/30,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
87,2009/03/31,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
88,2009/04/01,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
89,2009/04/02,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
90,2009/04/03,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
91,2009/04/04,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
92,2009/04/05,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
93,2009/04/06,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
94,2009/04/07,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
95,2009/04/08,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
96,2009/04/09,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
97,2009/04/10,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
98,2009/04/11,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
99,2009/04/12,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
100,2009/04/13,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
101,2009/04/14,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
102,2009/04/15,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
103,2009/04/16,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
104,2009/04/17,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
105,2009/04/18,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
106,2009/04/19,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
107,2009/04/20,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
108,2009/04/21,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
109,2009/04/22,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
110,2009/04/23,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
111,2009/04/24,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
112,2009/04/25,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
113,2009/04/26,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
114,2009/04/27,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
115,2009/04/28,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
116,2009/04/29,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
117,2009/04/30,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
118,2009/05/01,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
119,2009/05/02,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
120,2009/05/03,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
121,2009/05/04,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
122,2009/05/05,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
123,2009/05/06,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
124,2009/05/07,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
125,2009/05/08,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
126,2009/05/09,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
127,2009/05/10,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
128,2009/05/11,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
129,2009/05/12,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
130,2009/05/13,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
131,2009/05/14,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
132,2009/05/15,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
133,2009/05/16,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
134,2009/05/17,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
135,2009/05/18,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
136,2009/05/19,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
137,2009/05/20,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
138,2009/05/21,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
139,2009/05/22,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
140,2009/05/23,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
141,2009/05/24,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
142,2009/05/25,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
143,2009/05/26,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
144,2009/05/27,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
145,2009/05/28,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
146,2009/05/29,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
147,2009/05/30,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
148,2009/05/31,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
149,2009/06/01,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
150,2009/06/02,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
151,2009/06/03,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
152,2009/06/04,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
153,2009/06/05,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
154,2009/06/06,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
155,2009/06/07,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
156,2009/06/08,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
157,2009/06/09,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
158,2009/06/10,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
159,2009/06/11,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
160,2009/06/12,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
161,2009/06/13,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
162,2009/06/14,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
163,2009/06/15,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
164,2009/06/16,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
165,2009/06/17,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
166,2009/06/18,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
167,2009/06/19,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
168,2009/06/20,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
169,2009/06/21,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
170,2009/06/22,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
171,2009/06/23,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
172,2009/06/24,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
173,2009/06/25,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
174,2009/06/26,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
175,2009/06/27,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
176,2009/06/28,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
177,2009/06/29,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
178,2009/06/30,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
179,2009/07/01,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
180,2009/07/02,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
181,2009/07/03,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
182,2009/07/04,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
183,2009/07/05,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
184,2009/07/06,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
185,2009/07/07,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
186,2009/07/08,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
187,2009/07/09,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
188,2009/07/10,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
189,2009/07/11,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
190,2009/07/12,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
191,2009/07/13,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
192,2009/07/14,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
193,2009/07/15,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
194,2009/07/16,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
195,2009/07/17,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
196,2009/07/18,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
