,date,block_size,transactions,sent_addresses,difficulty,median_transaction_size,top_100_percent,av_transaction_value,av_transaction_size,send_usd,median_transaction_value,market_cap,active_addresses,google_trends,mining_profitability,fee_reward,hashrate,confirmation_time,tweets,full_name,coin
0,2009/01/03,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
1,2009/01/04,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
2,2009/01/05,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
3,2009/01/06,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
4,2009/01/07,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
5,2009/01/08,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
6,2009/01/09,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
7,2009/01/10,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
8,2009/01/11,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
9,2009/01/12,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
10,2009/01/13,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
11,2009/01/14,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
12,2009/01/15,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
13,2009/01/16,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
14,2009/01/17,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
15,2009/01/18,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
16,2009/01/19,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
17,2009/01/20,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
18,2009/01/21,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
19,2009/01/22,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
20,2009/01/23,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
21,2009/01/24,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
22,2009/01/25,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
