,date,mining_profitability,block_size,difficulty,top_100_percent,active_addresses,send_usd,market_cap,fee_reward,median_transaction_value,tweets,transactions,median_transaction_size,confirmation_time,av_transaction_size,hashrate,sent_addresses,av_transaction_value,google_trends,full_name,coin
0,2012/07/13,5567,1026,5.88,70.341,2072,8823,278442,,1.165,,697,,2.78,,151443845,1524,7.262,,litecoin,ltc
1,2012/07/14,6703,757.957,5.882,70.364,2100,3781,322251,,1.309,,696,,2.404,,167732911,1606,2.92,,litecoin,ltc
2,2012/07/15,6736,770.539,5.882,70.799,2262,7561,328992,,1.212,,774,,2.222,,183425221,1724,5.317,,litecoin,ltc
3,2012/07/16,7105,1607,6.042,71.315,2706,9151,399041,,1.603,,989,,2.441,,192076818,1913,5.795,,litecoin,ltc
4,2012/07/17,9811,1397,6.171,71.072,3017,16384,490280,,2.261,,1144,,2.185,,189984737,2171,9.087,,litecoin,ltc
5,2012/07/18,8267,1030,6.171,70.757,2628,17473,445062,,1.528,,947,,2.192,,203097875,1915,10.893,,litecoin,ltc
6,2012/07/19,7777,896.865,6.377,70.707,2608,12470,434487,,1.459,,958,,2.323,,198171909,1891,7.903,,litecoin,ltc
7,2012/07/20,7784,873.717,6.688,71.257,2347,11585,461426,,1.56,,860,,2.38,,204544730,1744,7.908,,litecoin,ltc
8,2012/07/21,7866,800.679,6.688,70.91,2190,8883,449380,,1.884,,797,,2.222,,210318609,1719,6.148,,litecoin,ltc
9,2012/07/22,6978,818.469,6.746,70.652,2074,5212,422779,,1.844,,685,,2.441,,202299367,1564,4.088,,litecoin,ltc
10,2012/07/23,7013,1003,7.146,70.618,2874,9804,429065,,1.508,,1012,,2.246,,221356698,1959,5.931,,litecoin,ltc
11,2012/07/24,7001,964.928,7.146,70.567,2695,7512,441302,,1.592,,1156,,2.069,,246790620,2161,4.056,,litecoin,ltc
12,2012/07/25,6409,1536,7.279,70.452,2986,11864,411733,,1.143,,1049,,2.121,,244378089,2086,6.866,,litecoin,ltc
13,2012/07/26,4808,835.089,8.368,70.838,2495,10492,417358,,1.855,,682,,2.727,,255687923,1491,8.671,,litecoin,ltc
