,date,transactions,median_transaction_size,block_size,av_transaction_size,hashrate,market_cap,av_transaction_value,difficulty,send_usd,median_transaction_value,confirmation_time,mining_profitability,active_addresses,fee_reward,sent_addresses,top_100_percent,google_trends,tweets,full_name,coin
0,2009/01/03,,,,,,,,,,,,,,,,,,,minerals,minerals
1,2009/01/04,,,,,,,,,,,,,,,,,,,minerals,minerals
2,2009/01/05,,,,,,,,,,,,,,,,,,,minerals,minerals
3,2009/01/06,,,,,,,,,,,,,,,,,,,minerals,minerals
4,2009/01/07,,,,,,,,,,,,,,,,,,,minerals,minerals
5,2009/01/08,,,,,,,,,,,,,,,,,,,minerals,minerals
6,2009/01/09,,,,,,,,,,,,,,,,,,,minerals,minerals
7,2009/01/10,,,,,,,,,,,,,,,,,,,minerals,minerals
8,2009/01/11,,,,,,,,,,,,,,,,,,,minerals,minerals
9,2009/01/12,,,,,,,,,,,,,,,,,,,minerals,minerals
10,2009/01/13,,,,,,,,,,,,,,,,,,,minerals,minerals
11,2009/01/14,,,,,,,,,,,,,,,,,,,minerals,minerals
12,2009/01/15,,,,,,,,,,,,,,,,,,,minerals,minerals
13,2009/01/16,,,,,,,,,,,,,,,,,,,minerals,minerals
14,2009/01/17,,,,,,,,,,,,,,,,,,,minerals,minerals
15,2009/01/18,,,,,,,,,,,,,,,,,,,minerals,minerals
16,2009/01/19,,,,,,,,,,,,,,,,,,,minerals,minerals
17,2009/01/20,,,,,,,,,,,,,,,,,,,minerals,minerals
18,2009/01/21,,,,,,,,,,,,,,,,,,,minerals,minerals
19,2009/01/22,,,,,,,,,,,,,,,,,,,minerals,minerals
20,2009/01/23,,,,,,,,,,,,,,,,,,,minerals,minerals
21,2009/01/24,,,,,,,,,,,,,,,,,,,minerals,minerals
22,2009/01/25,,,,,,,,,,,,,,,,,,,minerals,minerals
23,2009/01/26,,,,,,,,,,,,,,,,,,,minerals,minerals
24,2009/01/27,,,,,,,,,,,,,,,,,,,minerals,minerals
25,2009/01/28,,,,,,,,,,,,,,,,,,,minerals,minerals
26,2009/01/29,,,,,,,,,,,,,,,,,,,minerals,minerals
27,2009/01/30,,,,,,,,,,,,,,,,,,,minerals,minerals
28,2009/01/31,,,,,,,,,,,,,,,,,,,minerals,minerals
29,2009/02/01,,,,,,,,,,,,,,,,,,,minerals,minerals
30,2009/02/02,,,,,,,,,,,,,,,,,,,minerals,minerals
31,2009/02/03,,,,,,,,,,,,,,,,,,,minerals,minerals
32,2009/02/04,,,,,,,,,,,,,,,,,,,minerals,minerals
33,2009/02/05,,,,,,,,,,,,,,,,,,,minerals,minerals
34,2009/02/06,,,,,,,,,,,,,,,,,,,minerals,minerals
35,2009/02/07,,,,,,,,,,,,,,,,,,,minerals,minerals
36,2009/02/08,,,,,,,,,,,,,,,,,,,minerals,minerals
37,2009/02/09,,,,,,,,,,,,,,,,,,,minerals,minerals
38,2009/02/10,,,,,,,,,,,,,,,,,,,minerals,minerals
39,2009/02/11,,,,,,,,,,,,,,,,,,,minerals,minerals
40,2009/02/12,,,,,,,,,,,,,,,,,,,minerals,minerals
41,2009/02/13,,,,,,,,,,,,,,,,,,,minerals,minerals
42,2009/02/14,,,,,,,,,,,,,,,,,,,minerals,minerals
43,2009/02/15,,,,,,,,,,,,,,,,,,,minerals,minerals
44,2009/02/16,,,,,,,,,,,,,,,,,,,minerals,minerals
45,2009/02/17,,,,,,,,,,,,,,,,,,,minerals,minerals
46,2009/02/18,,,,,,,,,,,,,,,,,,,minerals,minerals
47,2009/02/19,,,,,,,,,,,,,,,,,,,minerals,minerals
