,av_transaction_size,hashrate,date,difficulty,median_transaction_value,sent_addresses,market_cap,av_transaction_value,transactions,confirmation_time,block_size,top_100_percent,active_addresses,median_transaction_size,google_trends,fee_reward,mining_profitability,tweets,send_usd,full_name,coin
0,,,2009/01/03,,,,,,,,,,,,,,,,,namecoin,nmc
1,,,2009/01/04,,,,,,,,,,,,,,,,,namecoin,nmc
2,,,2009/01/05,,,,,,,,,,,,,,,,,namecoin,nmc
3,,,2009/01/06,,,,,,,,,,,,,,,,,namecoin,nmc
4,,,2009/01/07,,,,,,,,,,,,,,,,,namecoin,nmc
5,,,2009/01/08,,,,,,,,,,,,,,,,,namecoin,nmc
6,,,2009/01/09,,,,,,,,,,,,,,,,,namecoin,nmc
7,,,2009/01/10,,,,,,,,,,,,,,,,,namecoin,nmc
8,,,2009/01/11,,,,,,,,,,,,,,,,,namecoin,nmc
9,,,2009/01/12,,,,,,,,,,,,,,,,,namecoin,nmc
10,,,2009/01/13,,,,,,,,,,,,,,,,,namecoin,nmc
11,,,2009/01/14,,,,,,,,,,,,,,,,,namecoin,nmc
12,,,2009/01/15,,,,,,,,,,,,,,,,,namecoin,nmc
13,,,2009/01/16,,,,,,,,,,,,,,,,,namecoin,nmc
14,,,2009/01/17,,,,,,,,,,,,,,,,,namecoin,nmc
15,,,2009/01/18,,,,,,,,,,,,,,,,,namecoin,nmc
16,,,2009/01/19,,,,,,,,,,,,,,,,,namecoin,nmc
17,,,2009/01/20,,,,,,,,,,,,,,,,,namecoin,nmc
18,,,2009/01/21,,,,,,,,,,,,,,,,,namecoin,nmc
19,,,2009/01/22,,,,,,,,,,,,,,,,,namecoin,nmc
20,,,2009/01/23,,,,,,,,,,,,,,,,,namecoin,nmc
21,,,2009/01/24,,,,,,,,,,,,,,,,,namecoin,nmc
22,,,2009/01/25,,,,,,,,,,,,,,,,,namecoin,nmc
23,,,2009/01/26,,,,,,,,,,,,,,,,,namecoin,nmc
24,,,2009/01/27,,,,,,,,,,,,,,,,,namecoin,nmc
25,,,2009/01/28,,,,,,,,,,,,,,,,,namecoin,nmc
26,,,2009/01/29,,,,,,,,,,,,,,,,,namecoin,nmc
27,,,2009/01/30,,,,,,,,,,,,,,,,,namecoin,nmc
28,,,2009/01/31,,,,,,,,,,,,,,,,,namecoin,nmc
29,,,2009/02/01,,,,,,,,,,,,,,,,,namecoin,nmc
30,,,2009/02/02,,,,,,,,,,,,,,,,,namecoin,nmc
31,,,2009/02/03,,,,,,,,,,,,,,,,,namecoin,nmc
32,,,2009/02/04,,,,,,,,,,,,,,,,,namecoin,nmc
33,,,2009/02/05,,,,,,,,,,,,,,,,,namecoin,nmc
