,date,transactions,block_size,active_addresses,difficulty,av_transaction_value,send_usd,sent_addresses,top_100_percent,av_transaction_size,confirmation_time,median_transaction_value,market_cap,median_transaction_size,mining_profitability,fee_reward,google_trends,tweets,hashrate,full_name,coin
0,2009/01/03,,,,,,,,,,,,,,,,,,,netcoin,netcoin
1,2009/01/04,,,,,,,,,,,,,,,,,,,netcoin,netcoin
2,2009/01/05,,,,,,,,,,,,,,,,,,,netcoin,netcoin
3,2009/01/06,,,,,,,,,,,,,,,,,,,netcoin,netcoin
4,2009/01/07,,,,,,,,,,,,,,,,,,,netcoin,netcoin
5,2009/01/08,,,,,,,,,,,,,,,,,,,netcoin,netcoin
6,2009/01/09,,,,,,,,,,,,,,,,,,,netcoin,netcoin
7,2009/01/10,,,,,,,,,,,,,,,,,,,netcoin,netcoin
8,2009/01/11,,,,,,,,,,,,,,,,,,,netcoin,netcoin
9,2009/01/12,,,,,,,,,,,,,,,,,,,netcoin,netcoin
10,2009/01/13,,,,,,,,,,,,,,,,,,,netcoin,netcoin
11,2009/01/14,,,,,,,,,,,,,,,,,,,netcoin,netcoin
12,2009/01/15,,,,,,,,,,,,,,,,,,,netcoin,netcoin
13,2009/01/16,,,,,,,,,,,,,,,,,,,netcoin,netcoin
14,2009/01/17,,,,,,,,,,,,,,,,,,,netcoin,netcoin
15,2009/01/18,,,,,,,,,,,,,,,,,,,netcoin,netcoin
16,2009/01/19,,,,,,,,,,,,,,,,,,,netcoin,netcoin
17,2009/01/20,,,,,,,,,,,,,,,,,,,netcoin,netcoin
18,2009/01/21,,,,,,,,,,,,,,,,,,,netcoin,netcoin
19,2009/01/22,,,,,,,,,,,,,,,,,,,netcoin,netcoin
20,2009/01/23,,,,,,,,,,,,,,,,,,,netcoin,netcoin
21,2009/01/24,,,,,,,,,,,,,,,,,,,netcoin,netcoin
22,2009/01/25,,,,,,,,,,,,,,,,,,,netcoin,netcoin
23,2009/01/26,,,,,,,,,,,,,,,,,,,netcoin,netcoin
24,2009/01/27,,,,,,,,,,,,,,,,,,,netcoin,netcoin
