,date,send_usd,sent_addresses,difficulty,active_addresses,fee_reward,median_transaction_size,transactions,market_cap,av_transaction_value,mining_profitability,block_size,av_transaction_size,top_100_percent,confirmation_time,tweets,google_trends,hashrate,median_transaction_value,full_name,coin
0,2010/07/17,1193nullnull,390nullnull,181.543nullnull,804nullnull,,,235nullnull,169839nullnull,2.924nullnull,,649.653nullnull,,,,,,,,novacoin,nvc
1,2010/07/18,2620nullnull,424nullnull,181.543nullnull,917nullnull,,,248nullnull,249761nullnull,6.237nullnull,,765.285nullnull,,,,,,,,novacoin,nvc
2,2010/07/19,4048nullnull,553nullnull,181.543nullnull,972nullnull,,,354nullnull,295981nullnull,7.666nullnull,,756.04nullnull,,,,,,,,novacoin,nvc
3,2010/07/20,2341nullnull,632nullnull,181.543nullnull,906nullnull,,,413nullnull,270546nullnull,3.94nullnull,,984.707nullnull,,,,,,,,novacoin,nvc
4,2010/07/21,2122nullnull,440nullnull,181.543nullnull,809nullnull,,,256nullnull,265900nullnull,4.583nullnull,,542.483nullnull,,,,,,,,novacoin,nvc
5,2010/07/22,2570nullnull,412nullnull,181.543nullnull,599nullnull,,,221nullnull,225420nullnull,6.474nullnull,,491.903nullnull,,,,,,,,novacoin,nvc
6,2010/07/23,1166nullnull,405nullnull,181.543nullnull,652nullnull,,,217nullnull,197086nullnull,2.837nullnull,,447.16nullnull,,,,,,,,novacoin,nvc
7,2010/07/24,2540nullnull,645nullnull,181.543nullnull,964nullnull,,,705nullnull,202929nullnull,2.842nullnull,,1446nullnull,,,,,,,,novacoin,nvc
8,2010/07/25,2493nullnull,1793nullnull,181.543nullnull,2132nullnull,,,1592nullnull,185609nullnull,1.368nullnull,,3145nullnull,,,,,,,,novacoin,nvc
9,2010/07/26,4608nullnull,408nullnull,181.543nullnull,1238nullnull,,,224nullnull,186308nullnull,9.868nullnull,,918.379nullnull,,,,,,,,novacoin,nvc
10,2010/07/27,1850nullnull,419nullnull,239.305nullnull,771nullnull,,,260nullnull,204589nullnull,4.343nullnull,,679.271nullnull,,,,,,,,novacoin,nvc
11,2010/07/28,4016nullnull,343nullnull,244.213nullnull,674nullnull,,,1792nullnull,210197nullnull,2.059nullnull,,3344nullnull,,,,,,,,novacoin,nvc
12,2010/07/29,1235nullnull,367nullnull,244.213nullnull,528nullnull,,,1687nullnull,229629nullnull,0.662nullnull,,2370nullnull,,,,,,,,novacoin,nvc
13,2010/07/30,1336nullnull,293nullnull,244.213nullnull,583nullnull,,,143nullnull,235363nullnull,4.11nullnull,,538.269nullnull,,,,,,,,novacoin,nvc
