,date,transactions,block_size,sent_addresses,av_transaction_size,median_transaction_size,median_transaction_value,av_transaction_value,top_100_percent,send_usd,active_addresses,confirmation_time,hashrate,difficulty,market_cap,mining_profitability,tweets,fee_reward,google_trends,full_name,coin
0,2009/01/03,nullnullnull,204nullnull,,,,,,,,nullnullnull,,,1nullnull,,,,,,paycoin,paycoin
1,2009/01/04,nullnullnull,nullnullnull,,,,,,,,nullnullnull,,,nullnullnull,,,,,,paycoin,paycoin
2,2009/01/05,nullnullnull,nullnullnull,,,,,,,,nullnullnull,,,nullnullnull,,,,,,paycoin,paycoin
3,2009/01/06,nullnullnull,nullnullnull,,,,,,,,nullnullnull,,,nullnullnull,,,,,,paycoin,paycoin
4,2009/01/07,nullnullnull,nullnullnull,,,,,,,,nullnullnull,,,nullnullnull,,,,,,paycoin,paycoin
5,2009/01/08,nullnullnull,nullnullnull,,,,,,,,nullnullnull,,,nullnullnull,,,,,,paycoin,paycoin
6,2009/01/09,nullnullnull,134nullnull,1nullnull,,,,,,,14nullnull,,,1nullnull,,,,,,paycoin,paycoin
7,2009/01/10,nullnullnull,134.23nullnull,nullnullnull,,,,,,,61nullnull,,,1nullnull,,,,,,paycoin,paycoin
8,2009/01/11,nullnullnull,134.409nullnull,1nullnull,,,,,,,93nullnull,,,1nullnull,,,,,,paycoin,paycoin
9,2009/01/12,7nullnull,153.372nullnull,7nullnull,,,,,,,102nullnull,,,1nullnull,,,,,,paycoin,paycoin
10,2009/01/13,nullnullnull,134.667nullnull,10nullnull,,,,,,,123nullnull,,,1nullnull,,,,,,paycoin,paycoin
11,2009/01/14,1nullnull,138.194nullnull,20nullnull,,,,,,,133nullnull,,,1nullnull,,,,,,paycoin,paycoin
12,2009/01/15,8nullnull,157.579nullnull,18nullnull,,,,,,,140nullnull,,,1nullnull,,,,,,paycoin,paycoin
13,2009/01/16,2nullnull,139.87nullnull,16nullnull,,,,,,,114nullnull,,,1nullnull,,,,,,paycoin,paycoin
14,2009/01/17,nullnullnull,134.853nullnull,18nullnull,,,,,,,109nullnull,,,1nullnull,,,,,,paycoin,paycoin
15,2009/01/18,1nullnull,138.944nullnull,16nullnull,,,,,,,111nullnull,,,1nullnull,,,,,,paycoin,paycoin
16,2009/01/19,2nullnull,151.896nullnull,22nullnull,,,,,,,133nullnull,,,1nullnull,,,,,,paycoin,paycoin
17,2009/01/20,1nullnull,143.728nullnull,21nullnull,,,,,,,123nullnull,,,1nullnull,,,,,,paycoin,paycoin
