,date,sent_addresses,block_size,transactions,difficulty,median_transaction_value,top_100_percent,send_usd,active_addresses,fee_reward,market_cap,hashrate,median_transaction_size,av_transaction_value,mining_profitability,google_trends,av_transaction_size,confirmation_time,tweets,full_name,coin
0,2009/01/09,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
1,2009/01/10,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
2,2009/01/11,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
3,2009/01/12,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
4,2009/01/13,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
5,2009/01/14,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
6,2009/01/15,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
7,2009/01/16,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
8,2009/01/17,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
9,2009/01/18,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
10,2009/01/19,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
11,2009/01/20,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
12,2009/01/21,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
13,2009/01/22,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
14,2009/01/23,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
15,2009/01/24,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
16,2009/01/25,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
17,2009/01/26,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
18,2009/01/27,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
19,2009/01/28,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
20,2009/01/29,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
21,2009/01/30,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
22,2009/01/31,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
23,2009/02/01,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
24,2009/02/02,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
25,2009/02/03,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
26,2009/02/04,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
27,2009/02/05,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
28,2009/02/06,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
29,2009/02/07,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
30,2009/02/08,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
31,2009/02/09,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
32,2009/02/10,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
33,2009/02/11,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
34,2009/02/12,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
35,2009/02/13,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
36,2009/02/14,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
37,2009/02/15,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
38,2009/02/16,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
39,2009/02/17,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
40,2009/02/18,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
41,2009/02/19,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
42,2009/02/20,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
43,2009/02/21,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
44,2009/02/22,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
45,2009/02/23,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
46,2009/02/24,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
47,2009/02/25,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
48,2009/02/26,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
49,2009/02/27,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
50,2009/02/28,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
51,2009/03/01,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
52,2009/03/02,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
53,2009/03/03,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
54,2009/03/04,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
55,2009/03/05,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
56,2009/03/06,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
57,2009/03/07,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
58,2009/03/08,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
59,2009/03/09,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
60,2009/03/10,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
61,2009/03/11,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
62,2009/03/12,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
63,2009/03/13,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
64,2009/03/14,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
65,2009/03/15,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
66,2009/03/16,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
67,2009/03/17,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
68,2009/03/18,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
69,2009/03/19,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
70,2009/03/20,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
71,2009/03/21,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
72,2009/03/22,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
73,2009/03/23,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
74,2009/03/24,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
75,2009/03/25,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
76,2009/03/26,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
77,2009/03/27,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
78,2009/03/28,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
79,2009/03/29,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
80,2009/03/30,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
81,2009/03/31,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
82,2009/04/01,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
83,2009/04/02,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
84,2009/04/03,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
85,2009/04/04,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
86,2009/04/05,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
87,2009/04/06,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
88,2009/04/07,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
89,2009/04/08,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
90,2009/04/09,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
91,2009/04/10,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
92,2009/04/11,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
93,2009/04/12,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
94,2009/04/13,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
95,2009/04/14,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
96,2009/04/15,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
97,2009/04/16,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
98,2009/04/17,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
99,2009/04/18,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
100,2009/04/19,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
101,2009/04/20,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
102,2009/04/21,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
103,2009/04/22,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
104,2009/04/23,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
105,2009/04/24,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
106,2009/04/25,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
107,2009/04/26,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
108,2009/04/27,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
109,2009/04/28,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
110,2009/04/29,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
111,2009/04/30,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
112,2009/05/01,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
113,2009/05/02,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
114,2009/05/03,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
115,2009/05/04,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
116,2009/05/05,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
117,2009/05/06,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
118,2009/05/07,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
119,2009/05/08,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
120,2009/05/09,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
121,2009/05/10,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
122,2009/05/11,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
123,2009/05/12,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
124,2009/05/13,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
125,2009/05/14,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
126,2009/05/15,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
127,2009/05/16,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
128,2009/05/17,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
129,2009/05/18,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
130,2009/05/19,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
