,date,transactions,sent_addresses,mining_profitability,send_usd,median_transaction_size,active_addresses,difficulty,hashrate,fee_reward,block_size,market_cap,confirmation_time,av_transaction_value,av_transaction_size,median_transaction_value,tweets,top_100_percent,google_trends,full_name,coin
0,2009/01/03,,,,,,,,,,,,,,,,,,,polcoin,polcoin
1,2009/01/04,,,,,,,,,,,,,,,,,,,polcoin,polcoin
2,2009/01/05,,,,,,,,,,,,,,,,,,,polcoin,polcoin
3,2009/01/06,,,,,,,,,,,,,,,,,,,polcoin,polcoin
4,2009/01/07,,,,,,,,,,,,,,,,,,,polcoin,polcoin
5,2009/01/08,,,,,,,,,,,,,,,,,,,polcoin,polcoin
6,2009/01/09,,,,,,,,,,,,,,,,,,,polcoin,polcoin
7,2009/01/10,,,,,,,,,,,,,,,,,,,polcoin,polcoin
8,2009/01/11,,,,,,,,,,,,,,,,,,,polcoin,polcoin
9,2009/01/12,,,,,,,,,,,,,,,,,,,polcoin,polcoin
10,2009/01/13,,,,,,,,,,,,,,,,,,,polcoin,polcoin
11,2009/01/14,,,,,,,,,,,,,,,,,,,polcoin,polcoin
12,2009/01/15,,,,,,,,,,,,,,,,,,,polcoin,polcoin
13,2009/01/16,,,,,,,,,,,,,,,,,,,polcoin,polcoin
14,2009/01/17,,,,,,,,,,,,,,,,,,,polcoin,polcoin
15,2009/01/18,,,,,,,,,,,,,,,,,,,polcoin,polcoin
16,2009/01/19,,,,,,,,,,,,,,,,,,,polcoin,polcoin
17,2009/01/20,,,,,,,,,,,,,,,,,,,polcoin,polcoin
18,2009/01/21,,,,,,,,,,,,,,,,,,,polcoin,polcoin
19,2009/01/22,,,,,,,,,,,,,,,,,,,polcoin,polcoin
20,2009/01/23,,,,,,,,,,,,,,,,,,,polcoin,polcoin
21,2009/01/24,,,,,,,,,,,,,,,,,,,polcoin,polcoin
22,2009/01/25,,,,,,,,,,,,,,,,,,,polcoin,polcoin
23,2009/01/26,,,,,,,,,,,,,,,,,,,polcoin,polcoin
24,2009/01/27,,,,,,,,,,,,,,,,,,,polcoin,polcoin
25,2009/01/28,,,,,,,,,,,,,,,,,,,polcoin,polcoin
26,2009/01/29,,,,,,,,,,,,,,,,,,,polcoin,polcoin
27,2009/01/30,,,,,,,,,,,,,,,,,,,polcoin,polcoin
28,2009/01/31,,,,,,,,,,,,,,,,,,,polcoin,polcoin
29,2009/02/01,,,,,,,,,,,,,,,,,,,polcoin,polcoin
30,2009/02/02,,,,,,,,,,,,,,,,,,,polcoin,polcoin
31,2009/02/03,,,,,,,,,,,,,,,,,,,polcoin,polcoin
32,2009/02/04,,,,,,,,,,,,,,,,,,,polcoin,polcoin
33,2009/02/05,,,,,,,,,,,,,,,,,,,polcoin,polcoin
34,2009/02/06,,,,,,,,,,,,,,,,,,,polcoin,polcoin
35,2009/02/07,,,,,,,,,,,,,,,,,,,polcoin,polcoin
36,2009/02/08,,,,,,,,,,,,,,,,,,,polcoin,polcoin
37,2009/02/09,,,,,,,,,,,,,,,,,,,polcoin,polcoin
38,2009/02/10,,,,,,,,,,,,,,,,,,,polcoin,polcoin
39,2009/02/11,,,,,,,,,,,,,,,,,,,polcoin,polcoin
40,2009/02/12,,,,,,,,,,,,,,,,,,,polcoin,polcoin
41,2009/02/13,,,,,,,,,,,,,,,,,,,polcoin,polcoin
42,2009/02/14,,,,,,,,,,,,,,,,,,,polcoin,polcoin
43,2009/02/15,,,,,,,,,,,,,,,,,,,polcoin,polcoin
44,2009/02/16,,,,,,,,,,,,,,,,,,,polcoin,polcoin
45,2009/02/17,,,,,,,,,,,,,,,,,,,polcoin,polcoin
46,2009/02/18,,,,,,,,,,,,,,,,,,,polcoin,polcoin
47,2009/02/19,,,,,,,,,,,,,,,,,,,polcoin,polcoin
48,2009/02/20,,,,,,,,,,,,,,,,,,,polcoin,polcoin
49,2009/02/21,,,,,,,,,,,,,,,,,,,polcoin,polcoin
50,2009/02/22,,,,,,,,,,,,,,,,,,,polcoin,polcoin
51,2009/02/23,,,,,,,,,,,,,,,,,,,polcoin,polcoin
52,2009/02/24,,,,,,,,,,,,,,,,,,,polcoin,polcoin
53,2009/02/25,,,,,,,,,,,,,,,,,,,polcoin,polcoin
54,2009/02/26,,,,,,,,,,,,,,,,,,,polcoin,polcoin
55,2009/02/27,,,,,,,,,,,,,,,,,,,polcoin,polcoin
56,2009/02/28,,,,,,,,,,,,,,,,,,,polcoin,polcoin
57,2009/03/01,,,,,,,,,,,,,,,,,,,polcoin,polcoin
58,2009/03/02,,,,,,,,,,,,,,,,,,,polcoin,polcoin
59,2009/03/03,,,,,,,,,,,,,,,,,,,polcoin,polcoin
60,2009/03/04,,,,,,,,,,,,,,,,,,,polcoin,polcoin
61,2009/03/05,,,,,,,,,,,,,,,,,,,polcoin,polcoin
62,2009/03/06,,,,,,,,,,,,,,,,,,,polcoin,polcoin
63,2009/03/07,,,,,,,,,,,,,,,,,,,polcoin,polcoin
64,2009/03/08,,,,,,,,,,,,,,,,,,,polcoin,polcoin
65,2009/03/09,,,,,,,,,,,,,,,,,,,polcoin,polcoin
66,2009/03/10,,,,,,,,,,,,,,,,,,,polcoin,polcoin
67,2009/03/11,,,,,,,,,,,,,,,,,,,polcoin,polcoin
68,2009/03/12,,,,,,,,,,,,,,,,,,,polcoin,polcoin
69,2009/03/13,,,,,,,,,,,,,,,,,,,polcoin,polcoin
70,2009/03/14,,,,,,,,,,,,,,,,,,,polcoin,polcoin
71,2009/03/15,,,,,,,,,,,,,,,,,,,polcoin,polcoin
72,2009/03/16,,,,,,,,,,,,,,,,,,,polcoin,polcoin
73,2009/03/17,,,,,,,,,,,,,,,,,,,polcoin,polcoin
74,2009/03/18,,,,,,,,,,,,,,,,,,,polcoin,polcoin
75,2009/03/19,,,,,,,,,,,,,,,,,,,polcoin,polcoin
76,2009/03/20,,,,,,,,,,,,,,,,,,,polcoin,polcoin
77,2009/03/21,,,,,,,,,,,,,,,,,,,polcoin,polcoin
78,2009/03/22,,,,,,,,,,,,,,,,,,,polcoin,polcoin
79,2009/03/23,,,,,,,,,,,,,,,,,,,polcoin,polcoin
80,2009/03/24,,,,,,,,,,,,,,,,,,,polcoin,polcoin
81,2009/03/25,,,,,,,,,,,,,,,,,,,polcoin,polcoin
82,2009/03/26,,,,,,,,,,,,,,,,,,,polcoin,polcoin
83,2009/03/27,,,,,,,,,,,,,,,,,,,polcoin,polcoin
84,2009/03/28,,,,,,,,,,,,,,,,,,,polcoin,polcoin
85,2009/03/29,,,,,,,,,,,,,,,,,,,polcoin,polcoin
86,2009/03/30,,,,,,,,,,,,,,,,,,,polcoin,polcoin
87,2009/03/31,,,,,,,,,,,,,,,,,,,polcoin,polcoin
88,2009/04/01,,,,,,,,,,,,,,,,,,,polcoin,polcoin
89,2009/04/02,,,,,,,,,,,,,,,,,,,polcoin,polcoin
90,2009/04/03,,,,,,,,,,,,,,,,,,,polcoin,polcoin
91,2009/04/04,,,,,,,,,,,,,,,,,,,polcoin,polcoin
92,2009/04/05,,,,,,,,,,,,,,,,,,,polcoin,polcoin
93,2009/04/06,,,,,,,,,,,,,,,,,,,polcoin,polcoin
94,2009/04/07,,,,,,,,,,,,,,,,,,,polcoin,polcoin
95,2009/04/08,,,,,,,,,,,,,,,,,,,polcoin,polcoin
96,2009/04/09,,,,,,,,,,,,,,,,,,,polcoin,polcoin
97,2009/04/10,,,,,,,,,,,,,,,,,,,polcoin,polcoin
98,2009/04/11,,,,,,,,,,,,,,,,,,,polcoin,polcoin
99,2009/04/12,,,,,,,,,,,,,,,,,,,polcoin,polcoin
100,2009/04/13,,,,,,,,,,,,,,,,,,,polcoin,polcoin
101,2009/04/14,,,,,,,,,,,,,,,,,,,polcoin,polcoin
102,2009/04/15,,,,,,,,,,,,,,,,,,,polcoin,polcoin
103,2009/04/16,,,,,,,,,,,,,,,,,,,polcoin,polcoin
104,2009/04/17,,,,,,,,,,,,,,,,,,,polcoin,polcoin
105,2009/04/18,,,,,,,,,,,,,,,,,,,polcoin,polcoin
106,2009/04/19,,,,,,,,,,,,,,,,,,,polcoin,polcoin
107,2009/04/20,,,,,,,,,,,,,,,,,,,polcoin,polcoin
108,2009/04/21,,,,,,,,,,,,,,,,,,,polcoin,polcoin
109,2009/04/22,,,,,,,,,,,,,,,,,,,polcoin,polcoin
110,2009/04/23,,,,,,,,,,,,,,,,,,,polcoin,polcoin
111,2009/04/24,,,,,,,,,,,,,,,,,,,polcoin,polcoin
112,2009/04/25,,,,,,,,,,,,,,,,,,,polcoin,polcoin
113,2009/04/26,,,,,,,,,,,,,,,,,,,polcoin,polcoin
114,2009/04/27,,,,,,,,,,,,,,,,,,,polcoin,polcoin
115,2009/04/28,,,,,,,,,,,,,,,,,,,polcoin,polcoin
116,2009/04/29,,,,,,,,,,,,,,,,,,,polcoin,polcoin
117,2009/04/30,,,,,,,,,,,,,,,,,,,polcoin,polcoin
118,2009/05/01,,,,,,,,,,,,,,,,,,,polcoin,polcoin
119,2009/05/02,,,,,,,,,,,,,,,,,,,polcoin,polcoin
120,2009/05/03,,,,,,,,,,,,,,,,,,,polcoin,polcoin
121,2009/05/04,,,,,,,,,,,,,,,,,,,polcoin,polcoin
122,2009/05/05,,,,,,,,,,,,,,,,,,,polcoin,polcoin
123,2009/05/06,,,,,,,,,,,,,,,,,,,polcoin,polcoin
124,2009/05/07,,,,,,,,,,,,,,,,,,,polcoin,polcoin
125,2009/05/08,,,,,,,,,,,,,,,,,,,polcoin,polcoin
126,2009/05/09,,,,,,,,,,,,,,,,,,,polcoin,polcoin
127,2009/05/10,,,,,,,,,,,,,,,,,,,polcoin,polcoin
128,2009/05/11,,,,,,,,,,,,,,,,,,,polcoin,polcoin
129,2009/05/12,,,,,,,,,,,,,,,,,,,polcoin,polcoin
130,2009/05/13,,,,,,,,,,,,,,,,,,,polcoin,polcoin
131,2009/05/14,,,,,,,,,,,,,,,,,,,polcoin,polcoin
132,2009/05/15,,,,,,,,,,,,,,,,,,,polcoin,polcoin
133,2009/05/16,,,,,,,,,,,,,,,,,,,polcoin,polcoin
134,2009/05/17,,,,,,,,,,,,,,,,,,,polcoin,polcoin
135,2009/05/18,,,,,,,,,,,,,,,,,,,polcoin,polcoin
136,2009/05/19,,,,,,,,,,,,,,,,,,,polcoin,polcoin
137,2009/05/20,,,,,,,,,,,,,,,,,,,polcoin,polcoin
138,2009/05/21,,,,,,,,,,,,,,,,,,,polcoin,polcoin
139,2009/05/22,,,,,,,,,,,,,,,,,,,polcoin,polcoin
140,2009/05/23,,,,,,,,,,,,,,,,,,,polcoin,polcoin
141,2009/05/24,,,,,,,,,,,,,,,,,,,polcoin,polcoin
142,2009/05/25,,,,,,,,,,,,,,,,,,,polcoin,polcoin
143,2009/05/26,,,,,,,,,,,,,,,,,,,polcoin,polcoin
144,2009/05/27,,,,,,,,,,,,,,,,,,,polcoin,polcoin
145,2009/05/28,,,,,,,,,,,,,,,,,,,polcoin,polcoin
146,2009/05/29,,,,,,,,,,,,,,,,,,,polcoin,polcoin
147,2009/05/30,,,,,,,,,,,,,,,,,,,polcoin,polcoin
148,2009/05/31,,,,,,,,,,,,,,,,,,,polcoin,polcoin
149,2009/06/01,,,,,,,,,,,,,,,,,,,polcoin,polcoin
150,2009/06/02,,,,,,,,,,,,,,,,,,,polcoin,polcoin
151,2009/06/03,,,,,,,,,,,,,,,,,,,polcoin,polcoin
152,2009/06/04,,,,,,,,,,,,,,,,,,,polcoin,polcoin
153,2009/06/05,,,,,,,,,,,,,,,,,,,polcoin,polcoin
154,2009/06/06,,,,,,,,,,,,,,,,,,,polcoin,polcoin
155,2009/06/07,,,,,,,,,,,,,,,,,,,polcoin,polcoin
156,2009/06/08,,,,,,,,,,,,,,,,,,,polcoin,polcoin
157,2009/06/09,,,,,,,,,,,,,,,,,,,polcoin,polcoin
158,2009/06/10,,,,,,,,,,,,,,,,,,,polcoin,polcoin
159,2009/06/11,,,,,,,,,,,,,,,,,,,polcoin,polcoin
160,2009/06/12,,,,,,,,,,,,,,,,,,,polcoin,polcoin
161,2009/06/13,,,,,,,,,,,,,,,,,,,polcoin,polcoin
162,2009/06/14,,,,,,,,,,,,,,,,,,,polcoin,polcoin
163,2009/06/15,,,,,,,,,,,,,,,,,,,polcoin,polcoin
164,2009/06/16,,,,,,,,,,,,,,,,,,,polcoin,polcoin
165,2009/06/17,,,,,,,,,,,,,,,,,,,polcoin,polcoin
166,2009/06/18,,,,,,,,,,,,,,,,,,,polcoin,polcoin
167,2009/06/19,,,,,,,,,,,,,,,,,,,polcoin,polcoin
168,2009/06/20,,,,,,,,,,,,,,,,,,,polcoin,polcoin
169,2009/06/21,,,,,,,,,,,,,,,,,,,polcoin,polcoin
170,2009/06/22,,,,,,,,,,,,,,,,,,,polcoin,polcoin
171,2009/06/23,,,,,,,,,,,,,,,,,,,polcoin,polcoin
172,2009/06/24,,,,,,,,,,,,,,,,,,,polcoin,polcoin
173,2009/06/25,,,,,,,,,,,,,,,,,,,polcoin,polcoin
174,2009/06/26,,,,,,,,,,,,,,,,,,,polcoin,polcoin
175,2009/06/27,,,,,,,,,,,,,,,,,,,polcoin,polcoin
176,2009/06/28,,,,,,,,,,,,,,,,,,,polcoin,polcoin
177,2009/06/29,,,,,,,,,,,,,,,,,,,polcoin,polcoin
178,2009/06/30,,,,,,,,,,,,,,,,,,,polcoin,polcoin
179,2009/07/01,,,,,,,,,,,,,,,,,,,polcoin,polcoin
180,2009/07/02,,,,,,,,,,,,,,,,,,,polcoin,polcoin
181,2009/07/03,,,,,,,,,,,,,,,,,,,polcoin,polcoin
182,2009/07/04,,,,,,,,,,,,,,,,,,,polcoin,polcoin
183,2009/07/05,,,,,,,,,,,,,,,,,,,polcoin,polcoin
184,2009/07/06,,,,,,,,,,,,,,,,,,,polcoin,polcoin
185,2009/07/07,,,,,,,,,,,,,,,,,,,polcoin,polcoin
186,2009/07/08,,,,,,,,,,,,,,,,,,,polcoin,polcoin
187,2009/07/09,,,,,,,,,,,,,,,,,,,polcoin,polcoin
188,2009/07/10,,,,,,,,,,,,,,,,,,,polcoin,polcoin
189,2009/07/11,,,,,,,,,,,,,,,,,,,polcoin,polcoin
190,2009/07/12,,,,,,,,,,,,,,,,,,,polcoin,polcoin
191,2009/07/13,,,,,,,,,,,,,,,,,,,polcoin,polcoin
192,2009/07/14,,,,,,,,,,,,,,,,,,,polcoin,polcoin
193,2009/07/15,,,,,,,,,,,,,,,,,,,polcoin,polcoin
194,2009/07/16,,,,,,,,,,,,,,,,,,,polcoin,polcoin
195,2009/07/17,,,,,,,,,,,,,,,,,,,polcoin,polcoin
196,2009/07/18,,,,,,,,,,,,,,,,,,,polcoin,polcoin
197,2009/07/19,,,,,,,,,,,,,,,,,,,polcoin,polcoin
198,2009/07/20,,,,,,,,,,,,,,,,,,,polcoin,polcoin
199,2009/07/21,,,,,,,,,,,,,,,,,,,polcoin,polcoin
200,2009/07/22,,,,,,,,,,,,,,,,,,,polcoin,polcoin
201,2009/07/23,,,,,,,,,,,,,,,,,,,polcoin,polcoin
202,2009/07/24,,,,,,,,,,,,,,,,,,,polcoin,polcoin
