,transactions,top_100_percent,sent_addresses,difficulty,google_trends,median_transaction_size,av_transaction_size,mining_profitability,hashrate,fee_reward,date,tweets,median_transaction_value,active_addresses,block_size,confirmation_time,market_cap,send_usd,av_transaction_value,full_name,coin
0,,,,,,,,,,,2014/04/09,20,,,,,,,,potcoin,potcoin
1,,,,,,,,,,,2014/04/10,25,,,,,,,,potcoin,potcoin
2,,,,,,,,,,,2014/04/11,21,,,,,,,,potcoin,potcoin
3,,,,,,,,,,,2014/04/12,31,,,,,,,,potcoin,potcoin
4,,,,,,,,,,,2014/04/13,47,,,,,,,,potcoin,potcoin
5,,,,,,,,,,,2014/04/14,37,,,,,,,,potcoin,potcoin
6,,,,,,,,,,,2014/04/15,33,,,,,,,,potcoin,potcoin
7,,,,,,,,,,,2014/04/16,26,,,,,,,,potcoin,potcoin
8,,,,,,,,,,,2014/04/17,117,,,,,,,,potcoin,potcoin
9,,,,,,,,,,,2014/04/18,201,,,,,,,,potcoin,potcoin
10,,,,,,,,,,,2014/04/19,158,,,,,1233606,,,potcoin,potcoin
11,,,,,,,,,,,2014/04/20,160,,,,,972850,,,potcoin,potcoin
12,,,,,,,,,,,2014/04/21,150,,,,,711846,,,potcoin,potcoin
13,,,,,,,,,,,2014/04/22,30,,,,,681510,,,potcoin,potcoin
14,,,,,,,,,,,2014/04/23,21,,,,,541516,,,potcoin,potcoin
15,,,,,,,,,,,2014/04/24,21,,,,,499976,,,potcoin,potcoin
16,,,,,,,,,,,2014/04/25,24,,,,,476208,,,potcoin,potcoin
17,,,,,,,,,,,2014/04/26,23,,,,,438717,,,potcoin,potcoin
18,,,,,,,,,,,2014/04/27,51,,,,,460044,,,potcoin,potcoin
19,,,,,,,,,,,2014/04/28,37,,,,,456387,,,potcoin,potcoin
20,,,,,,,,,,,2014/04/29,29,,,,,443120,,,potcoin,potcoin
21,,,,,,,,,,,2014/04/30,23,,,,,439600,,,potcoin,potcoin
22,,,,,,,,,,,2014/05/01,29,,,,,416568,,,potcoin,potcoin
23,,,,,,,,,,,2014/05/02,12,,,,,398132,,,potcoin,potcoin
24,,,,,,,,,,,2014/05/03,22,,,,,362473,,,potcoin,potcoin
25,,,,,,,,,,,2014/05/04,30,,,,,313608,,,potcoin,potcoin
26,,,,,,,,,,,2014/05/05,29,,,,,330994,,,potcoin,potcoin
27,,,,,,,,,,,2014/05/06,19,,,,,323583,,,potcoin,potcoin
28,,,,,,,,,,,2014/05/07,18,,,,,353627,,,potcoin,potcoin
29,,,,,,,,,,,2014/05/08,27,,,,,347290,,,potcoin,potcoin
30,,,,,,,,,,,2014/05/09,43,,,,,334857,,,potcoin,potcoin
31,,,,,,,,,,,2014/05/10,56,,,,,321495,,,potcoin,potcoin
32,,,,,,,,,,,2014/05/11,33,,,,,283489,,,potcoin,potcoin
33,,,,,,,,,,,2014/05/12,32,,,,,266775,,,potcoin,potcoin
34,,,,,,,,,,,2014/05/13,41,,,,,276709,,,potcoin,potcoin
35,,,,,,,,,,,2014/05/14,66,,,,,null,,,potcoin,potcoin
36,,,,,,,,,,,2014/05/15,95,,,,,301267,,,potcoin,potcoin
37,,,,,,,,,,,2014/05/16,26,,,,,300825,,,potcoin,potcoin
38,,,,,,,,,,,2014/05/17,15,,,,,301968,,,potcoin,potcoin
39,,,,,,,,,,,2014/05/18,111,,,,,291099,,,potcoin,potcoin
40,,,,,,,,,,,2014/05/19,37,,,,,293418,,,potcoin,potcoin
41,,,,,,,,,,,2014/05/20,21,,,,,297803,,,potcoin,potcoin
42,,,,,,,,,,,2014/05/21,31,,,,,264927,,,potcoin,potcoin
43,,,,,,,,,,,2014/05/22,68,,,,,260503,,,potcoin,potcoin
44,,,,,,,,,,,2014/05/23,63,,,,,255393,,,potcoin,potcoin
45,,,,,,,,,,,2014/05/24,32,,,,,226250,,,potcoin,potcoin
46,,,,,,,,,,,2014/05/25,52,,,,,305226,,,potcoin,potcoin
47,,,,,,,,,,,2014/05/26,174,,,,,640210,,,potcoin,potcoin
48,,,,,,,,,,,2014/05/27,125,,,,,693714,,,potcoin,potcoin
49,,,,,,,,,,,2014/05/28,100,,,,,425077,,,potcoin,potcoin
50,,,,,,,,,,,2014/05/29,73,,,,,418072,,,potcoin,potcoin
51,,,,,,,,,,,2014/05/30,127,,,,,468026,,,potcoin,potcoin
52,,,,,,,,,,,2014/05/31,91,,,,,653348,,,potcoin,potcoin
53,,,,,,,,,,,2014/06/01,56,,,,,707397,,,potcoin,potcoin
54,,,,,,,,,,,2014/06/02,48,,,,,613221,,,potcoin,potcoin
55,,,,,,,,,,,2014/06/03,47,,,,,641122,,,potcoin,potcoin
56,,,,,,,,,,,2014/06/04,68,,,,,648110,,,potcoin,potcoin
57,,,,,,,,,,,2014/06/05,77,,,,,717253,,,potcoin,potcoin
58,,,,,,,,,,,2014/06/06,56,,,,,790633,,,potcoin,potcoin
59,,,,,,,,,,,2014/06/07,63,,,,,821089,,,potcoin,potcoin
60,,,,,,,,,,,2014/06/08,91,,,,,987785,,,potcoin,potcoin
61,,,,,,,,,,,2014/06/09,51,,,,,1018796,,,potcoin,potcoin
62,,,,,,,,,,,2014/06/10,68,,,,,1004612,,,potcoin,potcoin
63,,,,,,,,,,,2014/06/11,46,,,,,897043,,,potcoin,potcoin
64,,,,,,,,,,,2014/06/12,64,,,,,864012,,,potcoin,potcoin
65,,,,,,,,,,,2014/06/13,123,,,,,966780,,,potcoin,potcoin
66,,,,,,,,,,,2014/06/14,188,,,,,1046332,,,potcoin,potcoin
