,date,block_size,transactions,market_cap,difficulty,median_transaction_value,active_addresses,confirmation_time,av_transaction_size,av_transaction_value,send_usd,median_transaction_size,fee_reward,top_100_percent,hashrate,mining_profitability,google_trends,sent_addresses,tweets,full_name,coin
0,2009/01/03,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
1,2009/01/04,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
2,2009/01/05,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
3,2009/01/06,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
4,2009/01/07,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
5,2009/01/08,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
6,2009/01/09,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
7,2009/01/10,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
8,2009/01/11,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
9,2009/01/12,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
10,2009/01/13,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
11,2009/01/14,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
12,2009/01/15,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
13,2009/01/16,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
14,2009/01/17,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
15,2009/01/18,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
16,2009/01/19,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
17,2009/01/20,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
18,2009/01/21,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
19,2009/01/22,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
20,2009/01/23,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
21,2009/01/24,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
22,2009/01/25,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
23,2009/01/26,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
24,2009/01/27,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
25,2009/01/28,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
26,2009/01/29,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
27,2009/01/30,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
28,2009/01/31,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
29,2009/02/01,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
30,2009/02/02,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
31,2009/02/03,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
32,2009/02/04,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
33,2009/02/05,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
34,2009/02/06,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
35,2009/02/07,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
36,2009/02/08,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
37,2009/02/09,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
38,2009/02/10,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
39,2009/02/11,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
40,2009/02/12,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
41,2009/02/13,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
42,2009/02/14,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
43,2009/02/15,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
44,2009/02/16,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
45,2009/02/17,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
46,2009/02/18,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
47,2009/02/19,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
48,2009/02/20,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
49,2009/02/21,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
50,2009/02/22,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
51,2009/02/23,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
52,2009/02/24,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
53,2009/02/25,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
54,2009/02/26,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
55,2009/02/27,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
56,2009/02/28,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
57,2009/03/01,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
58,2009/03/02,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
59,2009/03/03,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
60,2009/03/04,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
61,2009/03/05,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
62,2009/03/06,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
63,2009/03/07,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
64,2009/03/08,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
65,2009/03/09,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
66,2009/03/10,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
67,2009/03/11,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
68,2009/03/12,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
69,2009/03/13,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
70,2009/03/14,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
71,2009/03/15,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
72,2009/03/16,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
73,2009/03/17,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
74,2009/03/18,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
75,2009/03/19,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
76,2009/03/20,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
77,2009/03/21,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
78,2009/03/22,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
79,2009/03/23,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
80,2009/03/24,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
81,2009/03/25,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
82,2009/03/26,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
83,2009/03/27,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
84,2009/03/28,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
85,2009/03/29,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
86,2009/03/30,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
87,2009/03/31,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
88,2009/04/01,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
89,2009/04/02,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
90,2009/04/03,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
91,2009/04/04,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
92,2009/04/05,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
93,2009/04/06,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
94,2009/04/07,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
95,2009/04/08,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
96,2009/04/09,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
97,2009/04/10,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
98,2009/04/11,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
99,2009/04/12,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
100,2009/04/13,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
101,2009/04/14,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
102,2009/04/15,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
103,2009/04/16,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
104,2009/04/17,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
105,2009/04/18,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
106,2009/04/19,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
107,2009/04/20,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
108,2009/04/21,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
109,2009/04/22,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
110,2009/04/23,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
111,2009/04/24,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
112,2009/04/25,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
113,2009/04/26,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
114,2009/04/27,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
115,2009/04/28,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
116,2009/04/29,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
117,2009/04/30,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
118,2009/05/01,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
119,2009/05/02,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
120,2009/05/03,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
121,2009/05/04,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
122,2009/05/05,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
123,2009/05/06,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
124,2009/05/07,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
125,2009/05/08,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
126,2009/05/09,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
127,2009/05/10,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
128,2009/05/11,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
129,2009/05/12,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
130,2009/05/13,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
131,2009/05/14,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
132,2009/05/15,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
133,2009/05/16,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
134,2009/05/17,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
135,2009/05/18,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
136,2009/05/19,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
137,2009/05/20,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
138,2009/05/21,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
139,2009/05/22,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
140,2009/05/23,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
141,2009/05/24,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
142,2009/05/25,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
143,2009/05/26,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
144,2009/05/27,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
145,2009/05/28,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
146,2009/05/29,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
147,2009/05/30,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
148,2009/05/31,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
149,2009/06/01,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
150,2009/06/02,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
151,2009/06/03,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
152,2009/06/04,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
153,2009/06/05,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
154,2009/06/06,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
155,2009/06/07,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
156,2009/06/08,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
157,2009/06/09,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
158,2009/06/10,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
159,2009/06/11,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
160,2009/06/12,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
161,2009/06/13,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
162,2009/06/14,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
163,2009/06/15,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
164,2009/06/16,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
165,2009/06/17,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
166,2009/06/18,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
167,2009/06/19,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
168,2009/06/20,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
169,2009/06/21,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
170,2009/06/22,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
171,2009/06/23,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
172,2009/06/24,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
173,2009/06/25,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
174,2009/06/26,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
175,2009/06/27,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
176,2009/06/28,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
177,2009/06/29,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
178,2009/06/30,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
179,2009/07/01,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
180,2009/07/02,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
181,2009/07/03,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
182,2009/07/04,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
183,2009/07/05,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
184,2009/07/06,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
185,2009/07/07,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
186,2009/07/08,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
187,2009/07/09,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
188,2009/07/10,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
189,2009/07/11,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
190,2009/07/12,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
191,2009/07/13,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
192,2009/07/14,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
193,2009/07/15,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
194,2009/07/16,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
195,2009/07/17,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
196,2009/07/18,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
197,2009/07/19,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
198,2009/07/20,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
199,2009/07/21,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
200,2009/07/22,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
201,2009/07/23,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
202,2009/07/24,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
203,2009/07/25,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
204,2009/07/26,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
205,2009/07/27,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
206,2009/07/28,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
207,2009/07/29,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
208,2009/07/30,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
209,2009/07/31,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
210,2009/08/01,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
211,2009/08/02,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
212,2009/08/03,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
213,2009/08/04,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
214,2009/08/05,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
215,2009/08/06,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
216,2009/08/07,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
217,2009/08/08,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
218,2009/08/09,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
219,2009/08/10,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
220,2009/08/11,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
221,2009/08/12,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
222,2009/08/13,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
223,2009/08/14,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
224,2009/08/15,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
225,2009/08/16,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
226,2009/08/17,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
227,2009/08/18,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
228,2009/08/19,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
229,2009/08/20,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
230,2009/08/21,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
231,2009/08/22,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
232,2009/08/23,,,,,,,,,,,,,,,,,,,quebecoin,quebecoin
