,date,block_size,sent_addresses,hashrate,confirmation_time,median_transaction_value,google_trends,transactions,send_usd,mining_profitability,av_transaction_size,difficulty,market_cap,active_addresses,tweets,top_100_percent,fee_reward,av_transaction_value,median_transaction_size,full_name,coin
0,2014/01/21,175,,null,1440,,,null,,,,0.000244,,null,,null,,,,reddcoin,rdd
1,2014/01/22,null,,null,null,,,null,,,,null,,null,,null,,,,reddcoin,rdd
2,2014/01/23,null,,null,null,,,null,,,,null,,null,,null,,,,reddcoin,rdd
3,2014/01/24,null,,null,null,,,null,,,,null,,null,,null,,,,reddcoin,rdd
4,2014/01/25,null,,null,null,,,null,,,,null,,null,,null,,,,reddcoin,rdd
5,2014/01/26,105,6,1902,144,,,null,,,,0.000244,,10,,100,,,,reddcoin,rdd
6,2014/01/27,null,null,null,null,,,null,,,,null,,null,,null,,,,reddcoin,rdd
7,2014/01/28,null,null,null,null,,,null,,,,null,,null,,null,,,,reddcoin,rdd
8,2014/01/29,null,null,null,null,,,null,,,,null,,null,,null,,,,reddcoin,rdd
9,2014/01/30,null,null,null,null,,,null,,,,null,,null,,null,,,,reddcoin,rdd
10,2014/01/31,null,null,null,null,,,null,,,,null,,null,,null,,,,reddcoin,rdd
11,2014/02/01,null,null,null,null,,,null,,,,null,,null,,null,,,,reddcoin,rdd
12,2014/02/02,2289,5492,1578946939,2.637,,,5016,,,,19.925,,5741,,98.655,,,,reddcoin,rdd
13,2014/02/03,4658,24830,4770848954,0.976,,,23965,,,,60.293,,25624,,95.61,,,,reddcoin,rdd
14,2014/02/04,2708,12546,4323002738,1.044,,,12114,,,,60.365,,13364,,94.471,,,,reddcoin,rdd
15,2014/02/05,1529,6030,3151293055,1.053,,,5990,,,,45.261,,6698,,93.809,,,,reddcoin,rdd
16,2014/02/06,922.889,2607,932801420,1.205,,,2512,,,,14.837,,3213,,93.788,,,,reddcoin,rdd
17,2014/02/07,2306,15903,1103598679,0.766,,,15707,,,,13.272,,16476,,90.336,,,,reddcoin,rdd
18,2014/02/08,1350,5598,2375660553,1.009,,,5616,,,,29.449,,6183,,89.756,,,,reddcoin,rdd
19,2014/02/09,847.827,2846,1393198643,1.079,,,2708,,,,20.474,,3335,,89.449,,,,reddcoin,rdd
20,2014/02/10,1022,4145,947698513,1.05,,,3931,,,,13.707,,4705,,89.084,,,,reddcoin,rdd
21,2014/02/11,927.802,3916,836532140,1.025,,,3694,,,,11.894,,4492,,88.362,,,,reddcoin,rdd
22,2014/02/12,787.881,3124,817911426,0.978,,,2931,,,,11.267,,3627,,88.081,,,,reddcoin,rdd
23,2014/02/13,1004,4417,1336702686,0.978,,,3960,,,,17.366,,5014,,87.7,,,,reddcoin,rdd
24,2014/02/14,1002,4451,1224131196,0.949,,,4100,,,,16.922,,5120,,87.404,,,,reddcoin,rdd
25,2014/02/15,905.872,3435,1328592631,1.013,,,3656,,,,18.287,,4026,,86.864,,,,reddcoin,rdd
26,2014/02/16,1128,4941,842408973,1.043,,,4522,,,,12.391,,5762,,85.792,,,,reddcoin,rdd
27,2014/02/17,1403,6585,1111934804,0.984,,,6210,,,,14.918,,7552,,84.721,,,,reddcoin,rdd
28,2014/02/18,1855,7247,1963919541,0.93,,,6514,,,,25.086,,8754,,83.436,,,,reddcoin,rdd
29,2014/02/19,1894,8029,2496451498,0.961,,,7243,,,,33.15,,9476,,82.006,,,,reddcoin,rdd
30,2014/02/20,1487,6514,2450204554,1.036,,,5871,,,,33.907,,7795,,80.939,,,,reddcoin,rdd
31,2014/02/21,1269,5196,2294890371,1.001,,,4810,,,,32.196,,6264,,80.473,,,,reddcoin,rdd
32,2014/02/22,1184,4730,2005427025,1.071,,,4434,,,,28.732,,5827,,79.926,,,,reddcoin,rdd
33,2014/02/23,1354,5282,1602811854,1.018,,,4793,,,,23.209,,6431,,81.923,,,,reddcoin,rdd
34,2014/02/24,1744,7331,1316836828,1.032,,,6571,,,,18.959,,8478,,80.451,,,,reddcoin,rdd
35,2014/02/25,1766,5918,1135482549,1.058,,,5272,,,,16.135,,7523,,81.707,,,,reddcoin,rdd
36,2014/02/26,2336,9831,1073212383,1.001,,,8771,,,,15.096,,11492,,80.881,,,,reddcoin,rdd
37,2014/02/27,2652,11551,1112482587,0.989,,,10460,,,,15.307,,13273,,80.092,,,,reddcoin,rdd
38,2014/02/28,2305,9749,1206928494,0.957,,,8687,,,,16.376,,11324,,79.102,,,,reddcoin,rdd
39,2014/03/01,2466,8521,1216140816,0.994,,,7551,,,,16.787,,10287,,78.824,,,,reddcoin,rdd
40,2014/03/02,1963,7758,1405891967,0.986,,,6762,,,,18.981,,9111,,78.8,,,,reddcoin,rdd
41,2014/03/03,2272,6717,2005373979,0.942,,,5808,,,,26.526,,8433,,77.663,,,,reddcoin,rdd
42,2014/03/04,1660,5450,1526839314,1.142,,,4697,,,,22.042,,6788,,77.056,,,,reddcoin,rdd
43,2014/03/05,1796,6268,1211497336,1.135,,,5468,,,,17.229,,7470,,76.354,,,,reddcoin,rdd
44,2014/03/06,1134,2767,595583643,1.114,,,2219,,,,7.766,,3827,,75.445,,,,reddcoin,rdd
