,sent_addresses,transactions,hashrate,av_transaction_size,confirmation_time,block_size,median_transaction_size,median_transaction_value,av_transaction_value,top_100_percent,fee_reward,difficulty,google_trends,send_usd,mining_profitability,active_addresses,date,tweets,market_cap,full_name,coin
0,,,,,,,,,,,,,,,,,2014/05/15,6,1792035,savecoin,savecoin
1,,,,,,,,,,,,,,,,,2014/05/16,1,4009890,savecoin,savecoin
2,,,,,,,,,,,,,,,,,2014/05/17,4,null,savecoin,savecoin
3,,,,,,,,,,,,,,,,,2014/05/18,3,null,savecoin,savecoin
4,,,,,,,,,,,,,,,,,2014/05/19,1,null,savecoin,savecoin
5,,,,,,,,,,,,,,,,,2014/05/20,7,null,savecoin,savecoin
6,,,,,,,,,,,,,,,,,2014/05/21,5,null,savecoin,savecoin
7,,,,,,,,,,,,,,,,,2014/05/22,7,null,savecoin,savecoin
8,,,,,,,,,,,,,,,,,2014/05/23,null,null,savecoin,savecoin
9,,,,,,,,,,,,,,,,,2014/05/24,null,4023715,savecoin,savecoin
10,,,,,,,,,,,,,,,,,2014/05/25,null,2244452,savecoin,savecoin
11,,,,,,,,,,,,,,,,,2014/05/26,4,909439,savecoin,savecoin
12,,,,,,,,,,,,,,,,,2014/05/27,3,1212920,savecoin,savecoin
13,,,,,,,,,,,,,,,,,2014/05/28,6,1468140,savecoin,savecoin
14,,,,,,,,,,,,,,,,,2014/05/29,5,null,savecoin,savecoin
15,,,,,,,,,,,,,,,,,2014/05/30,5,null,savecoin,savecoin
16,,,,,,,,,,,,,,,,,2014/05/31,null,null,savecoin,savecoin
17,,,,,,,,,,,,,,,,,2014/06/01,1,null,savecoin,savecoin
18,,,,,,,,,,,,,,,,,2014/06/02,3,null,savecoin,savecoin
19,,,,,,,,,,,,,,,,,2014/06/03,5,null,savecoin,savecoin
20,,,,,,,,,,,,,,,,,2014/06/04,3,null,savecoin,savecoin
21,,,,,,,,,,,,,,,,,2014/06/05,3,null,savecoin,savecoin
