,date,market_cap,difficulty,active_addresses,sent_addresses,av_transaction_size,transactions,median_transaction_size,confirmation_time,top_100_percent,av_transaction_value,median_transaction_value,fee_reward,send_usd,google_trends,tweets,block_size,mining_profitability,hashrate,full_name,coin
0,2010/07/17,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
1,2010/07/18,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
2,2010/07/19,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
3,2010/07/20,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
4,2010/07/21,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
5,2010/07/22,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
6,2010/07/23,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
7,2010/07/24,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
8,2010/07/25,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
9,2010/07/26,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
10,2010/07/27,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
11,2010/07/28,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
12,2010/07/29,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
13,2010/07/30,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
14,2010/07/31,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
15,2010/08/01,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
16,2010/08/02,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
17,2010/08/03,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
18,2010/08/04,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
19,2010/08/05,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
20,2010/08/06,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
21,2010/08/07,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
22,2010/08/08,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
23,2010/08/09,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
24,2010/08/10,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
25,2010/08/11,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
26,2010/08/12,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
27,2010/08/13,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
28,2010/08/14,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
29,2010/08/15,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
30,2010/08/16,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
31,2010/08/17,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
32,2010/08/18,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
33,2010/08/19,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
34,2010/08/20,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
