,block_size,active_addresses,transactions,sent_addresses,fee_reward,difficulty,hashrate,send_usd,mining_profitability,median_transaction_size,confirmation_time,av_transaction_value,av_transaction_size,median_transaction_value,google_trends,top_100_percent,date,tweets,market_cap,full_name,coin
0,,,,,,,,,,,,,,,,,2014/05/12,8,60159,siacoin,siacoin
1,,,,,,,,,,,,,,,,,2014/05/13,27,80170,siacoin,siacoin
2,,,,,,,,,,,,,,,,,2014/05/14,22,158595,siacoin,siacoin
3,,,,,,,,,,,,,,,,,2014/05/15,8,153657,siacoin,siacoin
4,,,,,,,,,,,,,,,,,2014/05/16,6,155259,siacoin,siacoin
5,,,,,,,,,,,,,,,,,2014/05/17,16,123271,siacoin,siacoin
6,,,,,,,,,,,,,,,,,2014/05/18,12,105382,siacoin,siacoin
7,,,,,,,,,,,,,,,,,2014/05/19,null,95667,siacoin,siacoin
8,,,,,,,,,,,,,,,,,2014/05/20,3,106215,siacoin,siacoin
9,,,,,,,,,,,,,,,,,2014/05/21,9,104817,siacoin,siacoin
10,,,,,,,,,,,,,,,,,2014/05/22,4,117299,siacoin,siacoin
11,,,,,,,,,,,,,,,,,2014/05/23,7,114752,siacoin,siacoin
12,,,,,,,,,,,,,,,,,2014/05/24,10,88534,siacoin,siacoin
13,,,,,,,,,,,,,,,,,2014/05/25,4,114391,siacoin,siacoin
14,,,,,,,,,,,,,,,,,2014/05/26,16,134182,siacoin,siacoin
15,,,,,,,,,,,,,,,,,2014/05/27,16,162854,siacoin,siacoin
16,,,,,,,,,,,,,,,,,2014/05/28,77,252771,siacoin,siacoin
17,,,,,,,,,,,,,,,,,2014/05/29,152,403393,siacoin,siacoin
18,,,,,,,,,,,,,,,,,2014/05/30,24,308194,siacoin,siacoin
19,,,,,,,,,,,,,,,,,2014/05/31,18,344925,siacoin,siacoin
20,,,,,,,,,,,,,,,,,2014/06/01,12,341064,siacoin,siacoin
21,,,,,,,,,,,,,,,,,2014/06/02,16,357688,siacoin,siacoin
22,,,,,,,,,,,,,,,,,2014/06/03,20,368900,siacoin,siacoin
23,,,,,,,,,,,,,,,,,2014/06/04,19,334322,siacoin,siacoin
24,,,,,,,,,,,,,,,,,2014/06/05,7,359707,siacoin,siacoin
25,,,,,,,,,,,,,,,,,2014/06/06,38,381231,siacoin,siacoin
26,,,,,,,,,,,,,,,,,2014/06/07,23,437710,siacoin,siacoin
27,,,,,,,,,,,,,,,,,2014/06/08,53,612858,siacoin,siacoin
28,,,,,,,,,,,,,,,,,2014/06/09,89,629253,siacoin,siacoin
29,,,,,,,,,,,,,,,,,2014/06/10,208,600349,siacoin,siacoin
30,,,,,,,,,,,,,,,,,2014/06/11,112,720014,siacoin,siacoin
31,,,,,,,,,,,,,,,,,2014/06/12,222,1033410,siacoin,siacoin
32,,,,,,,,,,,,,,,,,2014/06/13,187,1182518,siacoin,siacoin
33,,,,,,,,,,,,,,,,,2014/06/14,180,1547206,siacoin,siacoin
34,,,,,,,,,,,,,,,,,2014/06/15,67,1084611,siacoin,siacoin
35,,,,,,,,,,,,,,,,,2014/06/16,101,1016819,siacoin,siacoin
36,,,,,,,,,,,,,,,,,2014/06/17,120,1084950,siacoin,siacoin
37,,,,,,,,,,,,,,,,,2014/06/18,53,1044036,siacoin,siacoin
38,,,,,,,,,,,,,,,,,2014/06/19,45,1031421,siacoin,siacoin
39,,,,,,,,,,,,,,,,,2014/06/20,27,958366,siacoin,siacoin
40,,,,,,,,,,,,,,,,,2014/06/21,52,827661,siacoin,siacoin
41,,,,,,,,,,,,,,,,,2014/06/22,38,662108,siacoin,siacoin
42,,,,,,,,,,,,,,,,,2014/06/23,29,513894,siacoin,siacoin
43,,,,,,,,,,,,,,,,,2014/06/24,135,296260,siacoin,siacoin
44,,,,,,,,,,,,,,,,,2014/06/25,20,194590,siacoin,siacoin
45,,,,,,,,,,,,,,,,,2014/06/26,18,228066,siacoin,siacoin
46,,,,,,,,,,,,,,,,,2014/06/27,2,203600,siacoin,siacoin
47,,,,,,,,,,,,,,,,,2014/06/28,12,201665,siacoin,siacoin
48,,,,,,,,,,,,,,,,,2014/06/29,null,200939,siacoin,siacoin
49,,,,,,,,,,,,,,,,,2014/06/30,12,171838,siacoin,siacoin
50,,,,,,,,,,,,,,,,,2014/07/01,4,173033,siacoin,siacoin
51,,,,,,,,,,,,,,,,,2014/07/02,1,170539,siacoin,siacoin
52,,,,,,,,,,,,,,,,,2014/07/03,1,121009,siacoin,siacoin
53,,,,,,,,,,,,,,,,,2014/07/04,6,156340,siacoin,siacoin
54,,,,,,,,,,,,,,,,,2014/07/05,null,164996,siacoin,siacoin
55,,,,,,,,,,,,,,,,,2014/07/06,3,138492,siacoin,siacoin
56,,,,,,,,,,,,,,,,,2014/07/07,3,129802,siacoin,siacoin
57,,,,,,,,,,,,,,,,,2014/07/08,4,120423,siacoin,siacoin
58,,,,,,,,,,,,,,,,,2014/07/09,6,113749,siacoin,siacoin
59,,,,,,,,,,,,,,,,,2014/07/10,5,107614,siacoin,siacoin
60,,,,,,,,,,,,,,,,,2014/07/11,7,105781,siacoin,siacoin
61,,,,,,,,,,,,,,,,,2014/07/12,1,132354,siacoin,siacoin
62,,,,,,,,,,,,,,,,,2014/07/13,1,111303,siacoin,siacoin
63,,,,,,,,,,,,,,,,,2014/07/14,7,110741,siacoin,siacoin
64,,,,,,,,,,,,,,,,,2014/07/15,1,106033,siacoin,siacoin
65,,,,,,,,,,,,,,,,,2014/07/16,12,98996,siacoin,siacoin
66,,,,,,,,,,,,,,,,,2014/07/17,null,null,siacoin,siacoin
67,,,,,,,,,,,,,,,,,2014/07/18,1,115623,siacoin,siacoin
68,,,,,,,,,,,,,,,,,2014/07/19,null,,siacoin,siacoin
69,,,,,,,,,,,,,,,,,2014/07/20,1,,siacoin,siacoin
70,,,,,,,,,,,,,,,,,2014/07/21,5,,siacoin,siacoin
71,,,,,,,,,,,,,,,,,2014/07/22,null,,siacoin,siacoin
72,,,,,,,,,,,,,,,,,2014/07/23,null,,siacoin,siacoin
73,,,,,,,,,,,,,,,,,2014/07/24,4,,siacoin,siacoin
74,,,,,,,,,,,,,,,,,2014/07/25,null,,siacoin,siacoin
75,,,,,,,,,,,,,,,,,2014/07/26,2,,siacoin,siacoin
76,,,,,,,,,,,,,,,,,2014/07/27,null,,siacoin,siacoin
77,,,,,,,,,,,,,,,,,2014/07/28,null,,siacoin,siacoin
78,,,,,,,,,,,,,,,,,2014/07/29,9,,siacoin,siacoin
79,,,,,,,,,,,,,,,,,2014/07/30,18,,siacoin,siacoin
80,,,,,,,,,,,,,,,,,2014/07/31,7,,siacoin,siacoin
81,,,,,,,,,,,,,,,,,2014/08/01,2,,siacoin,siacoin
82,,,,,,,,,,,,,,,,,2014/08/02,null,,siacoin,siacoin
83,,,,,,,,,,,,,,,,,2014/08/03,null,,siacoin,siacoin
84,,,,,,,,,,,,,,,,,2014/08/04,1,,siacoin,siacoin
85,,,,,,,,,,,,,,,,,2014/08/05,null,,siacoin,siacoin
86,,,,,,,,,,,,,,,,,2014/08/06,6,,siacoin,siacoin
87,,,,,,,,,,,,,,,,,2014/08/07,3,,siacoin,siacoin
88,,,,,,,,,,,,,,,,,2014/08/08,1,,siacoin,siacoin
89,,,,,,,,,,,,,,,,,2014/08/09,null,,siacoin,siacoin
90,,,,,,,,,,,,,,,,,2014/08/10,2,,siacoin,siacoin
91,,,,,,,,,,,,,,,,,2014/08/11,6,,siacoin,siacoin
92,,,,,,,,,,,,,,,,,2014/08/12,10,,siacoin,siacoin
93,,,,,,,,,,,,,,,,,2014/08/13,3,,siacoin,siacoin
94,,,,,,,,,,,,,,,,,2014/08/14,50,,siacoin,siacoin
95,,,,,,,,,,,,,,,,,2014/08/15,52,,siacoin,siacoin
96,,,,,,,,,,,,,,,,,2014/08/16,11,,siacoin,siacoin
97,,,,,,,,,,,,,,,,,2014/08/17,4,,siacoin,siacoin
98,,,,,,,,,,,,,,,,,2014/08/18,13,,siacoin,siacoin
99,,,,,,,,,,,,,,,,,2014/08/19,null,,siacoin,siacoin
100,,,,,,,,,,,,,,,,,2014/08/20,10,,siacoin,siacoin
101,,,,,,,,,,,,,,,,,2014/08/21,2,,siacoin,siacoin
102,,,,,,,,,,,,,,,,,2014/08/22,null,,siacoin,siacoin
103,,,,,,,,,,,,,,,,,2014/08/23,null,,siacoin,siacoin
104,,,,,,,,,,,,,,,,,2014/08/24,7,,siacoin,siacoin
105,,,,,,,,,,,,,,,,,2014/08/25,18,,siacoin,siacoin
106,,,,,,,,,,,,,,,,,2014/08/26,13,,siacoin,siacoin
107,,,,,,,,,,,,,,,,,2014/08/27,7,,siacoin,siacoin
108,,,,,,,,,,,,,,,,,2014/08/28,3,,siacoin,siacoin
109,,,,,,,,,,,,,,,,,2014/08/29,12,,siacoin,siacoin
110,,,,,,,,,,,,,,,,,2014/08/30,null,,siacoin,siacoin
111,,,,,,,,,,,,,,,,,2014/08/31,null,,siacoin,siacoin
112,,,,,,,,,,,,,,,,,2014/09/01,6,,siacoin,siacoin
113,,,,,,,,,,,,,,,,,2014/09/02,12,,siacoin,siacoin
114,,,,,,,,,,,,,,,,,2014/09/03,5,,siacoin,siacoin
115,,,,,,,,,,,,,,,,,2014/09/04,null,,siacoin,siacoin
116,,,,,,,,,,,,,,,,,2014/09/05,5,,siacoin,siacoin
117,,,,,,,,,,,,,,,,,2014/09/06,7,,siacoin,siacoin
118,,,,,,,,,,,,,,,,,2014/09/07,2,,siacoin,siacoin
119,,,,,,,,,,,,,,,,,2014/09/08,3,,siacoin,siacoin
120,,,,,,,,,,,,,,,,,2014/09/09,10,,siacoin,siacoin
121,,,,,,,,,,,,,,,,,2014/09/10,1,,siacoin,siacoin
122,,,,,,,,,,,,,,,,,2014/09/11,4,,siacoin,siacoin
123,,,,,,,,,,,,,,,,,2014/09/12,null,,siacoin,siacoin
124,,,,,,,,,,,,,,,,,2014/09/13,1,,siacoin,siacoin
125,,,,,,,,,,,,,,,,,2014/09/14,2,,siacoin,siacoin
126,,,,,,,,,,,,,,,,,2014/09/15,11,,siacoin,siacoin
127,,,,,,,,,,,,,,,,,2014/09/16,null,,siacoin,siacoin
128,,,,,,,,,,,,,,,,,2014/09/17,4,,siacoin,siacoin
129,,,,,,,,,,,,,,,,,2014/09/18,null,,siacoin,siacoin
130,,,,,,,,,,,,,,,,,2014/09/19,2,,siacoin,siacoin
131,,,,,,,,,,,,,,,,,2014/09/20,2,,siacoin,siacoin
132,,,,,,,,,,,,,,,,,2014/09/21,5,,siacoin,siacoin
133,,,,,,,,,,,,,,,,,2014/09/22,null,,siacoin,siacoin
134,,,,,,,,,,,,,,,,,2014/09/23,1,,siacoin,siacoin
135,,,,,,,,,,,,,,,,,2014/09/24,2,,siacoin,siacoin
136,,,,,,,,,,,,,,,,,2014/09/25,null,,siacoin,siacoin
137,,,,,,,,,,,,,,,,,2014/09/26,8,,siacoin,siacoin
138,,,,,,,,,,,,,,,,,2014/09/27,null,,siacoin,siacoin
139,,,,,,,,,,,,,,,,,2014/09/28,6,,siacoin,siacoin
140,,,,,,,,,,,,,,,,,2014/09/29,2,,siacoin,siacoin
141,,,,,,,,,,,,,,,,,2014/09/30,null,,siacoin,siacoin
142,,,,,,,,,,,,,,,,,2014/10/01,null,,siacoin,siacoin
143,,,,,,,,,,,,,,,,,2014/10/02,null,,siacoin,siacoin
144,,,,,,,,,,,,,,,,,2014/10/03,null,,siacoin,siacoin
145,,,,,,,,,,,,,,,,,2014/10/04,2,,siacoin,siacoin
146,,,,,,,,,,,,,,,,,2014/10/05,3,,siacoin,siacoin
147,,,,,,,,,,,,,,,,,2014/10/06,null,,siacoin,siacoin
148,,,,,,,,,,,,,,,,,2014/10/07,null,,siacoin,siacoin
149,,,,,,,,,,,,,,,,,2014/10/08,1,,siacoin,siacoin
150,,,,,,,,,,,,,,,,,2014/10/09,null,,siacoin,siacoin
151,,,,,,,,,,,,,,,,,2014/10/10,null,,siacoin,siacoin
152,,,,,,,,,,,,,,,,,2014/10/11,null,,siacoin,siacoin
153,,,,,,,,,,,,,,,,,2014/10/12,null,,siacoin,siacoin
154,,,,,,,,,,,,,,,,,2014/10/13,3,,siacoin,siacoin
155,,,,,,,,,,,,,,,,,2014/10/14,1,,siacoin,siacoin
156,,,,,,,,,,,,,,,,,2014/10/15,5,,siacoin,siacoin
157,,,,,,,,,,,,,,,,,2014/10/16,2,,siacoin,siacoin
158,,,,,,,,,,,,,,,,,2014/10/17,null,,siacoin,siacoin
159,,,,,,,,,,,,,,,,,2014/10/18,6,,siacoin,siacoin
160,,,,,,,,,,,,,,,,,2014/10/19,1,,siacoin,siacoin
161,,,,,,,,,,,,,,,,,2014/10/20,null,,siacoin,siacoin
162,,,,,,,,,,,,,,,,,2014/10/21,null,,siacoin,siacoin
163,,,,,,,,,,,,,,,,,2014/10/22,null,,siacoin,siacoin
164,,,,,,,,,,,,,,,,,2014/10/23,3,,siacoin,siacoin
165,,,,,,,,,,,,,,,,,2014/10/24,null,,siacoin,siacoin
166,,,,,,,,,,,,,,,,,2014/10/25,1,,siacoin,siacoin
167,,,,,,,,,,,,,,,,,2014/10/26,null,,siacoin,siacoin
168,,,,,,,,,,,,,,,,,2014/10/27,null,,siacoin,siacoin
169,,,,,,,,,,,,,,,,,2014/10/28,null,,siacoin,siacoin
170,,,,,,,,,,,,,,,,,2014/10/29,null,,siacoin,siacoin
171,,,,,,,,,,,,,,,,,2014/10/30,null,,siacoin,siacoin
172,,,,,,,,,,,,,,,,,2014/10/31,2,,siacoin,siacoin
173,,,,,,,,,,,,,,,,,2014/11/01,null,,siacoin,siacoin
174,,,,,,,,,,,,,,,,,2014/11/02,3,,siacoin,siacoin
175,,,,,,,,,,,,,,,,,2014/11/03,null,,siacoin,siacoin
176,,,,,,,,,,,,,,,,,2014/11/04,null,,siacoin,siacoin
177,,,,,,,,,,,,,,,,,2014/11/05,null,,siacoin,siacoin
178,,,,,,,,,,,,,,,,,2014/11/06,null,,siacoin,siacoin
179,,,,,,,,,,,,,,,,,2014/11/07,null,,siacoin,siacoin
180,,,,,,,,,,,,,,,,,2014/11/08,null,,siacoin,siacoin
181,,,,,,,,,,,,,,,,,2014/11/09,null,,siacoin,siacoin
182,,,,,,,,,,,,,,,,,2014/11/10,null,,siacoin,siacoin
183,,,,,,,,,,,,,,,,,2014/11/11,null,,siacoin,siacoin
184,,,,,,,,,,,,,,,,,2014/11/12,null,,siacoin,siacoin
185,,,,,,,,,,,,,,,,,2014/11/13,null,,siacoin,siacoin
186,,,,,,,,,,,,,,,,,2014/11/14,null,,siacoin,siacoin
187,,,,,,,,,,,,,,,,,2014/11/15,null,,siacoin,siacoin
188,,,,,,,,,,,,,,,,,2014/11/16,null,,siacoin,siacoin
189,,,,,,,,,,,,,,,,,2014/11/17,2,,siacoin,siacoin
190,,,,,,,,,,,,,,,,,2014/11/18,4,,siacoin,siacoin
191,,,,,,,,,,,,,,,,,2014/11/19,9,,siacoin,siacoin
192,,,,,,,,,,,,,,,,,2014/11/20,null,,siacoin,siacoin
193,,,,,,,,,,,,,,,,,2014/11/21,null,,siacoin,siacoin
