,date,block_size,sent_addresses,difficulty,median_transaction_size,median_transaction_value,transactions,mining_profitability,confirmation_time,top_100_percent,hashrate,av_transaction_value,market_cap,av_transaction_size,google_trends,active_addresses,send_usd,fee_reward,tweets,full_name,coin
0,2009/01/03,204nullnull,,1nullnull,,,nullnullnull,,,,,,,,,nullnullnull,,,,socialcoin,socialcoin
1,2009/01/04,nullnullnull,,nullnullnull,,,nullnullnull,,,,,,,,,nullnullnull,,,,socialcoin,socialcoin
2,2009/01/05,nullnullnull,,nullnullnull,,,nullnullnull,,,,,,,,,nullnullnull,,,,socialcoin,socialcoin
3,2009/01/06,nullnullnull,,nullnullnull,,,nullnullnull,,,,,,,,,nullnullnull,,,,socialcoin,socialcoin
4,2009/01/07,nullnullnull,,nullnullnull,,,nullnullnull,,,,,,,,,nullnullnull,,,,socialcoin,socialcoin
5,2009/01/08,nullnullnull,,nullnullnull,,,nullnullnull,,,,,,,,,nullnullnull,,,,socialcoin,socialcoin
6,2009/01/09,134nullnull,1nullnull,1nullnull,,,nullnullnull,,,,,,,,,14nullnull,,,,socialcoin,socialcoin
7,2009/01/10,134.23nullnull,nullnullnull,1nullnull,,,nullnullnull,,,,,,,,,61nullnull,,,,socialcoin,socialcoin
8,2009/01/11,134.409nullnull,1nullnull,1nullnull,,,nullnullnull,,,,,,,,,93nullnull,,,,socialcoin,socialcoin
9,2009/01/12,153.372nullnull,7nullnull,1nullnull,,,7nullnull,,,,,,,,,102nullnull,,,,socialcoin,socialcoin
10,2009/01/13,134.667nullnull,10nullnull,1nullnull,,,nullnullnull,,,,,,,,,123nullnull,,,,socialcoin,socialcoin
11,2009/01/14,138.194nullnull,20nullnull,1nullnull,,,1nullnull,,,,,,,,,133nullnull,,,,socialcoin,socialcoin
12,2009/01/15,157.579nullnull,18nullnull,1nullnull,,,8nullnull,,,,,,,,,140nullnull,,,,socialcoin,socialcoin
13,2009/01/16,139.87nullnull,16nullnull,1nullnull,,,2nullnull,,,,,,,,,114nullnull,,,,socialcoin,socialcoin
14,2009/01/17,134.853nullnull,18nullnull,1nullnull,,,nullnullnull,,,,,,,,,109nullnull,,,,socialcoin,socialcoin
15,2009/01/18,138.944nullnull,16nullnull,1nullnull,,,1nullnull,,,,,,,,,111nullnull,,,,socialcoin,socialcoin
16,2009/01/19,151.896nullnull,22nullnull,1nullnull,,,2nullnull,,,,,,,,,133nullnull,,,,socialcoin,socialcoin
17,2009/01/20,143.728nullnull,21nullnull,1nullnull,,,1nullnull,,,,,,,,,123nullnull,,,,socialcoin,socialcoin
18,2009/01/21,137.99nullnull,22nullnull,1nullnull,,,1nullnull,,,,,,,,,105nullnull,,,,socialcoin,socialcoin
19,2009/01/22,147.747nullnull,12nullnull,1nullnull,,,1nullnull,,,,,,,,,102nullnull,,,,socialcoin,socialcoin
20,2009/01/23,148.238nullnull,18nullnull,1nullnull,,,2nullnull,,,,,,,,,95nullnull,,,,socialcoin,socialcoin
21,2009/01/24,141.06nullnull,22nullnull,1nullnull,,,1nullnull,,,,,,,,,212nullnull,,,,socialcoin,socialcoin
22,2009/01/25,136nullnull,14nullnull,1nullnull,,,1nullnull,,,,,,,,,193nullnull,,,,socialcoin,socialcoin
23,2009/01/26,158.948nullnull,17nullnull,1nullnull,,,1nullnull,,,,,,,,,117nullnull,,,,socialcoin,socialcoin
24,2009/01/27,139.309nullnull,8nullnull,1nullnull,,,1nullnull,,,,,,,,,101nullnull,,,,socialcoin,socialcoin
25,2009/01/28,134.652nullnull,23nullnull,1nullnull,,,nullnullnull,,,,,,,,,112nullnull,,,,socialcoin,socialcoin
26,2009/01/29,146.256nullnull,24nullnull,1nullnull,,,1nullnull,,,,,,,,,134nullnull,,,,socialcoin,socialcoin
27,2009/01/30,134.872nullnull,23nullnull,1nullnull,,,nullnullnull,,,,,,,,,117nullnull,,,,socialcoin,socialcoin
28,2009/01/31,151.464nullnull,36nullnull,1nullnull,,,1nullnull,,,,,,,,,159nullnull,,,,socialcoin,socialcoin
29,2009/02/01,137.204nullnull,31nullnull,1nullnull,,,1nullnull,,,,,,,,,116nullnull,,,,socialcoin,socialcoin
30,2009/02/02,136.094nullnull,37nullnull,1nullnull,,,1nullnull,,,,,,,,,130nullnull,,,,socialcoin,socialcoin
31,2009/02/03,167.496nullnull,50nullnull,1nullnull,,,16nullnull,,,,,,,,,154nullnull,,,,socialcoin,socialcoin
32,2009/02/04,134.739nullnull,26nullnull,1nullnull,,,nullnullnull,,,,,,,,,119nullnull,,,,socialcoin,socialcoin
33,2009/02/05,134.722nullnull,34nullnull,1nullnull,,,nullnullnull,,,,,,,,,126nullnull,,,,socialcoin,socialcoin
34,2009/02/06,134.836nullnull,19nullnull,1nullnull,,,nullnullnull,,,,,,,,,122nullnull,,,,socialcoin,socialcoin
35,2009/02/07,159.31nullnull,32nullnull,1nullnull,,,4nullnull,,,,,,,,,156nullnull,,,,socialcoin,socialcoin
36,2009/02/08,136.576nullnull,46nullnull,1nullnull,,,1nullnull,,,,,,,,,134nullnull,,,,socialcoin,socialcoin
37,2009/02/09,172.604nullnull,34nullnull,1nullnull,,,1nullnull,,,,,,,,,179nullnull,,,,socialcoin,socialcoin
38,2009/02/10,134.667nullnull,18nullnull,1nullnull,,,nullnullnull,,,,,,,,,120nullnull,,,,socialcoin,socialcoin
39,2009/02/11,148.128nullnull,27nullnull,1nullnull,,,2nullnull,,,,,,,,,147nullnull,,,,socialcoin,socialcoin
40,2009/02/12,134.874nullnull,22nullnull,1nullnull,,,nullnullnull,,,,,,,,,119nullnull,,,,socialcoin,socialcoin
41,2009/02/13,134.903nullnull,27nullnull,1nullnull,,,nullnullnull,,,,,,,,,124nullnull,,,,socialcoin,socialcoin
42,2009/02/14,134.787nullnull,29nullnull,1nullnull,,,nullnullnull,,,,,,,,,136nullnull,,,,socialcoin,socialcoin
43,2009/02/15,148.383nullnull,32nullnull,1nullnull,,,3nullnull,,,,,,,,,142nullnull,,,,socialcoin,socialcoin
44,2009/02/16,163.172nullnull,26nullnull,1nullnull,,,1nullnull,,,,,,,,,153nullnull,,,,socialcoin,socialcoin
45,2009/02/17,134.897nullnull,27nullnull,1nullnull,,,nullnullnull,,,,,,,,,117nullnull,,,,socialcoin,socialcoin
46,2009/02/18,134.941nullnull,23nullnull,1nullnull,,,nullnullnull,,,,,,,,,118nullnull,,,,socialcoin,socialcoin
47,2009/02/19,150.048nullnull,37nullnull,1nullnull,,,1nullnull,,,,,,,,,141nullnull,,,,socialcoin,socialcoin
48,2009/02/20,134.852nullnull,29nullnull,1nullnull,,,nullnullnull,,,,,,,,,122nullnull,,,,socialcoin,socialcoin
49,2009/02/21,134.965nullnull,22nullnull,1nullnull,,,nullnullnull,,,,,,,,,114nullnull,,,,socialcoin,socialcoin
50,2009/02/22,147.545nullnull,28nullnull,1nullnull,,,4nullnull,,,,,,,,,133nullnull,,,,socialcoin,socialcoin
51,2009/02/23,134.991nullnull,22nullnull,1nullnull,,,nullnullnull,,,,,,,,,108nullnull,,,,socialcoin,socialcoin
52,2009/02/24,134.934nullnull,16nullnull,1nullnull,,,nullnullnull,,,,,,,,,106nullnull,,,,socialcoin,socialcoin
53,2009/02/25,134.867nullnull,16nullnull,1nullnull,,,nullnullnull,,,,,,,,,105nullnull,,,,socialcoin,socialcoin
54,2009/02/26,134.963nullnull,14nullnull,1nullnull,,,nullnullnull,,,,,,,,,107nullnull,,,,socialcoin,socialcoin
55,2009/02/27,170.8nullnull,26nullnull,1nullnull,,,1nullnull,,,,,,,,,152nullnull,,,,socialcoin,socialcoin
56,2009/02/28,143.525nullnull,8nullnull,1nullnull,,,1nullnull,,,,,,,,,107nullnull,,,,socialcoin,socialcoin
57,2009/03/01,134.952nullnull,16nullnull,1nullnull,,,nullnullnull,,,,,,,,,105nullnull,,,,socialcoin,socialcoin
58,2009/03/02,134.963nullnull,15nullnull,1nullnull,,,nullnullnull,,,,,,,,,108nullnull,,,,socialcoin,socialcoin
59,2009/03/03,144.429nullnull,17nullnull,1nullnull,,,2nullnull,,,,,,,,,114nullnull,,,,socialcoin,socialcoin
60,2009/03/04,163.712nullnull,22nullnull,1nullnull,,,2nullnull,,,,,,,,,130nullnull,,,,socialcoin,socialcoin
61,2009/03/05,143.411nullnull,23nullnull,1nullnull,,,1nullnull,,,,,,,,,121nullnull,,,,socialcoin,socialcoin
62,2009/03/06,134.923nullnull,31nullnull,1nullnull,,,nullnullnull,,,,,,,,,117nullnull,,,,socialcoin,socialcoin
63,2009/03/07,134.972nullnull,25nullnull,1nullnull,,,nullnullnull,,,,,,,,,109nullnull,,,,socialcoin,socialcoin
64,2009/03/08,162.591nullnull,19nullnull,1nullnull,,,3nullnull,,,,,,,,,142nullnull,,,,socialcoin,socialcoin
65,2009/03/09,134.713nullnull,21nullnull,1nullnull,,,nullnullnull,,,,,,,,,108nullnull,,,,socialcoin,socialcoin
66,2009/03/10,134.972nullnull,21nullnull,1nullnull,,,nullnullnull,,,,,,,,,107nullnull,,,,socialcoin,socialcoin
67,2009/03/11,134.886nullnull,25nullnull,1nullnull,,,nullnullnull,,,,,,,,,114nullnull,,,,socialcoin,socialcoin
68,2009/03/12,138.534nullnull,30nullnull,1nullnull,,,1nullnull,,,,,,,,,122nullnull,,,,socialcoin,socialcoin
69,2009/03/13,148.389nullnull,14nullnull,1nullnull,,,1nullnull,,,,,,,,,127nullnull,,,,socialcoin,socialcoin
70,2009/03/14,134.791nullnull,24nullnull,1nullnull,,,nullnullnull,,,,,,,,,110nullnull,,,,socialcoin,socialcoin
71,2009/03/15,134.967nullnull,28nullnull,1nullnull,,,nullnullnull,,,,,,,,,123nullnull,,,,socialcoin,socialcoin
72,2009/03/16,180.512nullnull,28nullnull,1nullnull,,,1nullnull,,,,,,,,,170nullnull,,,,socialcoin,socialcoin
73,2009/03/17,134.965nullnull,24nullnull,1nullnull,,,nullnullnull,,,,,,,,,114nullnull,,,,socialcoin,socialcoin
74,2009/03/18,149.711nullnull,16nullnull,1nullnull,,,2nullnull,,,,,,,,,129nullnull,,,,socialcoin,socialcoin
75,2009/03/19,134.787nullnull,26nullnull,1nullnull,,,nullnullnull,,,,,,,,,122nullnull,,,,socialcoin,socialcoin
76,2009/03/20,146.856nullnull,27nullnull,1nullnull,,,1nullnull,,,,,,,,,131nullnull,,,,socialcoin,socialcoin
77,2009/03/21,134.88nullnull,26nullnull,1nullnull,,,nullnullnull,,,,,,,,,50nullnull,,,,socialcoin,socialcoin
78,2009/03/22,146.126nullnull,33nullnull,1nullnull,,,2nullnull,,,,,,,,,131nullnull,,,,socialcoin,socialcoin
