,difficulty,block_size,av_transaction_value,confirmation_time,median_transaction_size,hashrate,top_100_percent,mining_profitability,google_trends,fee_reward,transactions,av_transaction_size,send_usd,median_transaction_value,active_addresses,sent_addresses,date,tweets,market_cap,full_name,coin
0,,,,,,,,,,,,,,,,,2014/07/11,38,61968,stealthcoin,stealthcoin
1,,,,,,,,,,,,,,,,,2014/07/12,77,120732,stealthcoin,stealthcoin
2,,,,,,,,,,,,,,,,,2014/07/13,114,214528,stealthcoin,stealthcoin
3,,,,,,,,,,,,,,,,,2014/07/14,68,186994,stealthcoin,stealthcoin
4,,,,,,,,,,,,,,,,,2014/07/15,68,133007,stealthcoin,stealthcoin
5,,,,,,,,,,,,,,,,,2014/07/16,15,120146,stealthcoin,stealthcoin
6,,,,,,,,,,,,,,,,,2014/07/17,31,107529,stealthcoin,stealthcoin
7,,,,,,,,,,,,,,,,,2014/07/18,16,102536,stealthcoin,stealthcoin
8,,,,,,,,,,,,,,,,,2014/07/19,21,87515,stealthcoin,stealthcoin
9,,,,,,,,,,,,,,,,,2014/07/20,10,54163,stealthcoin,stealthcoin
10,,,,,,,,,,,,,,,,,2014/07/21,19,56773,stealthcoin,stealthcoin
11,,,,,,,,,,,,,,,,,2014/07/22,14,56232,stealthcoin,stealthcoin
12,,,,,,,,,,,,,,,,,2014/07/23,null,45949,stealthcoin,stealthcoin
13,,,,,,,,,,,,,,,,,2014/07/24,1,52396,stealthcoin,stealthcoin
14,,,,,,,,,,,,,,,,,2014/07/25,8,51908,stealthcoin,stealthcoin
15,,,,,,,,,,,,,,,,,2014/07/26,10,81539,stealthcoin,stealthcoin
16,,,,,,,,,,,,,,,,,2014/07/27,11,72262,stealthcoin,stealthcoin
17,,,,,,,,,,,,,,,,,2014/07/28,33,76991,stealthcoin,stealthcoin
18,,,,,,,,,,,,,,,,,2014/07/29,83,145191,stealthcoin,stealthcoin
19,,,,,,,,,,,,,,,,,2014/07/30,34,118539,stealthcoin,stealthcoin
20,,,,,,,,,,,,,,,,,2014/07/31,44,135948,stealthcoin,stealthcoin
21,,,,,,,,,,,,,,,,,2014/08/01,17,null,stealthcoin,stealthcoin
22,,,,,,,,,,,,,,,,,2014/08/02,6,null,stealthcoin,stealthcoin
23,,,,,,,,,,,,,,,,,2014/08/03,2,null,stealthcoin,stealthcoin
24,,,,,,,,,,,,,,,,,2014/08/04,7,null,stealthcoin,stealthcoin
25,,,,,,,,,,,,,,,,,2014/08/05,3,null,stealthcoin,stealthcoin
26,,,,,,,,,,,,,,,,,2014/08/06,18,112062,stealthcoin,stealthcoin
27,,,,,,,,,,,,,,,,,2014/08/07,13,103546,stealthcoin,stealthcoin
28,,,,,,,,,,,,,,,,,2014/08/08,11,103672,stealthcoin,stealthcoin
29,,,,,,,,,,,,,,,,,2014/08/09,2,111688,stealthcoin,stealthcoin
30,,,,,,,,,,,,,,,,,2014/08/10,3,114420,stealthcoin,stealthcoin
31,,,,,,,,,,,,,,,,,2014/08/11,4,121588,stealthcoin,stealthcoin
32,,,,,,,,,,,,,,,,,2014/08/12,2,116008,stealthcoin,stealthcoin
33,,,,,,,,,,,,,,,,,2014/08/13,3,127371,stealthcoin,stealthcoin
34,,,,,,,,,,,,,,,,,2014/08/14,8,120434,stealthcoin,stealthcoin
35,,,,,,,,,,,,,,,,,2014/08/15,11,111384,stealthcoin,stealthcoin
36,,,,,,,,,,,,,,,,,2014/08/16,null,107584,stealthcoin,stealthcoin
37,,,,,,,,,,,,,,,,,2014/08/17,1,116976,stealthcoin,stealthcoin
38,,,,,,,,,,,,,,,,,2014/08/18,9,98570,stealthcoin,stealthcoin
39,,,,,,,,,,,,,,,,,2014/08/19,1,95965,stealthcoin,stealthcoin
40,,,,,,,,,,,,,,,,,2014/08/20,null,106924,stealthcoin,stealthcoin
41,,,,,,,,,,,,,,,,,2014/08/21,null,118123,stealthcoin,stealthcoin
