,date,block_size,av_transaction_size,av_transaction_value,market_cap,top_100_percent,confirmation_time,fee_reward,tweets,median_transaction_value,sent_addresses,hashrate,mining_profitability,transactions,google_trends,active_addresses,difficulty,send_usd,median_transaction_size,full_name,coin
0,2009/01/03,,,,,,,,,,,,,,,,,,,suncoin,suncoin
1,2009/01/04,,,,,,,,,,,,,,,,,,,suncoin,suncoin
2,2009/01/05,,,,,,,,,,,,,,,,,,,suncoin,suncoin
3,2009/01/06,,,,,,,,,,,,,,,,,,,suncoin,suncoin
4,2009/01/07,,,,,,,,,,,,,,,,,,,suncoin,suncoin
5,2009/01/08,,,,,,,,,,,,,,,,,,,suncoin,suncoin
6,2009/01/09,,,,,,,,,,,,,,,,,,,suncoin,suncoin
7,2009/01/10,,,,,,,,,,,,,,,,,,,suncoin,suncoin
8,2009/01/11,,,,,,,,,,,,,,,,,,,suncoin,suncoin
9,2009/01/12,,,,,,,,,,,,,,,,,,,suncoin,suncoin
10,2009/01/13,,,,,,,,,,,,,,,,,,,suncoin,suncoin
11,2009/01/14,,,,,,,,,,,,,,,,,,,suncoin,suncoin
12,2009/01/15,,,,,,,,,,,,,,,,,,,suncoin,suncoin
13,2009/01/16,,,,,,,,,,,,,,,,,,,suncoin,suncoin
14,2009/01/17,,,,,,,,,,,,,,,,,,,suncoin,suncoin
15,2009/01/18,,,,,,,,,,,,,,,,,,,suncoin,suncoin
16,2009/01/19,,,,,,,,,,,,,,,,,,,suncoin,suncoin
17,2009/01/20,,,,,,,,,,,,,,,,,,,suncoin,suncoin
18,2009/01/21,,,,,,,,,,,,,,,,,,,suncoin,suncoin
19,2009/01/22,,,,,,,,,,,,,,,,,,,suncoin,suncoin
20,2009/01/23,,,,,,,,,,,,,,,,,,,suncoin,suncoin
21,2009/01/24,,,,,,,,,,,,,,,,,,,suncoin,suncoin
22,2009/01/25,,,,,,,,,,,,,,,,,,,suncoin,suncoin
23,2009/01/26,,,,,,,,,,,,,,,,,,,suncoin,suncoin
24,2009/01/27,,,,,,,,,,,,,,,,,,,suncoin,suncoin
25,2009/01/28,,,,,,,,,,,,,,,,,,,suncoin,suncoin
26,2009/01/29,,,,,,,,,,,,,,,,,,,suncoin,suncoin
27,2009/01/30,,,,,,,,,,,,,,,,,,,suncoin,suncoin
28,2009/01/31,,,,,,,,,,,,,,,,,,,suncoin,suncoin
29,2009/02/01,,,,,,,,,,,,,,,,,,,suncoin,suncoin
30,2009/02/02,,,,,,,,,,,,,,,,,,,suncoin,suncoin
31,2009/02/03,,,,,,,,,,,,,,,,,,,suncoin,suncoin
32,2009/02/04,,,,,,,,,,,,,,,,,,,suncoin,suncoin
33,2009/02/05,,,,,,,,,,,,,,,,,,,suncoin,suncoin
34,2009/02/06,,,,,,,,,,,,,,,,,,,suncoin,suncoin
35,2009/02/07,,,,,,,,,,,,,,,,,,,suncoin,suncoin
36,2009/02/08,,,,,,,,,,,,,,,,,,,suncoin,suncoin
37,2009/02/09,,,,,,,,,,,,,,,,,,,suncoin,suncoin
38,2009/02/10,,,,,,,,,,,,,,,,,,,suncoin,suncoin
39,2009/02/11,,,,,,,,,,,,,,,,,,,suncoin,suncoin
40,2009/02/12,,,,,,,,,,,,,,,,,,,suncoin,suncoin
41,2009/02/13,,,,,,,,,,,,,,,,,,,suncoin,suncoin
42,2009/02/14,,,,,,,,,,,,,,,,,,,suncoin,suncoin
43,2009/02/15,,,,,,,,,,,,,,,,,,,suncoin,suncoin
44,2009/02/16,,,,,,,,,,,,,,,,,,,suncoin,suncoin
45,2009/02/17,,,,,,,,,,,,,,,,,,,suncoin,suncoin
46,2009/02/18,,,,,,,,,,,,,,,,,,,suncoin,suncoin
47,2009/02/19,,,,,,,,,,,,,,,,,,,suncoin,suncoin
48,2009/02/20,,,,,,,,,,,,,,,,,,,suncoin,suncoin
49,2009/02/21,,,,,,,,,,,,,,,,,,,suncoin,suncoin
50,2009/02/22,,,,,,,,,,,,,,,,,,,suncoin,suncoin
51,2009/02/23,,,,,,,,,,,,,,,,,,,suncoin,suncoin
52,2009/02/24,,,,,,,,,,,,,,,,,,,suncoin,suncoin
53,2009/02/25,,,,,,,,,,,,,,,,,,,suncoin,suncoin
54,2009/02/26,,,,,,,,,,,,,,,,,,,suncoin,suncoin
55,2009/02/27,,,,,,,,,,,,,,,,,,,suncoin,suncoin
56,2009/02/28,,,,,,,,,,,,,,,,,,,suncoin,suncoin
57,2009/03/01,,,,,,,,,,,,,,,,,,,suncoin,suncoin
58,2009/03/02,,,,,,,,,,,,,,,,,,,suncoin,suncoin
59,2009/03/03,,,,,,,,,,,,,,,,,,,suncoin,suncoin
60,2009/03/04,,,,,,,,,,,,,,,,,,,suncoin,suncoin
61,2009/03/05,,,,,,,,,,,,,,,,,,,suncoin,suncoin
62,2009/03/06,,,,,,,,,,,,,,,,,,,suncoin,suncoin
63,2009/03/07,,,,,,,,,,,,,,,,,,,suncoin,suncoin
64,2009/03/08,,,,,,,,,,,,,,,,,,,suncoin,suncoin
65,2009/03/09,,,,,,,,,,,,,,,,,,,suncoin,suncoin
66,2009/03/10,,,,,,,,,,,,,,,,,,,suncoin,suncoin
67,2009/03/11,,,,,,,,,,,,,,,,,,,suncoin,suncoin
68,2009/03/12,,,,,,,,,,,,,,,,,,,suncoin,suncoin
69,2009/03/13,,,,,,,,,,,,,,,,,,,suncoin,suncoin
70,2009/03/14,,,,,,,,,,,,,,,,,,,suncoin,suncoin
71,2009/03/15,,,,,,,,,,,,,,,,,,,suncoin,suncoin
