,transactions,fee_reward,active_addresses,block_size,difficulty,sent_addresses,mining_profitability,hashrate,median_transaction_value,google_trends,send_usd,confirmation_time,median_transaction_size,av_transaction_size,av_transaction_value,top_100_percent,date,tweets,market_cap,full_name,coin
0,,,,,,,,,,,,,,,,,2014/08/20,162,815081,syscoin,syscoin
1,,,,,,,,,,,,,,,,,2014/08/21,60,960065,syscoin,syscoin
2,,,,,,,,,,,,,,,,,2014/08/22,18,853270,syscoin,syscoin
3,,,,,,,,,,,,,,,,,2014/08/23,34,751227,syscoin,syscoin
4,,,,,,,,,,,,,,,,,2014/08/24,26,711963,syscoin,syscoin
5,,,,,,,,,,,,,,,,,2014/08/25,38,697420,syscoin,syscoin
6,,,,,,,,,,,,,,,,,2014/08/26,45,729657,syscoin,syscoin
7,,,,,,,,,,,,,,,,,2014/08/27,60,719155,syscoin,syscoin
8,,,,,,,,,,,,,,,,,2014/08/28,110,661906,syscoin,syscoin
9,,,,,,,,,,,,,,,,,2014/08/29,136,648442,syscoin,syscoin
10,,,,,,,,,,,,,,,,,2014/08/30,26,628419,syscoin,syscoin
11,,,,,,,,,,,,,,,,,2014/08/31,17,587861,syscoin,syscoin
12,,,,,,,,,,,,,,,,,2014/09/01,17,593202,syscoin,syscoin
13,,,,,,,,,,,,,,,,,2014/09/02,18,548991,syscoin,syscoin
14,,,,,,,,,,,,,,,,,2014/09/03,54,528661,syscoin,syscoin
15,,,,,,,,,,,,,,,,,2014/09/04,104,531690,syscoin,syscoin
16,,,,,,,,,,,,,,,,,2014/09/05,9,470585,syscoin,syscoin
17,,,,,,,,,,,,,,,,,2014/09/06,8,493185,syscoin,syscoin
18,,,,,,,,,,,,,,,,,2014/09/07,29,502407,syscoin,syscoin
19,,,,,,,,,,,,,,,,,2014/09/08,18,450616,syscoin,syscoin
20,,,,,,,,,,,,,,,,,2014/09/09,24,429070,syscoin,syscoin
21,,,,,,,,,,,,,,,,,2014/09/10,29,454281,syscoin,syscoin
22,,,,,,,,,,,,,,,,,2014/09/11,75,457883,syscoin,syscoin
23,,,,,,,,,,,,,,,,,2014/09/12,56,427982,syscoin,syscoin
24,,,,,,,,,,,,,,,,,2014/09/13,71,402345,syscoin,syscoin
25,,,,,,,,,,,,,,,,,2014/09/14,64,399584,syscoin,syscoin
26,,,,,,,,,,,,,,,,,2014/09/15,61,389528,syscoin,syscoin
27,,,,,,,,,,,,,,,,,2014/09/16,68,409568,syscoin,syscoin
28,,,,,,,,,,,,,,,,,2014/09/17,80,455366,syscoin,syscoin
29,,,,,,,,,,,,,,,,,2014/09/18,76,509260,syscoin,syscoin
30,,,,,,,,,,,,,,,,,2014/09/19,74,593458,syscoin,syscoin
31,,,,,,,,,,,,,,,,,2014/09/20,37,572709,syscoin,syscoin
32,,,,,,,,,,,,,,,,,2014/09/21,44,551212,syscoin,syscoin
33,,,,,,,,,,,,,,,,,2014/09/22,44,471392,syscoin,syscoin
34,,,,,,,,,,,,,,,,,2014/09/23,38,493671,syscoin,syscoin
35,,,,,,,,,,,,,,,,,2014/09/24,52,573349,syscoin,syscoin
36,,,,,,,,,,,,,,,,,2014/09/25,39,569628,syscoin,syscoin
37,,,,,,,,,,,,,,,,,2014/09/26,18,565074,syscoin,syscoin
38,,,,,,,,,,,,,,,,,2014/09/27,46,554927,syscoin,syscoin
39,,,,,,,,,,,,,,,,,2014/09/28,30,576074,syscoin,syscoin
40,,,,,,,,,,,,,,,,,2014/09/29,35,521480,syscoin,syscoin
41,,,,,,,,,,,,,,,,,2014/09/30,27,530025,syscoin,syscoin
42,,,,,,,,,,,,,,,,,2014/10/01,33,554301,syscoin,syscoin
43,,,,,,,,,,,,,,,,,2014/10/02,17,531993,syscoin,syscoin
44,,,,,,,,,,,,,,,,,2014/10/03,9,512024,syscoin,syscoin
45,,,,,,,,,,,,,,,,,2014/10/04,6,450637,syscoin,syscoin
46,,,,,,,,,,,,,,,,,2014/10/05,20,403311,syscoin,syscoin
47,,,,,,,,,,,,,,,,,2014/10/06,72,413277,syscoin,syscoin
48,,,,,,,,,,,,,,,,,2014/10/07,96,409550,syscoin,syscoin
49,,,,,,,,,,,,,,,,,2014/10/08,52,409239,syscoin,syscoin
50,,,,,,,,,,,,,,,,,2014/10/09,23,418037,syscoin,syscoin
51,,,,,,,,,,,,,,,,,2014/10/10,2,398872,syscoin,syscoin
52,,,,,,,,,,,,,,,,,2014/10/11,12,401862,syscoin,syscoin
53,,,,,,,,,,,,,,,,,2014/10/12,9,399925,syscoin,syscoin
54,,,,,,,,,,,,,,,,,2014/10/13,10,370578,syscoin,syscoin
55,,,,,,,,,,,,,,,,,2014/10/14,21,416902,syscoin,syscoin
56,,,,,,,,,,,,,,,,,2014/10/15,44,339444,syscoin,syscoin
57,,,,,,,,,,,,,,,,,2014/10/16,91,305091,syscoin,syscoin
58,,,,,,,,,,,,,,,,,2014/10/17,85,306755,syscoin,syscoin
59,,,,,,,,,,,,,,,,,2014/10/18,18,267627,syscoin,syscoin
60,,,,,,,,,,,,,,,,,2014/10/19,13,260675,syscoin,syscoin
61,,,,,,,,,,,,,,,,,2014/10/20,15,209584,syscoin,syscoin
62,,,,,,,,,,,,,,,,,2014/10/21,25,180452,syscoin,syscoin
63,,,,,,,,,,,,,,,,,2014/10/22,46,177136,syscoin,syscoin
64,,,,,,,,,,,,,,,,,2014/10/23,50,282643,syscoin,syscoin
65,,,,,,,,,,,,,,,,,2014/10/24,39,269795,syscoin,syscoin
66,,,,,,,,,,,,,,,,,2014/10/25,32,264949,syscoin,syscoin
67,,,,,,,,,,,,,,,,,2014/10/26,21,245846,syscoin,syscoin
68,,,,,,,,,,,,,,,,,2014/10/27,49,230545,syscoin,syscoin
69,,,,,,,,,,,,,,,,,2014/10/28,33,250622,syscoin,syscoin
70,,,,,,,,,,,,,,,,,2014/10/29,42,255673,syscoin,syscoin
71,,,,,,,,,,,,,,,,,2014/10/30,55,242856,syscoin,syscoin
