,date,sent_addresses,transactions,block_size,hashrate,difficulty,tweets,send_usd,median_transaction_size,av_transaction_size,mining_profitability,google_trends,top_100_percent,market_cap,active_addresses,median_transaction_value,fee_reward,confirmation_time,av_transaction_value,full_name,coin
0,2009/01/09,1nullnull,nullnullnull,134nullnull,,1nullnull,,,,,,,,,14nullnull,,,,,topcoin,topcoin
1,2009/01/10,nullnullnull,nullnullnull,134.23nullnull,,1nullnull,,,,,,,,,61nullnull,,,,,topcoin,topcoin
2,2009/01/11,1nullnull,nullnullnull,134.409nullnull,,1nullnull,,,,,,,,,93nullnull,,,,,topcoin,topcoin
3,2009/01/12,7nullnull,7nullnull,153.372nullnull,,1nullnull,,,,,,,,,102nullnull,,,,,topcoin,topcoin
4,2009/01/13,10nullnull,nullnullnull,134.667nullnull,,1nullnull,,,,,,,,,123nullnull,,,,,topcoin,topcoin
5,2009/01/14,20nullnull,1nullnull,138.194nullnull,,1nullnull,,,,,,,,,133nullnull,,,,,topcoin,topcoin
6,2009/01/15,18nullnull,8nullnull,157.579nullnull,,1nullnull,,,,,,,,,140nullnull,,,,,topcoin,topcoin
7,2009/01/16,16nullnull,2nullnull,139.87nullnull,,1nullnull,,,,,,,,,114nullnull,,,,,topcoin,topcoin
8,2009/01/17,18nullnull,nullnullnull,134.853nullnull,,1nullnull,,,,,,,,,109nullnull,,,,,topcoin,topcoin
9,2009/01/18,16nullnull,1nullnull,138.944nullnull,,1nullnull,,,,,,,,,111nullnull,,,,,topcoin,topcoin
10,2009/01/19,22nullnull,2nullnull,151.896nullnull,,1nullnull,,,,,,,,,133nullnull,,,,,topcoin,topcoin
11,2009/01/20,21nullnull,1nullnull,143.728nullnull,,1nullnull,,,,,,,,,123nullnull,,,,,topcoin,topcoin
12,2009/01/21,22nullnull,1nullnull,137.99nullnull,,1nullnull,,,,,,,,,105nullnull,,,,,topcoin,topcoin
13,2009/01/22,12nullnull,1nullnull,147.747nullnull,,1nullnull,,,,,,,,,102nullnull,,,,,topcoin,topcoin
14,2009/01/23,18nullnull,2nullnull,148.238nullnull,,1nullnull,,,,,,,,,95nullnull,,,,,topcoin,topcoin
15,2009/01/24,22nullnull,1nullnull,141.06nullnull,,1nullnull,,,,,,,,,212nullnull,,,,,topcoin,topcoin
16,2009/01/25,14nullnull,1nullnull,136nullnull,,1nullnull,,,,,,,,,193nullnull,,,,,topcoin,topcoin
17,2009/01/26,17nullnull,1nullnull,158.948nullnull,,1nullnull,,,,,,,,,117nullnull,,,,,topcoin,topcoin
18,2009/01/27,8nullnull,1nullnull,139.309nullnull,,1nullnull,,,,,,,,,101nullnull,,,,,topcoin,topcoin
19,2009/01/28,23nullnull,nullnullnull,134.652nullnull,,1nullnull,,,,,,,,,112nullnull,,,,,topcoin,topcoin
20,2009/01/29,24nullnull,1nullnull,146.256nullnull,,1nullnull,,,,,,,,,134nullnull,,,,,topcoin,topcoin
21,2009/01/30,23nullnull,nullnullnull,134.872nullnull,,1nullnull,,,,,,,,,117nullnull,,,,,topcoin,topcoin
22,2009/01/31,36nullnull,1nullnull,151.464nullnull,,1nullnull,,,,,,,,,159nullnull,,,,,topcoin,topcoin
23,2009/02/01,31nullnull,1nullnull,137.204nullnull,,1nullnull,,,,,,,,,116nullnull,,,,,topcoin,topcoin
24,2009/02/02,37nullnull,1nullnull,136.094nullnull,,1nullnull,,,,,,,,,130nullnull,,,,,topcoin,topcoin
25,2009/02/03,50nullnull,16nullnull,167.496nullnull,,1nullnull,,,,,,,,,154nullnull,,,,,topcoin,topcoin
26,2009/02/04,26nullnull,nullnullnull,134.739nullnull,,1nullnull,,,,,,,,,119nullnull,,,,,topcoin,topcoin
27,2009/02/05,34nullnull,nullnullnull,134.722nullnull,,1nullnull,,,,,,,,,126nullnull,,,,,topcoin,topcoin
28,2009/02/06,19nullnull,nullnullnull,134.836nullnull,,1nullnull,,,,,,,,,122nullnull,,,,,topcoin,topcoin
29,2009/02/07,32nullnull,4nullnull,159.31nullnull,,1nullnull,,,,,,,,,156nullnull,,,,,topcoin,topcoin
30,2009/02/08,46nullnull,1nullnull,136.576nullnull,,1nullnull,,,,,,,,,134nullnull,,,,,topcoin,topcoin
31,2009/02/09,34nullnull,1nullnull,172.604nullnull,,1nullnull,,,,,,,,,179nullnull,,,,,topcoin,topcoin
32,2009/02/10,18nullnull,nullnullnull,134.667nullnull,,1nullnull,,,,,,,,,120nullnull,,,,,topcoin,topcoin
33,2009/02/11,27nullnull,2nullnull,148.128nullnull,,1nullnull,,,,,,,,,147nullnull,,,,,topcoin,topcoin
34,2009/02/12,22nullnull,nullnullnull,134.874nullnull,,1nullnull,,,,,,,,,119nullnull,,,,,topcoin,topcoin
35,2009/02/13,27nullnull,nullnullnull,134.903nullnull,,1nullnull,,,,,,,,,124nullnull,,,,,topcoin,topcoin
36,2009/02/14,29nullnull,nullnullnull,134.787nullnull,,1nullnull,,,,,,,,,136nullnull,,,,,topcoin,topcoin
37,2009/02/15,32nullnull,3nullnull,148.383nullnull,,1nullnull,,,,,,,,,142nullnull,,,,,topcoin,topcoin
38,2009/02/16,26nullnull,1nullnull,163.172nullnull,,1nullnull,,,,,,,,,153nullnull,,,,,topcoin,topcoin
39,2009/02/17,27nullnull,nullnullnull,134.897nullnull,,1nullnull,,,,,,,,,117nullnull,,,,,topcoin,topcoin
40,2009/02/18,23nullnull,nullnullnull,134.941nullnull,,1nullnull,,,,,,,,,118nullnull,,,,,topcoin,topcoin
41,2009/02/19,37nullnull,1nullnull,150.048nullnull,,1nullnull,,,,,,,,,141nullnull,,,,,topcoin,topcoin
42,2009/02/20,29nullnull,nullnullnull,134.852nullnull,,1nullnull,,,,,,,,,122nullnull,,,,,topcoin,topcoin
43,2009/02/21,22nullnull,nullnullnull,134.965nullnull,,1nullnull,,,,,,,,,114nullnull,,,,,topcoin,topcoin
44,2009/02/22,28nullnull,4nullnull,147.545nullnull,,1nullnull,,,,,,,,,133nullnull,,,,,topcoin,topcoin
