,transactions,top_100_percent,active_addresses,median_transaction_value,sent_addresses,difficulty,block_size,hashrate,mining_profitability,date,tweets,send_usd,av_transaction_size,fee_reward,confirmation_time,google_trends,median_transaction_size,av_transaction_value,market_cap,full_name,coin
0,,,,,,,,,,2014/04/09,7,,,,,,,,,unobtanium,unobtanium
1,,,,,,,,,,2014/04/10,8,,,,,,,,,unobtanium,unobtanium
2,,,,,,,,,,2014/04/11,3,,,,,,,,,unobtanium,unobtanium
3,,,,,,,,,,2014/04/12,9,,,,,,,,,unobtanium,unobtanium
4,,,,,,,,,,2014/04/13,2,,,,,,,,,unobtanium,unobtanium
5,,,,,,,,,,2014/04/14,14,,,,,,,,,unobtanium,unobtanium
6,,,,,,,,,,2014/04/15,10,,,,,,,,,unobtanium,unobtanium
7,,,,,,,,,,2014/04/16,10,,,,,,,,,unobtanium,unobtanium
8,,,,,,,,,,2014/04/17,7,,,,,,,,,unobtanium,unobtanium
9,,,,,,,,,,2014/04/18,12,,,,,,,,,unobtanium,unobtanium
10,,,,,,,,,,2014/04/19,4,,,,,,,,530265,unobtanium,unobtanium
11,,,,,,,,,,2014/04/20,2,,,,,,,,540994,unobtanium,unobtanium
12,,,,,,,,,,2014/04/21,5,,,,,,,,513604,unobtanium,unobtanium
13,,,,,,,,,,2014/04/22,8,,,,,,,,496339,unobtanium,unobtanium
14,,,,,,,,,,2014/04/23,4,,,,,,,,450121,unobtanium,unobtanium
15,,,,,,,,,,2014/04/24,9,,,,,,,,426226,unobtanium,unobtanium
16,,,,,,,,,,2014/04/25,7,,,,,,,,403274,unobtanium,unobtanium
17,,,,,,,,,,2014/04/26,6,,,,,,,,388055,unobtanium,unobtanium
18,,,,,,,,,,2014/04/27,2,,,,,,,,380882,unobtanium,unobtanium
19,,,,,,,,,,2014/04/28,8,,,,,,,,367504,unobtanium,unobtanium
20,,,,,,,,,,2014/04/29,2,,,,,,,,381101,unobtanium,unobtanium
21,,,,,,,,,,2014/04/30,11,,,,,,,,378380,unobtanium,unobtanium
22,,,,,,,,,,2014/05/01,3,,,,,,,,396814,unobtanium,unobtanium
23,,,,,,,,,,2014/05/02,9,,,,,,,,391482,unobtanium,unobtanium
24,,,,,,,,,,2014/05/03,7,,,,,,,,372014,unobtanium,unobtanium
25,,,,,,,,,,2014/05/04,6,,,,,,,,373435,unobtanium,unobtanium
26,,,,,,,,,,2014/05/05,12,,,,,,,,370901,unobtanium,unobtanium
27,,,,,,,,,,2014/05/06,9,,,,,,,,387107,unobtanium,unobtanium
28,,,,,,,,,,2014/05/07,14,,,,,,,,344249,unobtanium,unobtanium
29,,,,,,,,,,2014/05/08,6,,,,,,,,343586,unobtanium,unobtanium
30,,,,,,,,,,2014/05/09,9,,,,,,,,345958,unobtanium,unobtanium
31,,,,,,,,,,2014/05/10,6,,,,,,,,334209,unobtanium,unobtanium
32,,,,,,,,,,2014/05/11,3,,,,,,,,303438,unobtanium,unobtanium
33,,,,,,,,,,2014/05/12,5,,,,,,,,289549,unobtanium,unobtanium
34,,,,,,,,,,2014/05/13,8,,,,,,,,326113,unobtanium,unobtanium
35,,,,,,,,,,2014/05/14,5,,,,,,,,358363,unobtanium,unobtanium
36,,,,,,,,,,2014/05/15,5,,,,,,,,341095,unobtanium,unobtanium
37,,,,,,,,,,2014/05/16,4,,,,,,,,321866,unobtanium,unobtanium
38,,,,,,,,,,2014/05/17,9,,,,,,,,359341,unobtanium,unobtanium
39,,,,,,,,,,2014/05/18,6,,,,,,,,404308,unobtanium,unobtanium
40,,,,,,,,,,2014/05/19,8,,,,,,,,370778,unobtanium,unobtanium
41,,,,,,,,,,2014/05/20,4,,,,,,,,384044,unobtanium,unobtanium
42,,,,,,,,,,2014/05/21,4,,,,,,,,383740,unobtanium,unobtanium
43,,,,,,,,,,2014/05/22,7,,,,,,,,422712,unobtanium,unobtanium
44,,,,,,,,,,2014/05/23,17,,,,,,,,440690,unobtanium,unobtanium
45,,,,,,,,,,2014/05/24,2,,,,,,,,413159,unobtanium,unobtanium
46,,,,,,,,,,2014/05/25,4,,,,,,,,540641,unobtanium,unobtanium
47,,,,,,,,,,2014/05/26,4,,,,,,,,558046,unobtanium,unobtanium
48,,,,,,,,,,2014/05/27,40,,,,,,,,600627,unobtanium,unobtanium
49,,,,,,,,,,2014/05/28,null,,,,,,,,617284,unobtanium,unobtanium
50,,,,,,,,,,2014/05/29,10,,,,,,,,520703,unobtanium,unobtanium
51,,,,,,,,,,2014/05/30,5,,,,,,,,526539,unobtanium,unobtanium
52,,,,,,,,,,2014/05/31,9,,,,,,,,524347,unobtanium,unobtanium
53,,,,,,,,,,2014/06/01,10,,,,,,,,520284,unobtanium,unobtanium
54,,,,,,,,,,2014/06/02,1,,,,,,,,477574,unobtanium,unobtanium
55,,,,,,,,,,2014/06/03,5,,,,,,,,null,unobtanium,unobtanium
56,,,,,,,,,,2014/06/04,8,,,,,,,,null,unobtanium,unobtanium
57,,,,,,,,,,2014/06/05,10,,,,,,,,null,unobtanium,unobtanium
58,,,,,,,,,,2014/06/06,9,,,,,,,,null,unobtanium,unobtanium
59,,,,,,,,,,2014/06/07,2,,,,,,,,null,unobtanium,unobtanium
60,,,,,,,,,,2014/06/08,6,,,,,,,,null,unobtanium,unobtanium
61,,,,,,,,,,2014/06/09,7,,,,,,,,null,unobtanium,unobtanium
62,,,,,,,,,,2014/06/10,6,,,,,,,,null,unobtanium,unobtanium
63,,,,,,,,,,2014/06/11,7,,,,,,,,null,unobtanium,unobtanium
64,,,,,,,,,,2014/06/12,6,,,,,,,,null,unobtanium,unobtanium
65,,,,,,,,,,2014/06/13,9,,,,,,,,null,unobtanium,unobtanium
66,,,,,,,,,,2014/06/14,14,,,,,,,,null,unobtanium,unobtanium
67,,,,,,,,,,2014/06/15,7,,,,,,,,null,unobtanium,unobtanium
68,,,,,,,,,,2014/06/16,8,,,,,,,,null,unobtanium,unobtanium
69,,,,,,,,,,2014/06/17,6,,,,,,,,null,unobtanium,unobtanium
70,,,,,,,,,,2014/06/18,11,,,,,,,,null,unobtanium,unobtanium
71,,,,,,,,,,2014/06/19,19,,,,,,,,null,unobtanium,unobtanium
72,,,,,,,,,,2014/06/20,41,,,,,,,,null,unobtanium,unobtanium
73,,,,,,,,,,2014/06/21,6,,,,,,,,null,unobtanium,unobtanium
74,,,,,,,,,,2014/06/22,4,,,,,,,,null,unobtanium,unobtanium
75,,,,,,,,,,2014/06/23,4,,,,,,,,null,unobtanium,unobtanium
76,,,,,,,,,,2014/06/24,13,,,,,,,,null,unobtanium,unobtanium
77,,,,,,,,,,2014/06/25,21,,,,,,,,null,unobtanium,unobtanium
78,,,,,,,,,,2014/06/26,20,,,,,,,,null,unobtanium,unobtanium
79,,,,,,,,,,2014/06/27,16,,,,,,,,null,unobtanium,unobtanium
80,,,,,,,,,,2014/06/28,3,,,,,,,,null,unobtanium,unobtanium
81,,,,,,,,,,2014/06/29,13,,,,,,,,null,unobtanium,unobtanium
82,,,,,,,,,,2014/06/30,4,,,,,,,,403602,unobtanium,unobtanium
83,,,,,,,,,,2014/07/01,2,,,,,,,,443068,unobtanium,unobtanium
84,,,,,,,,,,2014/07/02,17,,,,,,,,403490,unobtanium,unobtanium
85,,,,,,,,,,2014/07/03,16,,,,,,,,377135,unobtanium,unobtanium
86,,,,,,,,,,2014/07/04,14,,,,,,,,371978,unobtanium,unobtanium
87,,,,,,,,,,2014/07/05,3,,,,,,,,382381,unobtanium,unobtanium
88,,,,,,,,,,2014/07/06,3,,,,,,,,368744,unobtanium,unobtanium
89,,,,,,,,,,2014/07/07,7,,,,,,,,393349,unobtanium,unobtanium
90,,,,,,,,,,2014/07/08,6,,,,,,,,390124,unobtanium,unobtanium
91,,,,,,,,,,2014/07/09,9,,,,,,,,364836,unobtanium,unobtanium
92,,,,,,,,,,2014/07/10,9,,,,,,,,348376,unobtanium,unobtanium
93,,,,,,,,,,2014/07/11,7,,,,,,,,335775,unobtanium,unobtanium
94,,,,,,,,,,2014/07/12,15,,,,,,,,315077,unobtanium,unobtanium
95,,,,,,,,,,2014/07/13,8,,,,,,,,325939,unobtanium,unobtanium
96,,,,,,,,,,2014/07/14,11,,,,,,,,291842,unobtanium,unobtanium
97,,,,,,,,,,2014/07/15,8,,,,,,,,287165,unobtanium,unobtanium
98,,,,,,,,,,2014/07/16,14,,,,,,,,291952,unobtanium,unobtanium
99,,,,,,,,,,2014/07/17,37,,,,,,,,315352,unobtanium,unobtanium
100,,,,,,,,,,2014/07/18,1,,,,,,,,382769,unobtanium,unobtanium
101,,,,,,,,,,2014/07/19,null,,,,,,,,396480,unobtanium,unobtanium
102,,,,,,,,,,2014/07/20,11,,,,,,,,355275,unobtanium,unobtanium
103,,,,,,,,,,2014/07/21,7,,,,,,,,327646,unobtanium,unobtanium
104,,,,,,,,,,2014/07/22,13,,,,,,,,318609,unobtanium,unobtanium
105,,,,,,,,,,2014/07/23,10,,,,,,,,336315,unobtanium,unobtanium
106,,,,,,,,,,2014/07/24,14,,,,,,,,377687,unobtanium,unobtanium
107,,,,,,,,,,2014/07/25,10,,,,,,,,378691,unobtanium,unobtanium
108,,,,,,,,,,2014/07/26,26,,,,,,,,373075,unobtanium,unobtanium
109,,,,,,,,,,2014/07/27,10,,,,,,,,408654,unobtanium,unobtanium
110,,,,,,,,,,2014/07/28,17,,,,,,,,436363,unobtanium,unobtanium
111,,,,,,,,,,2014/07/29,6,,,,,,,,412209,unobtanium,unobtanium
112,,,,,,,,,,2014/07/30,18,,,,,,,,527728,unobtanium,unobtanium
113,,,,,,,,,,2014/07/31,9,,,,,,,,582606,unobtanium,unobtanium
114,,,,,,,,,,2014/08/01,8,,,,,,,,575624,unobtanium,unobtanium
115,,,,,,,,,,2014/08/02,6,,,,,,,,550973,unobtanium,unobtanium
116,,,,,,,,,,2014/08/03,1,,,,,,,,530050,unobtanium,unobtanium
117,,,,,,,,,,2014/08/04,1,,,,,,,,487927,unobtanium,unobtanium
118,,,,,,,,,,2014/08/05,19,,,,,,,,477003,unobtanium,unobtanium
119,,,,,,,,,,2014/08/06,6,,,,,,,,518493,unobtanium,unobtanium
120,,,,,,,,,,2014/08/07,2,,,,,,,,515632,unobtanium,unobtanium
121,,,,,,,,,,2014/08/08,12,,,,,,,,498341,unobtanium,unobtanium
122,,,,,,,,,,2014/08/09,13,,,,,,,,462593,unobtanium,unobtanium
123,,,,,,,,,,2014/08/10,null,,,,,,,,459652,unobtanium,unobtanium
124,,,,,,,,,,2014/08/11,16,,,,,,,,451682,unobtanium,unobtanium
125,,,,,,,,,,2014/08/12,21,,,,,,,,438868,unobtanium,unobtanium
126,,,,,,,,,,2014/08/13,5,,,,,,,,425970,unobtanium,unobtanium
127,,,,,,,,,,2014/08/14,7,,,,,,,,400718,unobtanium,unobtanium
128,,,,,,,,,,2014/08/15,7,,,,,,,,393600,unobtanium,unobtanium
129,,,,,,,,,,2014/08/16,5,,,,,,,,383630,unobtanium,unobtanium
130,,,,,,,,,,2014/08/17,1,,,,,,,,381521,unobtanium,unobtanium
131,,,,,,,,,,2014/08/18,3,,,,,,,,374377,unobtanium,unobtanium
132,,,,,,,,,,2014/08/19,2,,,,,,,,347614,unobtanium,unobtanium
133,,,,,,,,,,2014/08/20,12,,,,,,,,343244,unobtanium,unobtanium
134,,,,,,,,,,2014/08/21,null,,,,,,,,356346,unobtanium,unobtanium
135,,,,,,,,,,2014/08/22,null,,,,,,,,358010,unobtanium,unobtanium
136,,,,,,,,,,2014/08/23,null,,,,,,,,364981,unobtanium,unobtanium
