,transactions,sent_addresses,block_size,hashrate,difficulty,mining_profitability,send_usd,av_transaction_size,median_transaction_size,confirmation_time,av_transaction_value,google_trends,median_transaction_value,active_addresses,top_100_percent,fee_reward,date,tweets,market_cap,full_name,coin
0,,,,,,,,,,,,,,,,,2014/05/31,37,130796,vericoin,vericoin
1,,,,,,,,,,,,,,,,,2014/06/01,34,138797,vericoin,vericoin
2,,,,,,,,,,,,,,,,,2014/06/02,17,134020,vericoin,vericoin
3,,,,,,,,,,,,,,,,,2014/06/03,40,138253,vericoin,vericoin
4,,,,,,,,,,,,,,,,,2014/06/04,313,246942,vericoin,vericoin
5,,,,,,,,,,,,,,,,,2014/06/05,461,886747,vericoin,vericoin
6,,,,,,,,,,,,,,,,,2014/06/06,463,1546111,vericoin,vericoin
7,,,,,,,,,,,,,,,,,2014/06/07,780,2231586,vericoin,vericoin
8,,,,,,,,,,,,,,,,,2014/06/08,566,3508589,vericoin,vericoin
9,,,,,,,,,,,,,,,,,2014/06/09,1038,3143076,vericoin,vericoin
10,,,,,,,,,,,,,,,,,2014/06/10,514,3025142,vericoin,vericoin
11,,,,,,,,,,,,,,,,,2014/06/11,388,2699543,vericoin,vericoin
12,,,,,,,,,,,,,,,,,2014/06/12,177,2523472,vericoin,vericoin
13,,,,,,,,,,,,,,,,,2014/06/13,331,2110261,vericoin,vericoin
14,,,,,,,,,,,,,,,,,2014/06/14,157,2027579,vericoin,vericoin
15,,,,,,,,,,,,,,,,,2014/06/15,270,null,vericoin,vericoin
16,,,,,,,,,,,,,,,,,2014/06/16,270,1899083,vericoin,vericoin
17,,,,,,,,,,,,,,,,,2014/06/17,917,2081822,vericoin,vericoin
18,,,,,,,,,,,,,,,,,2014/06/18,432,2204022,vericoin,vericoin
19,,,,,,,,,,,,,,,,,2014/06/19,356,null,vericoin,vericoin
20,,,,,,,,,,,,,,,,,2014/06/20,345,1875966,vericoin,vericoin
21,,,,,,,,,,,,,,,,,2014/06/21,372,1708002,vericoin,vericoin
