,date,difficulty,google_trends,send_usd,av_transaction_size,block_size,median_transaction_value,tweets,av_transaction_value,median_transaction_size,fee_reward,top_100_percent,transactions,confirmation_time,sent_addresses,hashrate,market_cap,active_addresses,mining_profitability,full_name,coin
0,2014/01/09,0.000244,,,,130,,,,,,null,,,,null,,null,,vertcoin,vtc
1,2014/01/10,0.000244,,,,105,,,,,,100,,,,123.684,,2,,vertcoin,vtc
2,2014/01/11,0.00865,,,,153.087,,,,,,44.341,1428,,5358,7265948,,5867,,vertcoin,vtc
3,2014/01/12,0.187,,,,380.999,,,,,,47.679,2279,,2735,55716160,,3611,,vertcoin,vtc
4,2014/01/13,0.611,,,,587.975,,,,,,48.034,1637,,1860,50309875,,2135,,vertcoin,vtc
5,2014/01/14,1.035,,,,682.089,,,,,,54.219,1456,,1761,71122238,,2208,,vertcoin,vtc
6,2014/01/15,1.438,,,,815.203,,,,,,55.879,1744,,2014,60060675,,2707,,vertcoin,vtc
7,2014/01/16,1.733,,,,803.064,,,,,,56.513,1307,,1591,86565438,,2048,,vertcoin,vtc
8,2014/01/17,2.257,,,,653.693,,,,,,56.616,617,,716,55417022,,915,,vertcoin,vtc
9,2014/01/18,2.257,,,,1109,,,,,,58.811,980,,1093,42456271,,1453,,vertcoin,vtc
10,2014/01/19,2.257,,,,812.314,,,,,,58.615,1621,,1744,72041327,,1949,,vertcoin,vtc
11,2014/01/20,2.12,,,,835.683,,,,,,59.296,2593,,2760,95657855,,3099,,vertcoin,vtc
12,2014/01/21,2.725,,,,890.251,,,,,,58.947,2531,,2699,201442479,,3133,,vertcoin,vtc
13,2014/01/22,5.653,,,,1193,,,,,,58.613,2213,,2437,207760632,,2809,,vertcoin,vtc
14,2014/01/23,5.657,,,,1089,,,,,,58.801,2891,,3186,264279005,,3571,,vertcoin,vtc
15,2014/01/24,7.953,,,,1347,,,,,,58.119,3418,,3805,383169252,,4187,,vertcoin,vtc
16,2014/01/25,7.953,,,,1220,,,,,,57.268,3797,,4136,390907013,,4471,,vertcoin,vtc
17,2014/01/26,12.743,,,,1470,,,,,,56.396,1903,,2226,560583129,,2570,,vertcoin,vtc
18,2014/01/27,13.445,,,,1833,,,,,,57.247,1225,,1498,272646702,,1905,,vertcoin,vtc
19,2014/01/28,13.445,,,,1534,,,,,,56.881,1204,,1459,238305709,,1756,,vertcoin,vtc
20,2014/01/29,13.445,,,,1166,,,,,,56.682,1319,,1558,277853215,,1850,,vertcoin,vtc
21,2014/01/30,12.564,,,,1228,,,,,,55.819,1367,,1612,287723915,,1960,,vertcoin,vtc
22,2014/01/31,10.753,,,,1046,,,,,,54.937,1531,,1769,327589881,,2074,,vertcoin,vtc
23,2014/02/01,11.81,,,,1382,,,,,,55.086,1382,,1640,342106582,,2018,,vertcoin,vtc
24,2014/02/02,13.093,,,,1712,,,,,,54.162,1756,,2155,402845476,,2787,,vertcoin,vtc
25,2014/02/03,19.513,,,,2613,,,,,,54.859,2181,,2762,645617307,,3679,,vertcoin,vtc
26,2014/02/04,46.17,,4713622,,4926,227.335,,920.09,,,53.852,5123,,6304,1626334316,9121196,8181,,vertcoin,vtc
27,2014/02/05,104.461,,11072256,,8253,194.038,,1032,,,51.499,10727,,12855,3639131327,9637570,17042,75823,vertcoin,vtc
28,2014/02/06,160.34,,3023326,,6686,150.306,,330.382,,,50.024,9151,,10678,5197891671,8203128,13601,34038,vertcoin,vtc
29,2014/02/07,156.783,,2425423,,6213,138.97,,305.661,,,50.143,7935,,9525,4386476896,7473133,12463,29552,vertcoin,vtc
30,2014/02/08,138.396,,1605469,,6536,105.159,,197.305,,,49.72,8137,,9409,3644636138,5971764,12297,29423,vertcoin,vtc
31,2014/02/09,123.102,,1463435,,6112,98.825,,180.137,,,48.998,8124,,9383,3256300019,6208848,12308,29160,vertcoin,vtc
32,2014/02/10,119.843,,1325971,,5427,101.668,,164.329,,,48.243,8069,,9260,3437872699,5893751,12064,31794,vertcoin,vtc
33,2014/02/11,128.599,,1183679,,5740,97.856,,152.735,,,47.782,7808,,9060,3939348026,5823318,11813,26699,vertcoin,vtc
34,2014/02/12,128.936,,1006951,,5258,85.032,,138.001,,,47.65,7325,,8607,3694393081,4866836,11225,23277,vertcoin,vtc
35,2014/02/13,129.069,,1007636,,4873,80.28,,149.191,,,47.126,6754,,7968,3683732283,4699223,10494,19346,vertcoin,vtc
36,2014/02/14,116.109,,753604,,5786,68.854,,116.17,,,47.185,6512,,7671,3055909730,4026564,10189,17714,vertcoin,vtc
37,2014/02/15,90.558,,707102,,5255,69.241,,109.239,,,46.608,6473,,7589,2374238402,4299516,10003,26965,vertcoin,vtc
38,2014/02/16,88.08,,662517,,5760,58.091,,97.818,,,46.339,6886,,7943,2535310052,3634616,10548,26922,vertcoin,vtc
39,2014/02/17,92.777,,503980,,6164,47.485,,76.883,,,46.387,6563,,7556,2816153001,2992493,10314,17629,vertcoin,vtc
40,2014/02/18,79.611,,569775,,6681,40.837,,93.528,,,46.483,6092,,6978,2062144649,2671849,9605,19440,vertcoin,vtc
41,2014/02/19,87.401,,826670,,7330,66.538,,112.275,,,46.726,7381,,8286,2650556772,4257501,11642,24323,vertcoin,vtc
42,2014/02/20,122.092,,938172,,6311,60.637,,123.851,,,46.072,7575,,8688,3952183964,3873109,11751,17485,vertcoin,vtc
43,2014/02/21,139.723,,641591,,5560,55.694,,91.828,,,45.465,6991,,8106,4343258939,3600344,10815,13039,vertcoin,vtc
44,2014/02/22,137.23,,533768,,5632,56.163,,82.335,,,44.819,6512,,7552,3859015531,3812925,10175,14349,vertcoin,vtc
45,2014/02/23,136.99,,427979,,6477,53.789,,65.073,,,44.22,6591,,7539,3930370894,3729597,10276,14233,vertcoin,vtc
46,2014/02/24,138.362,,423969,,5998,48.619,,70.368,,,43.779,6076,,6973,4013571388,3365281,9586,11152,vertcoin,vtc
