,transactions,fee_reward,sent_addresses,block_size,hashrate,median_transaction_size,av_transaction_value,date,tweets,top_100_percent,mining_profitability,difficulty,send_usd,av_transaction_size,google_trends,confirmation_time,median_transaction_value,active_addresses,market_cap,full_name,coin
0,,,,,,,,2014/07/21,133,,,,,,,,,,1156566,viacoin,viacoin
1,,,,,,,,2014/07/22,63,,,,,,,,,,1259817,viacoin,viacoin
2,,,,,,,,2014/07/23,39,,,,,,,,,,1094651,viacoin,viacoin
3,,,,,,,,2014/07/24,27,,,,,,,,,,972223,viacoin,viacoin
4,,,,,,,,2014/07/25,74,,,,,,,,,,1126016,viacoin,viacoin
5,,,,,,,,2014/07/26,39,,,,,,,,,,1175049,viacoin,viacoin
6,,,,,,,,2014/07/27,48,,,,,,,,,,1374562,viacoin,viacoin
7,,,,,,,,2014/07/28,33,,,,,,,,,,1425742,viacoin,viacoin
8,,,,,,,,2014/07/29,36,,,,,,,,,,1364504,viacoin,viacoin
9,,,,,,,,2014/07/30,38,,,,,,,,,,1428509,viacoin,viacoin
10,,,,,,,,2014/07/31,193,,,,,,,,,,1727217,viacoin,viacoin
11,,,,,,,,2014/08/01,101,,,,,,,,,,2369998,viacoin,viacoin
12,,,,,,,,2014/08/02,21,,,,,,,,,,2165285,viacoin,viacoin
13,,,,,,,,2014/08/03,40,,,,,,,,,,2055227,viacoin,viacoin
14,,,,,,,,2014/08/04,68,,,,,,,,,,2038969,viacoin,viacoin
15,,,,,,,,2014/08/05,65,,,,,,,,,,2130079,viacoin,viacoin
16,,,,,,,,2014/08/06,52,,,,,,,,,,2246279,viacoin,viacoin
17,,,,,,,,2014/08/07,38,,,,,,,,,,2357832,viacoin,viacoin
18,,,,,,,,2014/08/08,34,,,,,,,,,,2405296,viacoin,viacoin
19,,,,,,,,2014/08/09,86,,,,,,,,,,2859786,viacoin,viacoin
20,,,,,,,,2014/08/10,26,,,,,,,,,,3020026,viacoin,viacoin
21,,,,,,,,2014/08/11,58,,,,,,,,,,3218733,viacoin,viacoin
22,,,,,,,,2014/08/12,67,,,,,,,,,,3611242,viacoin,viacoin
23,,,,,,,,2014/08/13,62,,,,,,,,,,3509453,viacoin,viacoin
24,,,,,,,,2014/08/14,60,,,,,,,,,,2510878,viacoin,viacoin
25,,,,,,,,2014/08/15,77,,,,,,,,,,2211053,viacoin,viacoin
26,,,,,,,,2014/08/16,88,,,,,,,,,,1860247,viacoin,viacoin
27,,,,,,,,2014/08/17,99,,,,,,,,,,1659778,viacoin,viacoin
28,,,,,,,,2014/08/18,81,,,,,,,,,,1811452,viacoin,viacoin
29,,,,,,,,2014/08/19,53,,,,,,,,,,1698071,viacoin,viacoin
30,,,,,,,,2014/08/20,81,,,,,,,,,,1585339,viacoin,viacoin
31,,,,,,,,2014/08/21,61,,,,,,,,,,1771730,viacoin,viacoin
32,,,,,,,,2014/08/22,28,,,,,,,,,,1697730,viacoin,viacoin
33,,,,,,,,2014/08/23,34,,,,,,,,,,1610147,viacoin,viacoin
34,,,,,,,,2014/08/24,34,,,,,,,,,,1482230,viacoin,viacoin
35,,,,,,,,2014/08/25,46,,,,,,,,,,1501454,viacoin,viacoin
36,,,,,,,,2014/08/26,20,,,,,,,,,,1440936,viacoin,viacoin
37,,,,,,,,2014/08/27,59,,,,,,,,,,1232796,viacoin,viacoin
38,,,,,,,,2014/08/28,53,,,,,,,,,,1473818,viacoin,viacoin
39,,,,,,,,2014/08/29,74,,,,,,,,,,1486059,viacoin,viacoin
40,,,,,,,,2014/08/30,25,,,,,,,,,,1385809,viacoin,viacoin
41,,,,,,,,2014/08/31,6,,,,,,,,,,1375759,viacoin,viacoin
42,,,,,,,,2014/09/01,12,,,,,,,,,,1331701,viacoin,viacoin
43,,,,,,,,2014/09/02,93,,,,,,,,,,1694794,viacoin,viacoin
44,,,,,,,,2014/09/03,154,,,,,,,,,,2138959,viacoin,viacoin
45,,,,,,,,2014/09/04,58,,,,,,,,,,2320293,viacoin,viacoin
46,,,,,,,,2014/09/05,90,,,,,,,,,,2218432,viacoin,viacoin
47,,,,,,,,2014/09/06,62,,,,,,,,,,2197595,viacoin,viacoin
48,,,,,,,,2014/09/07,35,,,,,,,,,,2208444,viacoin,viacoin
49,,,,,,,,2014/09/08,93,,,,,,,,,,2097797,viacoin,viacoin
50,,,,,,,,2014/09/09,43,,,,,,,,,,2149449,viacoin,viacoin
51,,,,,,,,2014/09/10,12,,,,,,,,,,1925883,viacoin,viacoin
52,,,,,,,,2014/09/11,14,,,,,,,,,,1846485,viacoin,viacoin
53,,,,,,,,2014/09/12,36,,,,,,,,,,1880206,viacoin,viacoin
54,,,,,,,,2014/09/13,49,,,,,,,,,,1834695,viacoin,viacoin
55,,,,,,,,2014/09/14,12,,,,,,,,,,1846723,viacoin,viacoin
56,,,,,,,,2014/09/15,42,,,,,,,,,,1874407,viacoin,viacoin
57,,,,,,,,2014/09/16,59,,,,,,,,,,1779827,viacoin,viacoin
58,,,,,,,,2014/09/17,39,,,,,,,,,,1823213,viacoin,viacoin
59,,,,,,,,2014/09/18,28,,,,,,,,,,1658840,viacoin,viacoin
60,,,,,,,,2014/09/19,17,,,,,,,,,,1523091,viacoin,viacoin
61,,,,,,,,2014/09/20,52,,,,,,,,,,1371504,viacoin,viacoin
62,,,,,,,,2014/09/21,15,,,,,,,,,,1357778,viacoin,viacoin
63,,,,,,,,2014/09/22,10,,,,,,,,,,1324025,viacoin,viacoin
64,,,,,,,,2014/09/23,16,,,,,,,,,,1374127,viacoin,viacoin
65,,,,,,,,2014/09/24,14,,,,,,,,,,1451445,viacoin,viacoin
66,,,,,,,,2014/09/25,23,,,,,,,,,,1449272,viacoin,viacoin
67,,,,,,,,2014/09/26,8,,,,,,,,,,1445701,viacoin,viacoin
68,,,,,,,,2014/09/27,18,,,,,,,,,,1406374,viacoin,viacoin
69,,,,,,,,2014/09/28,28,,,,,,,,,,1323079,viacoin,viacoin
70,,,,,,,,2014/09/29,38,,,,,,,,,,1183167,viacoin,viacoin
71,,,,,,,,2014/09/30,23,,,,,,,,,,1144901,viacoin,viacoin
72,,,,,,,,2014/10/01,19,,,,,,,,,,1184090,viacoin,viacoin
73,,,,,,,,2014/10/02,30,,,,,,,,,,1120979,viacoin,viacoin
74,,,,,,,,2014/10/03,23,,,,,,,,,,1082901,viacoin,viacoin
75,,,,,,,,2014/10/04,7,,,,,,,,,,992739,viacoin,viacoin
76,,,,,,,,2014/10/05,16,,,,,,,,,,872412,viacoin,viacoin
77,,,,,,,,2014/10/06,18,,,,,,,,,,855886,viacoin,viacoin
78,,,,,,,,2014/10/07,21,,,,,,,,,,888634,viacoin,viacoin
79,,,,,,,,2014/10/08,23,,,,,,,,,,884706,viacoin,viacoin
80,,,,,,,,2014/10/09,15,,,,,,,,,,946934,viacoin,viacoin
81,,,,,,,,2014/10/10,41,,,,,,,,,,965346,viacoin,viacoin
82,,,,,,,,2014/10/11,11,,,,,,,,,,978493,viacoin,viacoin
83,,,,,,,,2014/10/12,2,,,,,,,,,,967276,viacoin,viacoin
