,transactions,top_100_percent,fee_reward,block_size,sent_addresses,mining_profitability,av_transaction_size,send_usd,hashrate,median_transaction_size,confirmation_time,date,tweets,median_transaction_value,difficulty,active_addresses,google_trends,av_transaction_value,market_cap,full_name,coin
0,,,,,,,,,,,,2017/04/19,1,,,,,,269442,whitecoin,whitecoin
1,,,,,,,,,,,,2017/04/20,4,,,,,,251724,whitecoin,whitecoin
2,,,,,,,,,,,,2017/04/21,null,,,,,,245588,whitecoin,whitecoin
3,,,,,,,,,,,,2017/04/22,1,,,,,,257384,whitecoin,whitecoin
4,,,,,,,,,,,,2017/04/23,null,,,,,,265396,whitecoin,whitecoin
5,,,,,,,,,,,,2017/04/24,null,,,,,,252430,whitecoin,whitecoin
6,,,,,,,,,,,,2017/04/25,null,,,,,,255921,whitecoin,whitecoin
7,,,,,,,,,,,,2017/04/26,null,,,,,,268570,whitecoin,whitecoin
8,,,,,,,,,,,,2017/04/27,null,,,,,,239479,whitecoin,whitecoin
9,,,,,,,,,,,,2017/04/28,null,,,,,,249196,whitecoin,whitecoin
10,,,,,,,,,,,,2017/04/29,null,,,,,,247365,whitecoin,whitecoin
11,,,,,,,,,,,,2017/04/30,null,,,,,,241444,whitecoin,whitecoin
12,,,,,,,,,,,,2017/05/01,null,,,,,,247136,whitecoin,whitecoin
13,,,,,,,,,,,,2017/05/02,null,,,,,,248204,whitecoin,whitecoin
14,,,,,,,,,,,,2017/05/03,null,,,,,,259288,whitecoin,whitecoin
15,,,,,,,,,,,,2017/05/04,null,,,,,,244700,whitecoin,whitecoin
16,,,,,,,,,,,,2017/05/05,null,,,,,,241226,whitecoin,whitecoin
17,,,,,,,,,,,,2017/05/06,null,,,,,,254454,whitecoin,whitecoin
18,,,,,,,,,,,,2017/05/07,1,,,,,,260200,whitecoin,whitecoin
19,,,,,,,,,,,,2017/05/08,null,,,,,,273792,whitecoin,whitecoin
20,,,,,,,,,,,,2017/05/09,null,,,,,,292717,whitecoin,whitecoin
21,,,,,,,,,,,,2017/05/10,null,,,,,,288544,whitecoin,whitecoin
22,,,,,,,,,,,,2017/05/11,null,,,,,,276623,whitecoin,whitecoin
23,,,,,,,,,,,,2017/05/12,1,,,,,,296349,whitecoin,whitecoin
24,,,,,,,,,,,,2017/05/13,null,,,,,,300738,whitecoin,whitecoin
25,,,,,,,,,,,,2017/05/14,null,,,,,,315952,whitecoin,whitecoin
26,,,,,,,,,,,,2017/05/15,2,,,,,,416401,whitecoin,whitecoin
27,,,,,,,,,,,,2017/05/16,null,,,,,,590075,whitecoin,whitecoin
28,,,,,,,,,,,,2017/05/17,2,,,,,,476843,whitecoin,whitecoin
29,,,,,,,,,,,,2017/05/18,1,,,,,,499665,whitecoin,whitecoin
30,,,,,,,,,,,,2017/05/19,3,,,,,,566994,whitecoin,whitecoin
31,,,,,,,,,,,,2017/05/20,2,,,,,,636497,whitecoin,whitecoin
32,,,,,,,,,,,,2017/05/21,1,,,,,,736215,whitecoin,whitecoin
33,,,,,,,,,,,,2017/05/22,10,,,,,,725725,whitecoin,whitecoin
34,,,,,,,,,,,,2017/05/23,null,,,,,,570557,whitecoin,whitecoin
35,,,,,,,,,,,,2017/05/24,3,,,,,,652437,whitecoin,whitecoin
36,,,,,,,,,,,,2017/05/25,null,,,,,,704370,whitecoin,whitecoin
37,,,,,,,,,,,,2017/05/26,null,,,,,,661335,whitecoin,whitecoin
38,,,,,,,,,,,,2017/05/27,null,,,,,,559415,whitecoin,whitecoin
39,,,,,,,,,,,,2017/05/28,null,,,,,,608403,whitecoin,whitecoin
40,,,,,,,,,,,,2017/05/29,null,,,,,,711493,whitecoin,whitecoin
41,,,,,,,,,,,,2017/05/30,3,,,,,,null,whitecoin,whitecoin
42,,,,,,,,,,,,2017/05/31,null,,,,,,null,whitecoin,whitecoin
43,,,,,,,,,,,,2017/06/01,null,,,,,,1048510,whitecoin,whitecoin
