,date,block_size,median_transaction_size,median_transaction_value,market_cap,hashrate,top_100_percent,transactions,active_addresses,fee_reward,sent_addresses,tweets,difficulty,confirmation_time,send_usd,av_transaction_value,google_trends,mining_profitability,av_transaction_size,full_name,coin
0,2009/01/03,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
1,2009/01/04,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
2,2009/01/05,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
3,2009/01/06,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
4,2009/01/07,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
5,2009/01/08,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
6,2009/01/09,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
7,2009/01/10,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
8,2009/01/11,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
9,2009/01/12,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
10,2009/01/13,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
11,2009/01/14,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
12,2009/01/15,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
13,2009/01/16,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
14,2009/01/17,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
15,2009/01/18,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
16,2009/01/19,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
17,2009/01/20,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
18,2009/01/21,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
19,2009/01/22,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
20,2009/01/23,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
21,2009/01/24,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
22,2009/01/25,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
23,2009/01/26,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
24,2009/01/27,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
25,2009/01/28,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
26,2009/01/29,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
27,2009/01/30,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
28,2009/01/31,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
29,2009/02/01,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
30,2009/02/02,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
31,2009/02/03,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
32,2009/02/04,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
