,top_100_percent,send_usd,mining_profitability,date,market_cap,av_transaction_size,median_transaction_size,tweets,median_transaction_value,av_transaction_value,sent_addresses,transactions,confirmation_time,block_size,hashrate,active_addresses,google_trends,fee_reward,difficulty,full_name,coin
0,,,,2013/08/04,45921033,,,,,,,43252,,,,,,,,xrp,xrp
1,,,,2013/08/05,44191247,,,,,,,47710,,,,,,,,xrp,xrp
2,,,,2013/08/06,36500632,,,,,,,51098,,,,,,,,xrp,xrp
3,,,,2013/08/07,35071444,,,,,,,43304,,,,,,,,xrp,xrp
4,,,,2013/08/08,32800191,,,,,,,79082,,,,,,,,xrp,xrp
5,,,,2013/08/09,33440085,,,,,,,87432,,,,,,,,xrp,xrp
6,,,,2013/08/10,33760306,,,,,,,98288,,,,,,,,xrp,xrp
7,,,,2013/08/11,34180439,,,,,,,72814,,,,,,,,xrp,xrp
8,,,,2013/08/12,34374714,,,,,,,62230,,,,,,,,xrp,xrp
9,,,,2013/08/13,33050910,,,,,,,61118,,,,,,,,xrp,xrp
10,,,,2013/08/14,30066587,,,,,,,70926,,,,,,,,xrp,xrp
11,,,,2013/08/15,26014497,,,,,,,67344,,,,,,,,xrp,xrp
12,,,,2013/08/16,22682043,,,,,,,65816,,,,,,,,xrp,xrp
13,,,,2013/08/17,42960946,,,,,,,73392,,,,,,,,xrp,xrp
14,,,,2013/08/18,48452466,,,,,,,73956,,,,,,,,xrp,xrp
15,,,,2013/08/19,43465590,,,,,,,59896,,,,,,,,xrp,xrp
16,,,,2013/08/20,47382744,,,,,,,52780,,,,,,,,xrp,xrp
17,,,,2013/08/21,49550332,,,,,,,55674,,,,,,,,xrp,xrp
18,,,,2013/08/22,46650130,,,,,,,58284,,,,,,,,xrp,xrp
19,,,,2013/08/23,40146427,,,,,,,66758,,,,,,,,xrp,xrp
20,,,,2013/08/24,43217138,,,,,,,65524,,,,,,,,xrp,xrp
21,,,,2013/08/25,47687016,,,,,,,68316,,,,,,,,xrp,xrp
22,,,,2013/08/26,50549693,,,,,,,74102,,,,,,,,xrp,xrp
23,,,,2013/08/27,50190696,,,,,,,84728,,,,,,,,xrp,xrp
24,,,,2013/08/28,49634296,,,,,,,75560,,,,,,,,xrp,xrp
25,,,,2013/08/29,45500274,,,,,,,68320,,,,,,,,xrp,xrp
26,,,,2013/08/30,47259300,,,,,,,70144,,,,,,,,xrp,xrp
27,,,,2013/08/31,45838867,,,,,,,63492,,,,,,,,xrp,xrp
28,,,,2013/09/01,45348764,,,,,,,57500,,,,,,,,xrp,xrp
29,,,,2013/09/02,43992204,,,,,,,50944,,,,,,,,xrp,xrp
30,,,,2013/09/03,44351826,,,,,,,61994,,,,,,,,xrp,xrp
31,,,,2013/09/04,43600371,,,,,,,58222,,,,,,,,xrp,xrp
32,,,,2013/09/05,45645765,,,,,,,58528,,,,,,,,xrp,xrp
33,,,,2013/09/06,46212328,,,,,,,77332,,,,,,,,xrp,xrp
34,,,,2013/09/07,48377102,,,,,,,89504,,,,,,,,xrp,xrp
35,,,,2013/09/08,48020449,,,,,,,93774,,,,,,,,xrp,xrp
36,,,,2013/09/09,48383434,,,,,,,91942,,,,,,,,xrp,xrp
37,,,,2013/09/10,45765614,,,,,,,93540,,,,,,,,xrp,xrp
38,,,,2013/09/11,47544184,,,,,,,98368,,,,,,,,xrp,xrp
39,,,,2013/09/12,50239557,,,,,,,92004,,,,,,,,xrp,xrp
40,,,,2013/09/13,51511294,,,,,,,94404,,,,,,,,xrp,xrp
41,,,,2013/09/14,49575975,,,,,,,81546,,,,,,,,xrp,xrp
42,,,,2013/09/15,50264340,,,,,,,92560,,,,,,,,xrp,xrp
43,,,,2013/09/16,55062805,,,,,,,106796,,,,,,,,xrp,xrp
44,,,,2013/09/17,75130077,,,,,,,108590,,,,,,,,xrp,xrp
45,,,,2013/09/18,84795959,,,,,,,104582,,,,,,,,xrp,xrp
46,,,,2013/09/19,86948224,,,,,,,99972,,,,,,,,xrp,xrp
47,,,,2013/09/20,79067791,,,,,,,83898,,,,,,,,xrp,xrp
48,,,,2013/09/21,76186743,,,,,,,43014,,,,,,,,xrp,xrp
49,,,,2013/09/22,81312308,,,,,,,94136,,,,,,,,xrp,xrp
50,,,,2013/09/23,78329783,,,,,,,90092,,,,,,,,xrp,xrp
51,,,,2013/09/24,81564044,,,,,,,85550,,,,,,,,xrp,xrp
52,,,,2013/09/25,82790671,,,,,,,88844,,,,,,,,xrp,xrp
53,,,,2013/09/26,91281681,,,,,,,86084,,,,,,,,xrp,xrp
54,,,,2013/09/27,null,,,,,,,94444,,,,,,,,xrp,xrp
55,,,,2013/09/28,112162483,,,,,,,79790,,,,,,,,xrp,xrp
56,,,,2013/09/29,110548870,,,,,,,102452,,,,,,,,xrp,xrp
57,,,,2013/09/30,86316539,,,,,,,103224,,,,,,,,xrp,xrp
58,,,,2013/10/01,93320586,,,,,,,86948,,,,,,,,xrp,xrp
59,,,,2013/10/02,72752735,,,,,,,78820,,,,,,,,xrp,xrp
60,,,,2013/10/03,65677466,,,,,,,93338,,,,,,,,xrp,xrp
61,,,,2013/10/04,74011102,,,,,,,90674,,,,,,,,xrp,xrp
62,,,,2013/10/05,72546108,,,,,,,61738,,,,,,,,xrp,xrp
63,,,,2013/10/06,81112951,,,,,,,91930,,,,,,,,xrp,xrp
64,,,,2013/10/07,72946618,,,,,,,98360,,,,,,,,xrp,xrp
65,,,,2013/10/08,75980350,,,,,,,95676,,,,,,,,xrp,xrp
66,,,,2013/10/09,73814013,,,,,,,96002,,,,,,,,xrp,xrp
67,,,,2013/10/10,78874690,,,,,,,75108,,,,,,,,xrp,xrp
68,,,,2013/10/11,70884650,,,,,,,97396,,,,,,,,xrp,xrp
69,,,,2013/10/12,69705556,,,,,,,85958,,,,,,,,xrp,xrp
70,,,,2013/10/13,69521601,,,,,,,89142,,,,,,,,xrp,xrp
71,,,,2013/10/14,66755710,,,,,,,97738,,,,,,,,xrp,xrp
72,,,,2013/10/15,62441407,,,,,,,89714,,,,,,,,xrp,xrp
73,,,,2013/10/16,59296583,,,,,,,78716,,,,,,,,xrp,xrp
74,,,,2013/10/17,60702161,,,,,,,84664,,,,,,,,xrp,xrp
75,,,,2013/10/18,60722253,,,,,,,94542,,,,,,,,xrp,xrp
76,,,,2013/10/19,57015166,,,,,,,97178,,,,,,,,xrp,xrp
77,,,,2013/10/20,58871211,,,,,,,95562,,,,,,,,xrp,xrp
78,,,,2013/10/21,52705945,,,,,,,94936,,,,,,,,xrp,xrp
79,,,,2013/10/22,53040786,,,,,,,94786,,,,,,,,xrp,xrp
80,,,,2013/10/23,58085357,,,,,,,76820,,,,,,,,xrp,xrp
81,,,,2013/10/24,68235792,,,,,,,95656,,,,,,,,xrp,xrp
82,,,,2013/10/25,54255686,,,,,,,71508,,,,,,,,xrp,xrp
83,,,,2013/10/26,49308290,,,,,,,84438,,,,,,,,xrp,xrp
84,,,,2013/10/27,51948626,,,,,,,96276,,,,,,,,xrp,xrp
85,,,,2013/10/28,49468479,,,,,,,90552,,,,,,,,xrp,xrp
