,date,transactions,difficulty,top_100_percent,av_transaction_value,median_transaction_value,send_usd,confirmation_time,sent_addresses,google_trends,market_cap,active_addresses,hashrate,median_transaction_size,fee_reward,block_size,mining_profitability,av_transaction_size,tweets,full_name,coin
0,2009/01/03,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
1,2009/01/04,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
2,2009/01/05,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
3,2009/01/06,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
4,2009/01/07,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
5,2009/01/08,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
6,2009/01/09,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
7,2009/01/10,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
8,2009/01/11,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
9,2009/01/12,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
10,2009/01/13,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
11,2009/01/14,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
12,2009/01/15,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
13,2009/01/16,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
14,2009/01/17,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
15,2009/01/18,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
16,2009/01/19,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
17,2009/01/20,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
18,2009/01/21,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
19,2009/01/22,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
20,2009/01/23,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
21,2009/01/24,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
22,2009/01/25,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
23,2009/01/26,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
24,2009/01/27,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
25,2009/01/28,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
26,2009/01/29,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
27,2009/01/30,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
28,2009/01/31,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
29,2009/02/01,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
30,2009/02/02,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
31,2009/02/03,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
32,2009/02/04,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
33,2009/02/05,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
34,2009/02/06,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
35,2009/02/07,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
36,2009/02/08,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
37,2009/02/09,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
38,2009/02/10,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
39,2009/02/11,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
40,2009/02/12,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
41,2009/02/13,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
42,2009/02/14,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
43,2009/02/15,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
44,2009/02/16,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
45,2009/02/17,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
46,2009/02/18,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
