,date,block_size,sent_addresses,av_transaction_size,confirmation_time,top_100_percent,median_transaction_size,av_transaction_value,median_transaction_value,hashrate,mining_profitability,tweets,active_addresses,transactions,difficulty,market_cap,google_trends,fee_reward,send_usd,full_name,coin
0,2016/10/28,379.573,871,,,,,6984,,184242,,,,1036,3084,12731880,,,7235622,zcash,zec
1,2016/10/29,2216,7482,,,,,1629,,1659610,,,,5974,28789,2734644,,,9734413,zcash,zec
2,2016/10/30,3759,11279,,,,,490.979,341.745,2729573,,,,7784,49127,1042296,,,3821783,zcash,zec
3,2016/10/31,4179,11499,,,,,940.519,548.398,2909904,,,,6416,52373,1367433,,,6034369,zcash,zec
4,2016/11/01,4781,13260,,,,,1660,null,4031102,379.447,,,6169,73176,4395468,,,10237835,zcash,zec
5,2016/11/02,5627,16403,,,,,1128,892.419,4791615,257.733,,,7494,88351,4199354,,,8452532,zcash,zec
6,2016/11/03,6131,17145,,,,,1224,782.641,5569321,230.647,,,7416,102690,5008837,,,9080384,zcash,zec
7,2016/11/04,6978,18327,,,,,715.046,614.72,6969051,168.273,,,7794,125430,5060896,,,5573070,zcash,zec
8,2016/11/05,7802,15653,,,,,415.667,143.179,8995731,107.076,,,4504,163863,4696771,,,1872165,zcash,zec
9,2016/11/06,8446,15025,,,,,381.923,31.744,9863857,87.024,,,3756,182194,4650418,,,1434503,zcash,zec
10,2016/11/07,8563,15454,,,,,609.035,114.832,8979137,70.683,,,4308,163844,3720352,,,2623724,zcash,zec
11,2016/11/08,7268,13780,,,,,258.308,55.282,9047845,56.516,,,3595,167122,3279489,,,928618,zcash,zec
12,2016/11/09,7828,13500,,,,,442.861,66.795,9412243,71.428,,,3422,175699,4694899,,,1515472,zcash,zec
13,2016/11/10,6823,13375,,,,,466.381,92.301,11631666,56.277,,,3011,213353,4823870,,,1404275,zcash,zec
14,2016/11/11,8235,13781,,,,,315.708,76.658,12529935,49.032,,,3051,225900,4760009,,,963225,zcash,zec
15,2016/11/12,13701,12977,,,,,298.501,81.367,13491758,38.183,,,3010,250963,4376454,,,898489,zcash,zec
16,2016/11/13,20412,12778,,,,,239.224,109.024,12394654,35.683,,,3169,225000,3886361,,,758101,zcash,zec
17,2016/11/14,14427,12630,,,,,256.72,102.352,16849126,22.927,,,3277,307449,3604983,,,841271,zcash,zec
18,2016/11/15,14535,12269,,,,,233.131,79.104,18175518,24.196,,,3092,326567,4257081,,,720840,zcash,zec
19,2016/11/16,27767,12047,,,,,318.057,143.782,22389229,18.757,,,2986,421672,4463769,,,949717,zcash,zec
20,2016/11/17,83006,12045,,,,,225.972,181.406,23593046,17.054,,,3816,421751,4264908,,,862311,zcash,zec
21,2016/11/18,87181,11484,,,,,234.335,173.727,21852127,15.851,,,3648,410823,4028374,,,854855,zcash,zec
22,2016/11/19,65959,11140,,,,,186.806,153.207,22845474,13.657,,,3502,418313,3693873,,,654195,zcash,zec
23,2016/11/20,48155,10248,,,,,181.332,142.902,27046340,11.272,,,3194,499570,3796318,,,579174,zcash,zec
24,2016/11/21,9970,9107,,,,,161.517,41.304,24606760,11.873,,,2646,446686,3718996,,,427373,zcash,zec
25,2016/11/22,10260,9443,,,,,190.279,41.659,24202049,12.558,,,2579,451780,4131099,,,490730,zcash,zec
26,2016/11/23,11049,10361,,,,,255.731,46.937,27452070,13.63,,,2791,496627,5117067,,,713745,zcash,zec
27,2016/11/24,11910,11109,,,,,278.805,85.255,34632241,13.925,,,3158,621194,6781387,,,880466,zcash,zec
28,2016/11/25,13171,13523,,,,,446.547,103.652,39641684,14.246,,,2890,739993,8537767,,,1290521,zcash,zec
29,2016/11/26,11805,11254,,,,,294.695,98.102,39832770,12.543,,,2770,738333,7751305,,,816305,zcash,zec
30,2016/11/27,31393,11049,,,,,252.849,122.241,39167783,11.832,,,3075,720938,7370378,,,777510,zcash,zec
31,2016/11/28,10640,11576,,,,,268.136,84.518,42248519,10.704,,,2575,765618,7310491,,,690450,zcash,zec
32,2016/11/29,31033,11021,,,,,286.225,177.505,42605944,11.127,,,2871,780138,7977446,,,821752,zcash,zec
33,2016/11/30,11689,12850,,,,,315.217,109.789,43881140,10.77,,,2456,820583,8356168,,,774174,zcash,zec
34,2016/12/01,12568,13290,,,,,338.184,118.251,44997609,10.366,,,2547,815437,8249411,,,861355,zcash,zec
35,2016/12/02,13025,13576,,,,,345.575,135.286,49088300,8.82,,,2627,913101,8254583,,,907826,zcash,zec
36,2016/12/03,50106,13273,,,,,252.188,213.742,48515669,8.668,,,2921,892999,8352686,,,736641,zcash,zec
37,2016/12/04,11722,13206,,,,,286.429,129.863,47670835,8.809,,,2318,874397,8733249,,,663943,zcash,zec
38,2016/12/05,28653,13488,,,,,416.975,193.444,48418395,8.075,,,2765,900640,8636356,,,1152936,zcash,zec
39,2016/12/06,24710,12983,,,,,311.086,191.971,44877784,8.052,,,2663,813265,8137594,,,828422,zcash,zec
40,2016/12/07,11482,13131,,,,,256.288,75.553,49133926,7.36,,,2489,910737,8691276,,,637900,zcash,zec
41,2016/12/08,11291,13156,,,,,254.147,98.245,51731645,7.532,,,2372,945593,9624742,,,602837,zcash,zec
42,2016/12/09,11374,12939,,,,,242.869,97.564,50848617,7.084,,,2267,944180,9399125,,,550584,zcash,zec
43,2016/12/10,11090,12664,,,,,227.069,93.939,50541972,6.97,,,2217,925451,9416506,,,503412,zcash,zec
44,2016/12/11,19586,12811,,,,,341.857,139.788,50530107,6.852,,,2282,934973,9699500,,,780117,zcash,zec
45,2016/12/12,10158,12844,,,,,263.548,98.506,50684740,6.876,,,2191,934555,10076871,,,577434,zcash,zec
46,2016/12/13,11469,13059,,,,,256.529,103.255,49135757,7.068,,,2356,899703,10318823,,,604383,zcash,zec
47,2016/12/14,11246,12805,,,,,553.58,183.301,52347332,6.122,,,2380,963527,9893409,,,1317522,zcash,zec
48,2016/12/15,10476,12768,,,,,295.841,98.062,48225178,6.204,,,2317,895466,9617102,,,685464,zcash,zec
49,2016/12/16,10512,12053,,,,,249.693,121.47,48619658,5.882,,,2126,901205,9462426,,,530848,zcash,zec
50,2016/12/17,9729,11557,,,,,249.735,81.994,46164441,5.765,,,2129,848241,8995330,,,531686,zcash,zec
51,2016/12/18,9282,9195,,,,,247.018,113.078,46090078,5.644,,,2007,845402,9036027,,,495764,zcash,zec
52,2016/12/19,14042,12022,,,,,331.617,125.997,46018985,5.317,,,2204,865163,8957139,,,730884,zcash,zec
53,2016/12/20,14002,12083,,,,,339.263,136.925,45391411,5.891,,,2449,823989,9718249,,,830856,zcash,zec
54,2016/12/21,13111,12284,,,,,329.308,156.572,47651476,5.442,,,2640,875565,9799941,,,869374,zcash,zec
55,2016/12/22,10944,12974,,,,,345.654,139.022,48723215,6.208,,,2508,875430,11478910,,,866901,zcash,zec
56,2016/12/23,10971,14015,,,,,366.243,153.314,56580796,6.598,,,2750,1036025,14811429,,,1007167,zcash,zec
57,2016/12/24,10912,13726,,,,,284.473,114.029,55360316,6.057,,,2266,1052033,14142364,,,644616,zcash,zec
