,date,active_addresses,sent_addresses,block_size,transactions,median_transaction_size,mining_profitability,google_trends,difficulty,send_usd,hashrate,fee_reward,av_transaction_value,top_100_percent,median_transaction_value,av_transaction_size,market_cap,tweets,confirmation_time,full_name,coin
0,2009/01/03,nullnullnull,,204nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
1,2009/01/04,nullnullnull,,nullnullnull,nullnullnull,,,,nullnullnull,,,,,,,,,,,zetacoin,zetacoin
2,2009/01/05,nullnullnull,,nullnullnull,nullnullnull,,,,nullnullnull,,,,,,,,,,,zetacoin,zetacoin
3,2009/01/06,nullnullnull,,nullnullnull,nullnullnull,,,,nullnullnull,,,,,,,,,,,zetacoin,zetacoin
4,2009/01/07,nullnullnull,,nullnullnull,nullnullnull,,,,nullnullnull,,,,,,,,,,,zetacoin,zetacoin
5,2009/01/08,nullnullnull,,nullnullnull,nullnullnull,,,,nullnullnull,,,,,,,,,,,zetacoin,zetacoin
6,2009/01/09,14nullnull,1nullnull,134nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
7,2009/01/10,61nullnull,nullnullnull,134.23nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
8,2009/01/11,93nullnull,1nullnull,134.409nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
9,2009/01/12,102nullnull,7nullnull,153.372nullnull,7nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
10,2009/01/13,123nullnull,10nullnull,134.667nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
11,2009/01/14,133nullnull,20nullnull,138.194nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
12,2009/01/15,140nullnull,18nullnull,157.579nullnull,8nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
13,2009/01/16,114nullnull,16nullnull,139.87nullnull,2nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
14,2009/01/17,109nullnull,18nullnull,134.853nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
15,2009/01/18,111nullnull,16nullnull,138.944nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
16,2009/01/19,133nullnull,22nullnull,151.896nullnull,2nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
17,2009/01/20,123nullnull,21nullnull,143.728nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
18,2009/01/21,105nullnull,22nullnull,137.99nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
19,2009/01/22,102nullnull,12nullnull,147.747nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
20,2009/01/23,95nullnull,18nullnull,148.238nullnull,2nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
21,2009/01/24,212nullnull,22nullnull,141.06nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
22,2009/01/25,193nullnull,14nullnull,136nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
23,2009/01/26,117nullnull,17nullnull,158.948nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
24,2009/01/27,101nullnull,8nullnull,139.309nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
25,2009/01/28,112nullnull,23nullnull,134.652nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
26,2009/01/29,134nullnull,24nullnull,146.256nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
27,2009/01/30,117nullnull,23nullnull,134.872nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
28,2009/01/31,159nullnull,36nullnull,151.464nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
29,2009/02/01,116nullnull,31nullnull,137.204nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
30,2009/02/02,130nullnull,37nullnull,136.094nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
31,2009/02/03,154nullnull,50nullnull,167.496nullnull,16nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
32,2009/02/04,119nullnull,26nullnull,134.739nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
33,2009/02/05,126nullnull,34nullnull,134.722nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
34,2009/02/06,122nullnull,19nullnull,134.836nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
35,2009/02/07,156nullnull,32nullnull,159.31nullnull,4nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
36,2009/02/08,134nullnull,46nullnull,136.576nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
37,2009/02/09,179nullnull,34nullnull,172.604nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
38,2009/02/10,120nullnull,18nullnull,134.667nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
39,2009/02/11,147nullnull,27nullnull,148.128nullnull,2nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
40,2009/02/12,119nullnull,22nullnull,134.874nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
41,2009/02/13,124nullnull,27nullnull,134.903nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
42,2009/02/14,136nullnull,29nullnull,134.787nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
43,2009/02/15,142nullnull,32nullnull,148.383nullnull,3nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
44,2009/02/16,153nullnull,26nullnull,163.172nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
45,2009/02/17,117nullnull,27nullnull,134.897nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
46,2009/02/18,118nullnull,23nullnull,134.941nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
47,2009/02/19,141nullnull,37nullnull,150.048nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
48,2009/02/20,122nullnull,29nullnull,134.852nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
49,2009/02/21,114nullnull,22nullnull,134.965nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
50,2009/02/22,133nullnull,28nullnull,147.545nullnull,4nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
51,2009/02/23,108nullnull,22nullnull,134.991nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
52,2009/02/24,106nullnull,16nullnull,134.934nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
53,2009/02/25,105nullnull,16nullnull,134.867nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
54,2009/02/26,107nullnull,14nullnull,134.963nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
55,2009/02/27,152nullnull,26nullnull,170.8nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
56,2009/02/28,107nullnull,8nullnull,143.525nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
57,2009/03/01,105nullnull,16nullnull,134.952nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
58,2009/03/02,108nullnull,15nullnull,134.963nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
59,2009/03/03,114nullnull,17nullnull,144.429nullnull,2nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
60,2009/03/04,130nullnull,22nullnull,163.712nullnull,2nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
61,2009/03/05,121nullnull,23nullnull,143.411nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
62,2009/03/06,117nullnull,31nullnull,134.923nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
63,2009/03/07,109nullnull,25nullnull,134.972nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
64,2009/03/08,142nullnull,19nullnull,162.591nullnull,3nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
65,2009/03/09,108nullnull,21nullnull,134.713nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
66,2009/03/10,107nullnull,21nullnull,134.972nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
67,2009/03/11,114nullnull,25nullnull,134.886nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
68,2009/03/12,122nullnull,30nullnull,138.534nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
69,2009/03/13,127nullnull,14nullnull,148.389nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
70,2009/03/14,110nullnull,24nullnull,134.791nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
71,2009/03/15,123nullnull,28nullnull,134.967nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
72,2009/03/16,170nullnull,28nullnull,180.512nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
73,2009/03/17,114nullnull,24nullnull,134.965nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
74,2009/03/18,129nullnull,16nullnull,149.711nullnull,2nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
75,2009/03/19,122nullnull,26nullnull,134.787nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
76,2009/03/20,131nullnull,27nullnull,146.856nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
77,2009/03/21,50nullnull,26nullnull,134.88nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
78,2009/03/22,131nullnull,33nullnull,146.126nullnull,2nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
